section,index,name,chart_id,t,x,y,z,vx,vy,vz,ax,ay,az,yaw,local_u,local_v,plane_error,boundary_margin,chart_contains,contains
crossing,1,G2,0,2.397457,3.643040,-2.344620,2.042861,,,,,,,,0.704097,0.188133,0.000000000,0.157305955,True,True
crossing,2,G4,2,6.189411,8.680180,0.710263,1.310594,,,,,,,,-0.575563,-0.048105,0.000000000,0.204735819,True,True
crossing,3,G3,0,8.622414,5.687375,-2.019969,1.059778,,,,,,,,0.895206,0.036599,0.000000000,0.054336927,True,True
crossing,4,G5,9,13.065581,10.016521,2.943738,3.254744,,,,,,,,-0.322988,0.349366,0.000000000,0.338853297,True,True
crossing,5,G1,7,17.625237,2.233802,1.790355,2.531104,,,,,,,,-0.102658,0.651502,0.000000000,0.412192955,True,True
crossing,6,G6,8,23.097467,12.384212,-0.356011,2.349816,,,,,,,,0.103390,0.148832,0.000000000,0.284127058,True,True
sample,0,drone,,0.000000,0.000000,-1.000000,1.200000,0.857634,-0.321048,0.200162,0.863851,-0.495288,0.268001,-0.358193,,,,,,
sample,1,drone,,0.024975,0.021419,-1.008018,1.204999,0.879208,-0.333418,0.206856,1.286444,-0.736641,0.398743,-0.362469,,,,,,
sample,2,drone,,0.049949,0.043916,-1.016654,1.210332,0.921891,-0.357843,0.220079,1.690370,-0.965413,0.522969,-0.370259,,,,,,
sample,3,drone,,0.074924,0.067467,-1.025892,1.215992,0.963641,-0.381639,0.232977,1.653037,-0.940249,0.509935,-0.377087,,,,,,
sample,4,drone,,0.099899,0.092049,-1.035717,1.221969,1.004459,-0.404807,0.245550,1.615704,-0.915085,0.496901,-0.383099,,,,,,
sample,5,drone,,0.124873,0.117639,-1.046112,1.228257,1.044344,-0.427347,0.257797,1.578371,-0.889922,0.483868,-0.388413,,,,,,
sample,6,drone,,0.149848,0.144213,-1.057062,1.234846,1.083298,-0.449258,0.269719,1.541038,-0.864758,0.470834,-0.393126,,,,,,
sample,7,drone,,0.174823,0.171749,-1.068552,1.241729,1.121318,-0.470541,0.281315,1.503705,-0.839595,0.457800,-0.397315,,,,,,
sample,8,drone,,0.199797,0.200222,-1.080566,1.248898,1.158407,-0.491196,0.292586,1.466372,-0.814431,0.444766,-0.401046,,,,,,
sample,9,drone,,0.224772,0.229611,-1.093087,1.256344,1.194562,-0.511222,0.303531,1.429039,-0.789268,0.431733,-0.404373,,,,,,
sample,10,drone,,0.249747,0.259890,-1.106101,1.264059,1.229786,-0.530619,0.314151,1.391705,-0.764104,0.418699,-0.407340,,,,,,
sample,11,drone,,0.274721,0.291037,-1.119591,1.272035,1.264077,-0.549388,0.324445,1.354372,-0.738941,0.405665,-0.409987,,,,,,
sample,12,drone,,0.299696,0.323030,-1.133542,1.280265,1.297436,-0.567529,0.334413,1.317039,-0.713777,0.392632,-0.412346,,,,,,
sample,13,drone,,0.324670,0.355843,-1.147939,1.288739,1.329862,-0.585041,0.344056,1.279706,-0.688613,0.379598,-0.414445,,,,,,
