section,index,name,chart_id,t,x,y,z,vx,vy,vz,ax,ay,az,yaw,local_u,local_v,plane_error,boundary_margin,chart_contains,contains
crossing,1,G1,8,1.297122,2.162903,-0.621000,1.598779,,,,,,,,-0.203425,0.421267,0.000000000,0.388766842,True,True
crossing,2,G6,11,4.193651,4.306829,3.257959,2.411441,,,,,,,,-0.364241,0.029054,0.000000000,0.243690507,True,True
crossing,3,G3,0,8.492397,5.765214,-2.279887,0.926310,,,,,,,,0.776358,0.033535,0.000000000,0.051245669,True,True
crossing,4,G2,4,12.546559,8.635778,2.687366,2.574082,,,,,,,,-0.667025,-0.042941,0.000000000,0.152974677,True,True
crossing,5,G5,5,13.953961,10.260681,2.315185,1.370011,,,,,,,,0.234873,0.427353,0.000000000,0.189844495,True,True
crossing,6,G4,0,17.134136,12.512520,-1.730218,2.979031,,,,,,,,0.302769,-0.436479,0.000000000,0.143520677,True,True
sample,0,drone,,0.000000,0.000000,-1.400000,1.200000,0.966529,0.340417,0.177168,1.924519,0.397157,0.315064,0.338638,,,,,,
sample,1,drone,,0.024968,0.024132,-1.391500,1.204424,1.014581,0.350333,0.185034,2.845532,0.589950,0.466209,0.332480,,,,,,
sample,2,drone,,0.049936,0.050664,-1.382506,1.209240,1.108624,0.369877,0.200448,3.684052,0.771171,0.604582,0.322023,,,,,,
sample,3,drone,,0.074904,0.079493,-1.373030,1.214433,1.198548,0.388842,0.215225,3.519068,0.748029,0.579038,0.313714,,,,,,
sample,4,drone,,0.099872,0.110515,-1.363089,1.219987,1.284352,0.407230,0.229363,3.354083,0.724886,0.553493,0.307043,,,,,,
sample,5,drone,,0.124840,0.143628,-1.352695,1.225887,1.366037,0.425040,0.242864,3.189098,0.701744,0.527948,0.301653,,,,,,
sample,6,drone,,0.149808,0.178729,-1.341864,1.232115,1.443603,0.442272,0.255727,3.024113,0.678601,0.502404,0.297288,,,,,,
sample,7,drone,,0.174776,0.215716,-1.330610,1.238657,1.517049,0.458927,0.267952,2.859129,0.655459,0.476859,0.293761,,,,,,
sample,8,drone,,0.199744,0.254484,-1.318947,1.245495,1.586376,0.475003,0.279539,2.694144,0.632316,0.451314,0.290931,,,,,,
sample,9,drone,,0.224712,0.294933,-1.306890,1.252616,1.651584,0.490502,0.290489,2.529159,0.609174,0.425770,0.288692,,,,,,
sample,10,drone,,0.249680,0.336958,-1.294453,1.260001,1.712672,0.505423,0.300800,2.364174,0.586031,0.400225,0.286963,,,,,,
sample,11,drone,,0.274648,0.380457,-1.281651,1.267636,1.769641,0.519766,0.310474,2.199190,0.562889,0.374680,0.285679,,,,,,
sample,12,drone,,0.299616,0.425327,-1.268498,1.275505,1.822491,0.533532,0.319510,2.034205,0.539747,0.349136,0.284791,,,,,,
sample,13,drone,,0.324584,0.471465,-1.255009,1.283591,1.871221,0.546719,0.327909,1.869220,0.516604,0.323591,0.284260,,,,,,
sample,14,drone,,0.349552,0.518768,-1.241197,1.291880,1.915832,0.559329,0.335669,1.704235,0.493462,0.298046,0.284056,,,,,,
sample,15,drone,,0.374520,0.567134,-1.227078,1.300353,1.956324,0.571360,0.342792,1.539250,0.470319,0.272501,0.284155,,,,,,
sample,16,drone,,0.399488,0.616459,-1.212666,1.308997,1.992696,0.582815,0.349277,1.374266,0.447177,0.246957,0.284539,,,,,,
sample,17,drone,,0.424456,0.666641,-1.197975,1.317795,2.024949,0.593691,0.355124,1.209281,0.424034,0.221412,0.285196,,,,,,
sample,18,drone,,0.449424,0.717577,-1.183019,1.326731,2.053083,0.603989,0.360333,1.044296,0.400892,0.195867,0.286115,,,,,,
sample,19,drone,,0.474392,0.769164,-1.167814,1.335788,2.077097,0.613710,0.364905,0.879311,0.377749,0.170323,0.287291,,,,,,
sample,20,drone,,0.499360,0.821299,-1.152373,1.344953,2.096992,0.622852,0.368839,0.714327,0.354607,0.144778,0.288722,,,,,,
sample,21,drone,,0.524328,0.873879,-1.136711,1.354207,2.112768,0.631417,0.372134,0.549342,0.331464,0.119233,0.290409,,,,,,
sample,22,drone,,0.549296,0.926802,-1.120842,1.363535,2.124424,0.639404,0.374793,0.384357,0.308322,0.093689,0.292354,,,,,,
sample,23,drone,,0.574264,0.979964,-1.104782,1.372922,2.131961,0.646814,0.376813,0.219372,0.285179,0.068144,0.294563,,,,,,
sample,24,drone,,0.599232,1.033263,-1.088543,1.382352,2.135379,0.653645,0.378195,0.054388,0.262037,0.042599,0.297046,,,,,,
sample,25,drone,,0.624200,1.086596,-1.072141,1.391808,2.134677,0.659899,0.378940,-0.110597,0.238894,0.017055,0.299814,,,,,,
sample,26,drone,,0.649168,1.139861,-1.055591,1.401275,2.129856,0.665574,0.379047,-0.275582,0.215752,-0.008490,0.302883,,,,,,
sample,27,drone,,0.674136,1.192953,-1.038905,1.410736,2.120915,0.670672,0.378516,-0.440567,0.192609,-0.034035,0.306269,,,,,,
sample,28,drone,,0.699104,1.245770,-1.022100,1.420176,2.107856,0.675193,0.377347,-0.605551,0.169467,-0.059580,0.309995,,,,,,
sample,29,drone,,0.724072,1.298211,-1.005189,1.429579,2.090677,0.679135,0.375541,-0.770536,0.146325,-0.085124,0.314087,,,,,,
sample,30,drone,,0.749040,1.350170,-0.988187,1.438929,2.069378,0.682499,0.373097,-0.935521,0.123182,-0.110669,0.318575,,,,,,
sample,31,drone,,0.774008,1.401547,-0.971108,1.448210,2.043960,0.685286,0.370015,-1.100506,0.100040,-0.136214,0.323496,,,,,,
sample,32,drone,,0.798976,1.452238,-0.953966,1.457406,2.014423,0.687495,0.366295,-1.265490,0.076897,-0.161758,0.328891,,,,,,
sample,33,drone,,0.823944,1.502139,-0.936777,1.466502,1.980767,0.689126,0.361937,-1.430475,0.053755,-0.187303,0.334811,,,,,,
sample,34,drone,,0.848912,1.551149,-0.919554,1.475480,1.942991,0.690179,0.356942,-1.595460,0.030612,-0.212848,0.341313,,,,,,
sample,35,drone,,0.873880,1.599164,-0.902312,1.484326,1.901096,0.690655,0.351308,-1.760445,0.007470,-0.238392,0.348468,,,,,,
sample,36,drone,,0.898848,1.646082,-0.885065,1.493023,1.855082,0.690552,0.345037,-1.925429,-0.015673,-0.263937,0.356357,,,,,,
sample,37,drone,,0.923816,1.691800,-0.867829,1.501556,1.804948,0.689872,0.338128,-2.090414,-0.038815,-0.289482,0.365078,,,,,,
sample,38,drone,,0.948784,1.736214,-0.850616,1.509908,1.750695,0.688614,0.330582,-2.255399,-0.061958,-0.315026,0.374750,,,,,,
sample,39,drone,,0.973752,1.779222,-0.833442,1.518063,1.692322,0.686778,0.322397,-2.420384,-0.085100,-0.340571,0.385514,,,,,,
sample,40,drone,,0.998720,1.820722,-0.816321,1.526007,1.629831,0.684365,0.313575,-2.585368,-0.108243,-0.366116,0.397542,,,,,,
sample,41,drone,,1.023688,1.860610,-0.799268,1.533722,1.563219,0.681373,0.304115,-2.750353,-0.131385,-0.391660,0.411048,,,,,,
sample,42,drone,,1.048656,1.898783,-0.782296,1.541193,1.492489,0.677804,0.294017,-2.915338,-0.154528,-0.417205,0.426294,,,,,,
sample,43,drone,,1.073624,1.935139,-0.765421,1.548404,1.417639,0.673657,0.283281,-3.080323,-0.177670,-0.442750,0.443608,,,,,,
sample,44,drone,,1.098592,1.969574,-0.748656,1.555339,1.338670,0.668932,0.271908,-3.245307,-0.200813,-0.468295,0.463406,,,,,,
sample,45,drone,,1.123560,2.001986,-0.732017,1.561982,1.255582,0.663629,0.259897,-3.410292,-0.223955,-0.493839,0.486220,,,,,,
sample,46,drone,,1.148528,2.032273,-0.715517,1.568317,1.168374,0.657748,0.247248,-3.575277,-0.247097,-0.519384,0.512739,,,,,,
sample,47,drone,,1.173496,2.060330,-0.699172,1.574329,1.077047,0.651290,0.233961,-3.740262,-0.270240,-0.544929,0.543868,,,,,,
sample,48,drone,,1.198464,2.086056,-0.682995,1.580000,0.981600,0.644253,0.220036,-3.905246,-0.293382,-0.570473,0.580812,,,,,,
sample,49,drone,,1.223432,2.109347,-0.667000,1.585316,0.882034,0.636639,0.205473,-4.070231,-0.316525,-0.596018,0.625198,,,,,,
sample,50,drone,,1.248400,2.130101,-0.651203,1.590261,0.778349,0.628447,0.190273,-4.233703,-0.338958,-0.621247,0.679243,,,,,,
sample,51,drone,,1.273368,2.148215,-0.635618,1.594818,0.670620,0.619713,0.174451,-3.689056,-0.033321,-0.499383,0.745966,,,,,,
sample,52,drone,,1.298336,2.163589,-0.620257,1.598972,0.594132,0.626784,0.165336,-1.827124,0.867388,-0.106410,0.812135,,,,,,
sample,53,drone,,1.323304,2.177884,-0.604319,1.603074,0.579381,0.663027,0.169137,-0.022726,1.704442,0.268477,0.852622,,,,,,
sample,54,drone,,1.348271,2.192521,-0.587148,1.607418,0.592998,0.711897,0.178743,0.539650,1.937695,0.380662,0.876265,,,,,,
sample,55,drone,,1.373239,2.207496,-0.568770,1.612000,0.606329,0.759788,0.188146,0.528219,1.898515,0.372562,0.897261,,,,,,
sample,56,drone,,1.398207,2.222799,-0.549208,1.616814,0.619375,0.806701,0.197347,0.516789,1.859334,0.364462,0.916008,,,,,,
sample,57,drone,,1.423175,2.238425,-0.528486,1.621855,0.632135,0.852635,0.206346,0.505359,1.820154,0.356361,0.932829,,,,,,
sample,58,drone,,1.448143,2.254365,-0.506631,1.627118,0.644610,0.897592,0.215142,0.493929,1.780974,0.348261,0.947989,,,,,,
sample,59,drone,,1.473111,2.270614,-0.483664,1.632598,0.656800,0.941570,0.223736,0.482498,1.741794,0.340161,0.961711,,,,,,
sample,60,drone,,1.498079,2.287163,-0.459612,1.638290,0.668704,0.984570,0.232128,0.471068,1.702613,0.332060,0.974178,,,,,,
sample,61,drone,,1.523047,2.304006,-0.434499,1.644189,0.680323,1.026592,0.240318,0.459638,1.663433,0.323960,0.985544,,,,,,
sample,62,drone,,1.548015,2.321136,-0.408348,1.650291,0.691657,1.067635,0.248306,0.448208,1.624253,0.315860,0.995941,,,,,,
sample,63,drone,,1.572983,2.338545,-0.381185,1.656589,0.702705,1.107700,0.256091,0.436778,1.585073,0.307760,1.005479,,,,,,
sample,64,drone,,1.597951,2.356226,-0.353034,1.663079,0.713468,1.146787,0.263674,0.425347,1.545892,0.299659,1.014253,,,,,,
sample,65,drone,,1.622919,2.374173,-0.323919,1.669756,0.723945,1.184896,0.271055,0.413917,1.506712,0.291559,1.022344,,,,,,
sample,66,drone,,1.647887,2.392377,-0.293865,1.676614,0.734137,1.222027,0.278233,0.402487,1.467532,0.283459,1.029823,,,,,,
sample,67,drone,,1.672855,2.410832,-0.262896,1.683649,0.744044,1.258179,0.285210,0.391057,1.428352,0.275359,1.036750,,,,,,
sample,68,drone,,1.697823,2.429532,-0.231037,1.690856,0.753665,1.293353,0.291984,0.379626,1.389172,0.267258,1.043178,,,,,,
sample,69,drone,,1.722791,2.448467,-0.198312,1.698230,0.763001,1.327548,0.298555,0.368196,1.349991,0.259158,1.049154,,,,,,
sample,70,drone,,1.747759,2.467633,-0.164745,1.705765,0.772051,1.360766,0.304925,0.356766,1.310811,0.251058,1.054719,,,,,,
sample,71,drone,,1.772727,2.487021,-0.130360,1.713457,0.780816,1.393005,0.311092,0.345336,1.271631,0.242957,1.059907,,,,,,
sample,72,drone,,1.797695,2.506624,-0.095183,1.721300,0.789296,1.424266,0.317057,0.333906,1.232451,0.234857,1.064752,,,,,,
sample,73,drone,,1.822663,2.526435,-0.059238,1.729289,0.797490,1.454549,0.322820,0.322475,1.193270,0.226757,1.069280,,,,,,
sample,74,drone,,1.847631,2.546447,-0.022549,1.737420,0.805399,1.483853,0.328381,0.311045,1.154090,0.218657,1.073517,,,,,,
sample,75,drone,,1.872599,2.566653,0.014859,1.745687,0.813023,1.512179,0.333739,0.299615,1.114910,0.210556,1.077485,,,,,,
sample,76,drone,,1.897567,2.587046,0.052963,1.754086,0.820361,1.539527,0.338895,0.288185,1.075730,0.202456,1.081203,,,,,,
sample,77,drone,,1.922535,2.607619,0.091737,1.762610,0.827413,1.565897,0.343849,0.276755,1.036550,0.194356,1.084691,,,,,,
sample,78,drone,,1.947503,2.628364,0.131158,1.771256,0.834181,1.591288,0.348600,0.265324,0.997369,0.186256,1.087963,,,,,,
sample,79,drone,,1.972471,2.649274,0.171200,1.780018,0.840663,1.615702,0.353150,0.253894,0.958189,0.178155,1.091035,,,,,,
sample,80,drone,,1.997439,2.670343,0.211839,1.788891,0.846859,1.639136,0.357497,0.242464,0.919009,0.170055,1.093918,,,,,,
sample,81,drone,,2.022407,2.691563,0.253052,1.797870,0.852770,1.661593,0.361641,0.231034,0.879829,0.161955,1.096625,,,,,,
sample,82,drone,,2.047375,2.712927,0.294813,1.806950,0.858396,1.683072,0.365584,0.219603,0.840648,0.153854,1.099167,,,,,,
sample,83,drone,,2.072343,2.734428,0.337097,1.816126,0.863736,1.703572,0.369324,0.208173,0.801468,0.145754,1.101553,,,,,,
sample,84,drone,,2.097311,2.756059,0.379882,1.825392,0.868791,1.723094,0.372862,0.196743,0.762288,0.137654,1.103791,,,,,,
sample,85,drone,,2.122279,2.777812,0.423142,1.834745,0.873561,1.741637,0.376198,0.185313,0.723108,0.129554,1.105890,,,,,,
sample,86,drone,,2.147247,2.799681,0.466852,1.844178,0.878045,1.759203,0.379332,0.173883,0.683927,0.121453,1.107857,,,,,,
sample,87,drone,,2.172215,2.821658,0.510989,1.853687,0.882244,1.775790,0.382263,0.162452,0.644747,0.113353,1.109698,,,,,,
sample,88,drone,,2.197183,2.843736,0.555528,1.863267,0.886157,1.791399,0.384992,0.151022,0.605567,0.105253,1.111419,,,,,,
sample,89,drone,,2.222151,2.865909,0.600445,1.872912,0.889785,1.806030,0.387519,0.139592,0.566387,0.097153,1.113026,,,,,,
sample,90,drone,,2.247119,2.888169,0.645714,1.882618,0.893128,1.819682,0.389844,0.128162,0.527207,0.089052,1.114523,,,,,,
sample,91,drone,,2.272087,2.910508,0.691312,1.892379,0.896185,1.832356,0.391966,0.116731,0.488026,0.080952,1.115916,,,,,,
sample,92,drone,,2.297055,2.932921,0.737215,1.902191,0.898957,1.844052,0.393886,0.105301,0.448846,0.072852,1.117207,,,,,,
sample,93,drone,,2.322023,2.955399,0.783397,1.912049,0.901443,1.854770,0.395604,0.093871,0.409666,0.064751,1.118400,,,,,,
sample,94,drone,,2.346991,2.977935,0.829834,1.921946,0.903645,1.864509,0.397119,0.082441,0.370486,0.056651,1.119500,,,,,,
sample,95,drone,,2.371959,3.000523,0.876503,1.931879,0.905560,1.873270,0.398433,0.071011,0.331305,0.048551,1.120507,,,,,,
sample,96,drone,,2.396927,3.023155,0.923378,1.941842,0.907191,1.881053,0.399544,0.059580,0.292125,0.040451,1.121427,,,,,,
sample,97,drone,,2.421895,3.045824,0.970435,1.951831,0.908535,1.887858,0.400453,0.048150,0.252945,0.032350,1.122259,,,,,,
sample,98,drone,,2.446863,3.068524,1.017650,1.961839,0.909595,1.893684,0.401159,0.036720,0.213765,0.024250,1.123007,,,,,,
sample,99,drone,,2.471831,3.091246,1.064998,1.971863,0.910369,1.898532,0.401664,0.025290,0.174585,0.016150,1.123673,,,,,,
sample,100,drone,,2.496799,3.113984,1.112455,1.981897,0.910858,1.902402,0.401966,0.013860,0.135404,0.008050,1.124257,,,,,,
sample,101,drone,,2.521767,3.136731,1.159996,1.991936,0.911061,1.905294,0.402066,0.002429,0.096224,-0.000051,1.124762,,,,,,
sample,102,drone,,2.546735,3.159479,1.207598,2.001974,0.910979,1.907207,0.401963,-0.009001,0.057044,-0.008151,1.125187,,,,,,
sample,103,drone,,2.571703,3.182221,1.255235,2.012008,0.910612,1.908142,0.401659,-0.020431,0.017864,-0.016251,1.125535,,,,,,
sample,104,drone,,2.596671,3.204951,1.302883,2.022032,0.909959,1.908099,0.401152,-0.031861,-0.021317,-0.024352,1.125805,,,,,,
sample,105,drone,,2.621639,3.227661,1.350517,2.032040,0.909021,1.907078,0.400443,-0.043292,-0.060497,-0.032452,1.125997,,,,,,
sample,106,drone,,2.646607,3.250344,1.398115,2.042028,0.907797,1.905078,0.399531,-0.054722,-0.099677,-0.040552,1.126113,,,,,,
sample,107,drone,,2.671575,3.272993,1.445649,2.051991,0.906288,1.902100,0.398418,-0.066152,-0.138857,-0.048652,1.126152,,,,,,
sample,108,drone,,2.696543,3.295600,1.493098,2.061923,0.904494,1.898144,0.397102,-0.077582,-0.178038,-0.056753,1.126113,,,,,,
sample,109,drone,,2.721511,3.318159,1.540435,2.071821,0.902414,1.893210,0.395584,-0.089012,-0.217218,-0.064853,1.125996,,,,,,
sample,110,drone,,2.746479,3.340663,1.587637,2.081677,0.900049,1.887297,0.393863,-0.100443,-0.256398,-0.072953,1.125800,,,,,,
sample,111,drone,,2.771447,3.363104,1.634679,2.091488,0.897398,1.880407,0.391941,-0.111873,-0.295578,-0.081053,1.125525,,,,,,
sample,112,drone,,2.796415,3.385476,1.681537,2.101249,0.894462,1.872537,0.389816,-0.123303,-0.334758,-0.089154,1.125169,,,,,,
sample,113,drone,,2.821383,3.407770,1.728186,2.110954,0.891241,1.863690,0.387489,-0.134733,-0.373939,-0.097254,1.124730,,,,,,
sample,114,drone,,2.846351,3.429981,1.774602,2.120599,0.887734,1.853864,0.384959,-0.146164,-0.413119,-0.105354,1.124206,,,,,,
sample,115,drone,,2.871319,3.452100,1.820761,2.130178,0.883942,1.843061,0.382228,-0.157594,-0.452299,-0.113455,1.123597,,,,,,
sample,116,drone,,2.896287,3.474121,1.866637,2.139686,0.879865,1.831278,0.379294,-0.169024,-0.491479,-0.121555,1.122899,,,,,,
sample,117,drone,,2.921255,3.496037,1.912207,2.149118,0.875502,1.818518,0.376158,-0.180454,-0.530660,-0.129655,1.122109,,,,,,
