section,index,name,chart_id,t,x,y,z,vx,vy,vz,ax,ay,az,yaw,local_u,local_v,plane_error,boundary_margin,chart_contains,contains
crossing,1,G1,11,1.163301,2.001168,-0.584438,1.312941,,,,,,,,-0.284438,0.012994,0.000000000,0.372873803,True,True
crossing,2,G6,11,3.943189,4.345237,3.309019,2.518002,,,,,,,,-0.295638,0.024312,0.000000000,0.211296271,True,True
crossing,3,G3,1,7.803933,5.812497,-2.177743,1.372007,,,,,,,,0.872982,0.152163,0.000000000,0.164847422,True,True
crossing,4,G2,4,11.425644,8.486652,2.755814,2.600736,,,,,,,,-0.557434,-0.052606,0.000000000,0.126631797,True,True
crossing,5,G5,8,12.985239,10.282065,1.790331,1.400197,,,,,,,,-0.168317,0.419655,0.000000000,0.310066954,True,True
crossing,6,G4,0,15.616572,12.334166,-1.810453,2.870516,,,,,,,,0.342897,-0.383487,0.000000000,0.126098570,True,True
sample,0,drone,,0.000000,0.000000,-1.400000,1.200000,1.002431,0.399924,0.053431,2.184100,0.560519,0.002925,0.379604,,,,,,
sample,1,drone,,0.024977,0.025038,-1.390011,1.201335,1.056985,0.413924,0.053504,3.223872,0.830820,0.005579,0.373251,,,,,,
sample,2,drone,,0.049955,0.052801,-1.379323,1.202673,1.163479,0.441427,0.053710,4.159087,1.081200,0.010618,0.362625,,,,,,
sample,3,drone,,0.074932,0.083159,-1.367960,1.204018,1.264751,0.467935,0.054035,3.949974,1.041362,0.015387,0.354364,,,,,,
sample,4,drone,,0.099910,0.115982,-1.355947,1.205372,1.360799,0.493448,0.054478,3.740860,1.001523,0.020155,0.347870,,,,,,
sample,5,drone,,0.124887,0.151138,-1.343309,1.206739,1.451625,0.517966,0.055041,3.531747,0.961685,0.024924,0.342736,,,,,,
sample,6,drone,,0.149864,0.188497,-1.330072,1.208122,1.537227,0.541489,0.055723,3.322634,0.921846,0.029693,0.338678,,,,,,
sample,7,drone,,0.174842,0.227930,-1.316260,1.209523,1.617606,0.564016,0.056525,3.113521,0.882007,0.034461,0.335493,,,,,,
sample,8,drone,,0.199819,0.269305,-1.301897,1.210945,1.692762,0.585549,0.057445,2.904408,0.842169,0.039230,0.333030,,,,,,
sample,9,drone,,0.224796,0.312491,-1.287009,1.212392,1.762695,0.606087,0.058484,2.695294,0.802330,0.043998,0.331177,,,,,,
sample,10,drone,,0.249774,0.357360,-1.271620,1.213867,1.827405,0.625629,0.059643,2.486181,0.762492,0.048767,0.329852,,,,,,
sample,11,drone,,0.274751,0.403779,-1.255755,1.215372,1.886892,0.644177,0.060921,2.277068,0.722653,0.053536,0.328989,,,,,,
sample,12,drone,,0.299729,0.451619,-1.239440,1.216910,1.941155,0.661729,0.062317,2.067955,0.682814,0.058304,0.328540,,,,,,
sample,13,drone,,0.324706,0.500749,-1.222699,1.218485,1.990196,0.678287,0.063833,1.858842,0.642976,0.063073,0.328468,,,,,,
sample,14,drone,,0.349683,0.551039,-1.205556,1.220099,2.034013,0.693849,0.065468,1.649728,0.603137,0.067841,0.328745,,,,,,
sample,15,drone,,0.374661,0.602358,-1.188038,1.221755,2.072608,0.708416,0.067222,1.440615,0.563299,0.072610,0.329351,,,,,,
sample,16,drone,,0.399638,0.654575,-1.170168,1.223457,2.105979,0.721989,0.069095,1.231502,0.523460,0.077379,0.330271,,,,,,
sample,17,drone,,0.424616,0.707561,-1.151971,1.225207,2.134127,0.734566,0.071088,1.022389,0.483621,0.082147,0.331498,,,,,,
sample,18,drone,,0.449593,0.761185,-1.133473,1.227008,2.157052,0.746148,0.073199,0.813276,0.443783,0.086916,0.333027,,,,,,
sample,19,drone,,0.474570,0.815316,-1.114697,1.228864,2.174754,0.756735,0.075429,0.604162,0.403944,0.091684,0.334859,,,,,,
sample,20,drone,,0.499548,0.869824,-1.095670,1.230776,2.187233,0.766327,0.077779,0.395049,0.364106,0.096453,0.336999,,,,,,
sample,21,drone,,0.524525,0.924579,-1.076416,1.232749,2.194489,0.774924,0.080248,0.185936,0.324267,0.101222,0.339454,,,,,,
