scenario,mode,success,order,chart_ids,duration,path_length,total_cost,min_boundary_margin,max_speed,max_acceleration,mean_jerk,optimization_time
canonical_nonconvex_6,ordered_dynamic,True,G1->G6->G3->G2->G5->G4,12->11->0->4->3->0,15.771483210495553,26.013819082166627,16.797803492794074,0.043743981122019736,2.5306828317137975,4.678890470375842,4.222307943246122,27.999793764960486
translation_only,ordered_dynamic,True,G1->G6->G3->G2->G5->G4,12->11->1->4->3->0,20.037741378596486,28.62618620915533,21.1466375516789,0.13767013354436836,2.533219858312552,4.75796518083668,2.947900590397847,13.316664693993516
rotation_only,ordered_dynamic,True,G1->G6->G3->G2->G5->G4,8->11->0->4->5->0,19.5000007189056,29.767523335208097,20.601095657024423,0.051245669355166744,2.2662540086220613,4.7394034926797355,3.0203802488847633,10.898860941990279
scale_only,ordered_dynamic,True,G1->G6->G3->G2->G5->G4,11->11->1->4->8->0,17.708968128040503,29.380284317922143,18.869539249478084,0.1260985702074009,2.5409608155875554,4.738257851460833,3.6924473462063,15.269265072012786
slow_dynamic,ordered_dynamic,True,G1->G6->G3->G2->G5->G4,11->11->1->4->5->0,19.58334347081736,28.63735605525744,20.678580940991633,0.1421075325554534,2.435264461154719,4.747499199178509,2.6898283575547888,15.18068981001852
fast_dynamic,ordered_dynamic,True,G1->G6->G3->G2->G5->G4,12->11->0->4->4->0,16.625025771683752,25.253632599925723,17.647351488158225,0.04580384964798064,2.535286384454104,4.692812472936807,4.2682610741811855,10.57117134903092
random_0,ordered_dynamic,True,G5->G4->G3->G6->G1->G2,3->3->12->8->4->4,26.624417235706566,49.07833192903106,28.56810172849585,0.1448295447656489,2.581872460279214,4.602403287624117,2.0508585056202904,13.81309622200206
random_1,ordered_dynamic,True,G2->G4->G6->G3->G5->G1,1->2->1->12->9->7,23.69149915284889,42.932820630710374,25.749367021921266,0.11790482531233185,2.6202293994331396,4.374594552401223,2.536442700259503,23.152289452962577
random_2,ordered_dynamic,True,G3->G2->G4->G1->G6->G5,1->4->3->15->11->3,23.544005327204967,39.13947647744169,25.08831925702838,0.13566007902723487,2.566038915624625,4.517274737579556,2.4446683046350834,8.640735843975563
random_3,ordered_dynamic,True,G1->G5->G3->G4->G2->G6,16->9->1->2->0->11,19.6983672746446,32.92606901303795,20.951203204815105,0.13715718239524233,2.5363405104403074,4.86510777746273,3.1394210587811586,37.49043457000516
random_4,ordered_dynamic,True,G6->G2->G3->G1->G4->G5,11->0->0->13->3->14,23.73109247964082,41.58083302362019,25.214031539713865,0.046308087202320734,2.5295934086197134,4.505375696900879,2.4515970490935834,20.216216189961415
random_5,ordered_dynamic,True,G2->G4->G3->G5->G1->G6,0->2->0->9->7->8,24.625006426614046,41.5139448038162,26.39027483924814,0.05433692747456847,2.590936655230282,4.370628187042682,1.944000472586497,15.114593620004598
random_6,ordered_dynamic,True,G1->G5->G4->G2->G3->G6,14->9->0->4->20->4,21.54196930882342,39.47040040033485,23.107186643807804,0.14092387916656235,2.568850943838964,4.35835900570685,2.4744656720811697,14.782305748027284
random_7,ordered_dynamic,True,G6->G1->G2->G3->G5->G4,11->7->0->10->3->0,27.416670063172326,43.86296407072194,28.94189606492715,0.1100414406137701,2.5109198549572715,4.717963960645607,1.770320639825485,25.431875726033468
