section,index,name,chart_id,t,x,y,z,vx,vy,vz,ax,ay,az,yaw,local_u,local_v,plane_error,boundary_margin,chart_contains,contains
crossing,1,G1,12,1.644093,2.242342,0.130145,1.492473,,,,,,,,-0.179490,-0.086118,0.000000000,0.467502340,True,True
crossing,2,G6,11,3.560561,4.239670,2.483056,2.254202,,,,,,,,-0.590629,0.134200,0.000000000,0.064138422,True,True
crossing,3,G3,0,6.776786,5.715677,-1.810264,1.652235,,,,,,,,0.810177,0.025029,0.000000000,0.043743981,True,True
crossing,4,G2,4,9.485889,8.347680,2.320811,2.319261,,,,,,,,-0.845080,-0.479502,0.000000000,0.099954115,True,True
crossing,5,G5,3,10.975319,10.463458,1.537642,1.330640,,,,,,,,0.404764,0.563051,0.000000000,0.053609778,True,True
crossing,6,G4,0,13.662806,12.047209,-1.599327,3.016249,,,,,,,,0.435791,-0.348227,0.000000000,0.141876138,True,True
sample,0,drone,,0.000000,0.000000,-1.400000,1.200000,0.779266,0.529472,0.100482,1.141139,0.689929,0.103897,0.596800,,,,,,
sample,1,drone,,0.024994,0.019477,-1.386766,1.202511,0.807788,0.546716,0.103079,1.693362,1.024495,0.154527,0.594989,,,,,,
sample,2,drone,,0.049989,0.040380,-1.372670,1.205153,0.863915,0.580685,0.108207,2.208892,1.338265,0.202518,0.591793,,,,,,
sample,3,drone,,0.074983,0.062663,-1.357738,1.207921,0.918208,0.613614,0.113203,2.135507,1.296672,0.197242,0.589114,,,,,,
sample,4,drone,,0.099978,0.086281,-1.341996,1.210812,0.970667,0.645504,0.118067,2.062122,1.255079,0.191966,0.586855,,,,,,
sample,5,drone,,0.124972,0.111186,-1.325470,1.213823,1.021291,0.676354,0.122799,1.988736,1.213485,0.186689,0.584941,,,,,,
sample,6,drone,,0.149967,0.137334,-1.308186,1.216950,1.070082,0.706165,0.127399,1.915351,1.171892,0.181413,0.583315,,,,,,
sample,7,drone,,0.174961,0.164678,-1.290170,1.220191,1.117038,0.734936,0.131867,1.841966,1.130299,0.176137,0.581932,,,,,,
sample,8,drone,,0.199955,0.193173,-1.271448,1.223542,1.162159,0.762667,0.136204,1.768580,1.088706,0.170860,0.580756,,,,,,
sample,9,drone,,0.224950,0.222773,-1.252045,1.227000,1.205447,0.789359,0.140409,1.695195,1.047113,0.165584,0.579761,,,,,,
sample,10,drone,,0.249944,0.253432,-1.231988,1.230561,1.246900,0.815011,0.144481,1.621809,1.005520,0.160308,0.578923,,,,,,
sample,11,drone,,0.274939,0.285104,-1.211304,1.234222,1.286519,0.839624,0.148422,1.548424,0.963927,0.155031,0.578223,,,,,,
sample,12,drone,,0.299933,0.317744,-1.190017,1.237980,1.324304,0.863197,0.152231,1.475039,0.922333,0.149755,0.577648,,,,,,
sample,13,drone,,0.324928,0.351305,-1.168153,1.241832,1.360255,0.885730,0.155908,1.401653,0.880740,0.144479,0.577183,,,,,,
sample,14,drone,,0.349922,0.385741,-1.145740,1.245774,1.394371,0.907224,0.159453,1.328268,0.839147,0.139202,0.576820,,,,,,
sample,15,drone,,0.374916,0.421008,-1.122802,1.249803,1.426653,0.927678,0.162867,1.254883,0.797554,0.133926,0.576549,,,,,,
sample,16,drone,,0.399911,0.457058,-1.099366,1.253916,1.457101,0.947093,0.166148,1.181497,0.755961,0.128650,0.576364,,,,,,
sample,17,drone,,0.424905,0.493847,-1.075458,1.258109,1.485715,0.965468,0.169298,1.108112,0.714368,0.123373,0.576258,,,,,,
