section,index,name,chart_id,t,x,y,z,vx,vy,vz,ax,ay,az,yaw,local_u,local_v,plane_error,boundary_margin,chart_contains,contains
crossing,1,G1,12,1.350499,2.284933,0.139440,1.488827,,,,,,,,-0.267532,-0.079751,0.000000000,0.390441072,True,True
crossing,2,G6,11,3.125319,4.367496,2.595965,2.121685,,,,,,,,-0.278087,0.029640,0.000000000,0.211883168,True,True
crossing,3,G3,0,7.349939,5.581662,-1.472756,1.597515,,,,,,,,0.898191,0.027860,0.000000000,0.045803850,True,True
crossing,4,G2,4,10.899931,8.079722,2.082771,1.910345,,,,,,,,-0.599013,-0.063030,0.000000000,0.137069100,True,True
crossing,5,G5,4,12.415638,10.448769,1.700125,1.248329,,,,,,,,0.262130,0.374006,0.000000000,0.180288380,True,True
crossing,6,G4,0,14.558603,11.971726,-1.379739,3.190174,,,,,,,,0.409963,-0.338874,0.000000000,0.115578511,True,True
sample,0,drone,,0.000000,0.000000,-1.400000,1.200000,0.975192,0.653658,0.122089,1.742041,1.044016,0.174709,0.590504,,,,,,
sample,1,drone,,0.024963,0.024343,-1.383683,1.203048,1.018677,0.679719,0.126450,2.578476,1.546527,0.259028,0.588411,,,,,,
sample,2,drone,,0.049925,0.050857,-1.366065,1.206313,1.103922,0.730868,0.135021,3.345736,2.010046,0.337273,0.584810,,,,,,
sample,3,drone,,0.074888,0.079457,-1.347194,1.209789,1.185713,0.780071,0.143288,3.207390,1.932061,0.325127,0.581903,,,,,,
sample,4,drone,,0.099850,0.110054,-1.327120,1.213467,1.264051,0.827326,0.151253,3.069043,1.854076,0.312981,0.579535,,,,,,
sample,5,drone,,0.124813,0.142564,-1.305890,1.217340,1.338935,0.872635,0.158914,2.930697,1.776091,0.300834,0.577596,,,,,,
sample,6,drone,,0.149775,0.176901,-1.283554,1.221400,1.410366,0.915998,0.166272,2.792350,1.698106,0.288688,0.576006,,,,,,
sample,7,drone,,0.174738,0.212977,-1.260159,1.225641,1.478343,0.957413,0.173327,2.654003,1.620121,0.276542,0.574704,,,,,,
sample,8,drone,,0.199700,0.250707,-1.235755,1.230054,1.542867,0.996882,0.180078,2.515657,1.542136,0.264396,0.573645,,,,,,
sample,9,drone,,0.224663,0.290004,-1.210390,1.234631,1.603938,1.034405,0.186527,2.377310,1.464150,0.252250,0.572793,,,,,,
sample,10,drone,,0.249625,0.330783,-1.184112,1.239366,1.661554,1.069980,0.192672,2.238964,1.386165,0.240104,0.572120,,,,,,
sample,11,drone,,0.274588,0.372958,-1.156971,1.244251,1.715718,1.103609,0.198514,2.100617,1.308180,0.227957,0.571604,,,,,,
sample,12,drone,,0.299550,0.416441,-1.129014,1.249277,1.766428,1.135291,0.204053,1.962270,1.230195,0.215811,0.571229,,,,,,
sample,13,drone,,0.324513,0.461146,-1.100291,1.254438,1.813684,1.165026,0.209288,1.823924,1.152210,0.203665,0.570981,,,,,,
sample,14,drone,,0.349475,0.506989,-1.070851,1.259726,1.857487,1.192815,0.214221,1.685577,1.074225,0.191519,0.570848,,,,,,
sample,15,drone,,0.374438,0.553882,-1.040740,1.265133,1.897837,1.218657,0.218850,1.547231,0.996240,0.179373,0.570822,,,,,,
sample,16,drone,,0.399400,0.601738,-1.010009,1.270652,1.934733,1.242552,0.223176,1.408884,0.918254,0.167227,0.570897,,,,,,
sample,17,drone,,0.424363,0.650473,-0.978706,1.276275,1.968175,1.264501,0.227199,1.270538,0.840269,0.155081,0.571066,,,,,,
sample,18,drone,,0.449325,0.700000,-0.946879,1.281995,1.998164,1.284503,0.230918,1.132191,0.762284,0.142934,0.571326,,,,,,
sample,19,drone,,0.474288,0.750231,-0.914577,1.287803,2.024700,1.302558,0.234335,0.993844,0.684299,0.130788,0.571675,,,,,,
