section,index,name,chart_id,t,x,y,z,vx,vy,vz,ax,ay,az,yaw,local_u,local_v,plane_error,boundary_margin,chart_contains,contains
crossing,1,G1,11,1.202980,2.091297,-0.376420,1.384222,,,,,,,,-0.255598,0.014105,0.000000000,0.335262953,True,True
crossing,2,G6,11,3.856295,4.343939,3.119935,2.411458,,,,,,,,-0.335043,0.026054,0.000000000,0.235772282,True,True
crossing,3,G3,1,8.015629,5.795040,-2.036430,1.398766,,,,,,,,0.784592,0.164021,0.000000000,0.154848321,True,True
crossing,4,G2,4,11.931235,8.443359,2.568739,2.452925,,,,,,,,-0.620892,-0.046722,0.000000000,0.142107533,True,True
crossing,5,G5,5,13.857115,10.240214,2.340998,1.470249,,,,,,,,0.226816,0.403430,0.000000000,0.180088724,True,True
crossing,6,G4,0,17.196956,12.416430,-1.843449,2.806871,,,,,,,,0.312677,-0.449695,0.000000000,0.147874354,True,True
sample,0,drone,,0.000000,0.000000,-1.400000,1.200000,1.011037,0.487908,0.086659,2.132240,0.777492,0.095688,0.449616,,,,,,
sample,1,drone,,0.024979,0.025254,-1.387813,1.202165,1.064298,0.507329,0.089049,3.149138,1.150985,0.142256,0.444817,,,,,,
sample,2,drone,,0.049958,0.053170,-1.374655,1.204449,1.168360,0.545408,0.093765,4.067589,1.493973,0.186274,0.436749,,,,,,
sample,3,drone,,0.074936,0.083623,-1.360565,1.206849,1.267505,0.581964,0.098355,3.870697,1.432963,0.181171,0.430430,,,,,,
sample,4,drone,,0.099915,0.116491,-1.345582,1.209362,1.361731,0.616995,0.102816,3.673805,1.371953,0.176069,0.425426,,,,,,
sample,5,drone,,0.124894,0.151652,-1.329742,1.211985,1.451039,0.650503,0.107151,3.476913,1.310942,0.170967,0.421441,,,,,,
sample,6,drone,,0.149873,0.188981,-1.313084,1.214715,1.535429,0.682487,0.111357,3.280021,1.249932,0.165864,0.418265,,,,,,
sample,7,drone,,0.174851,0.228358,-1.295647,1.217548,1.614901,0.712947,0.115437,3.083129,1.188922,0.160762,0.415746,,,,,,
sample,8,drone,,0.199830,0.269658,-1.277467,1.220482,1.689454,0.741882,0.119389,2.886238,1.127911,0.155660,0.413774,,,,,,
sample,9,drone,,0.224809,0.312759,-1.258584,1.223513,1.759090,0.769294,0.123213,2.689346,1.066901,0.150558,0.412264,,,,,,
sample,10,drone,,0.249788,0.357537,-1.239035,1.226638,1.823807,0.795182,0.126910,2.492454,1.005891,0.145455,0.411152,,,,,,
sample,11,drone,,0.274766,0.403871,-1.218859,1.229853,1.883607,0.819546,0.130480,2.295562,0.944880,0.140353,0.410389,,,,,,
sample,12,drone,,0.299745,0.451638,-1.198093,1.233156,1.938488,0.842386,0.133922,2.098670,0.883870,0.135251,0.409939,,,,,,
sample,13,drone,,0.324724,0.500714,-1.176775,1.236543,1.988451,0.863702,0.137236,1.901778,0.822860,0.130148,0.409771,,,,,,
sample,14,drone,,0.349703,0.550976,-1.154944,1.240012,2.033496,0.883494,0.140424,1.704886,0.761849,0.125046,0.409865,,,,,,
sample,15,drone,,0.374681,0.602302,-1.132638,1.243559,2.073623,0.901762,0.143483,1.507994,0.700839,0.119944,0.410203,,,,,,
sample,16,drone,,0.399660,0.654569,-1.109894,1.247180,2.108831,0.918506,0.146416,1.311102,0.639829,0.114841,0.410774,,,,,,
sample,17,drone,,0.424639,0.707654,-1.086752,1.250873,2.139122,0.933726,0.149221,1.114210,0.578818,0.109739,0.411571,,,,,,
sample,18,drone,,0.449618,0.761434,-1.063248,1.254635,2.164495,0.947422,0.151898,0.917319,0.517808,0.104637,0.412587,,,,,,
sample,19,drone,,0.474596,0.815787,-1.039421,1.258462,2.184949,0.959595,0.154448,0.720427,0.456798,0.099535,0.413823,,,,,,
sample,20,drone,,0.499575,0.870589,-1.015309,1.262351,2.200485,0.970243,0.156871,0.523535,0.395787,0.094432,0.415279,,,,,,
sample,21,drone,,0.524554,0.925717,-0.990950,1.266298,2.211104,0.979367,0.159166,0.326643,0.334777,0.089330,0.416960,,,,,,
sample,22,drone,,0.549533,0.981050,-0.966382,1.270302,2.216804,0.986968,0.161333,0.129751,0.273767,0.084228,0.418873,,,,,,
sample,23,drone,,0.574511,1.036463,-0.941643,1.274358,2.217586,0.993044,0.163373,-0.067141,0.212756,0.079125,0.421026,,,,,,
sample,24,drone,,0.599490,1.091835,-0.916772,1.278464,2.213449,0.997596,0.165286,-0.264033,0.151746,0.074023,0.423434,,,,,,
sample,25,drone,,0.624469,1.147042,-0.891806,1.282616,2.204395,1.000625,0.167071,-0.460925,0.090736,0.068921,0.426111,,,,,,
sample,26,drone,,0.649448,1.201961,-0.866783,1.286810,2.190423,1.002129,0.168729,-0.657817,0.029725,0.063819,0.429077,,,,,,
sample,27,drone,,0.674426,1.256470,-0.841742,1.291045,2.171532,1.002110,0.170260,-0.854709,-0.031285,0.058716,0.432356,,,,,,
sample,28,drone,,0.699405,1.310445,-0.816720,1.295316,2.147724,1.000566,0.171663,-1.051600,-0.092295,0.053614,0.435975,,,,,,
sample,29,drone,,0.724384,1.363765,-0.791756,1.299621,2.118997,0.997499,0.172938,-1.248492,-0.153306,0.048512,0.439968,,,,,,
sample,30,drone,,0.749363,1.416305,-0.766888,1.303956,2.085352,0.992908,0.174086,-1.445384,-0.214316,0.043409,0.444373,,,,,,
sample,31,drone,,0.774341,1.467944,-0.742153,1.308318,2.046789,0.986792,0.175107,-1.642276,-0.275326,0.038307,0.449239,,,,,,
sample,32,drone,,0.799320,1.518558,-0.717590,1.312704,2.003308,0.979153,0.176000,-1.839168,-0.336336,0.033205,0.454622,,,,,,
sample,33,drone,,0.824299,1.568024,-0.693237,1.317110,1.954909,0.969990,0.176766,-2.036060,-0.397347,0.028102,0.460588,,,,,,
sample,34,drone,,0.849278,1.616220,-0.669132,1.321534,1.901592,0.959302,0.177404,-2.232952,-0.458357,0.023000,0.467220,,,,,,
sample,35,drone,,0.874256,1.663023,-0.645313,1.325973,1.843356,0.947091,0.177915,-2.429844,-0.519367,0.017898,0.474616,,,,,,
sample,36,drone,,0.899235,1.708310,-0.621818,1.330422,1.780203,0.933356,0.178298,-2.626736,-0.580378,0.012796,0.482896,,,,,,
sample,37,drone,,0.924214,1.751957,-0.598685,1.334880,1.712131,0.918097,0.178554,-2.823628,-0.641388,0.007693,0.492210,,,,,,
sample,38,drone,,0.949193,1.793843,-0.575952,1.339343,1.639141,0.901314,0.178682,-3.020520,-0.702398,0.002591,0.502743,,,,,,
sample,39,drone,,0.974171,1.833845,-0.553657,1.343807,1.561233,0.883007,0.178683,-3.217411,-0.763409,-0.002511,0.514728,,,,,,
sample,40,drone,,0.999150,1.871839,-0.531839,1.348269,1.478407,0.863176,0.178557,-3.414303,-0.824419,-0.007614,0.528464,,,,,,
sample,41,drone,,1.024129,1.907702,-0.510535,1.352727,1.390663,0.841821,0.178303,-3.611195,-0.885429,-0.012716,0.544335,,,,,,
sample,42,drone,,1.049108,1.941313,-0.489784,1.357177,1.298001,0.818942,0.177922,-3.808087,-0.946440,-0.017818,0.562849,,,,,,
sample,43,drone,,1.074086,1.972547,-0.469623,1.361615,1.200421,0.794539,0.177413,-4.004979,-1.007450,-0.022920,0.584684,,,,,,
sample,44,drone,,1.099065,2.001283,-0.450090,1.366040,1.097922,0.768612,0.176777,-4.201871,-1.068460,-0.028023,0.610767,,,,,,
sample,45,drone,,1.124044,2.027397,-0.431225,1.370447,0.990506,0.741162,0.176013,-4.398763,-1.129471,-0.033125,0.642390,,,,,,
sample,46,drone,,1.149023,2.050766,-0.413064,1.374833,0.878171,0.712187,0.175122,-4.595655,-1.190481,-0.038227,0.681406,,,,,,
sample,47,drone,,1.174001,2.071268,-0.395646,1.379195,0.760918,0.681688,0.174103,-4.278307,-0.948544,0.014974,0.730532,,,,,,
sample,48,drone,,1.198980,2.088780,-0.379008,1.383531,0.664438,0.664800,0.175870,-2.496243,0.143529,0.230276,0.785671,,,,,,
sample,49,drone,,1.223959,2.104462,-0.362434,1.387981,0.636212,0.688859,0.185607,-0.214370,1.494776,0.491280,0.825108,,,,,,
sample,50,drone,,1.248938,2.120563,-0.344595,1.392803,0.653728,0.739475,0.200413,0.711431,2.014770,0.588470,0.846867,,,,,,
sample,51,drone,,1.273916,2.137120,-0.325492,1.397994,0.671754,0.789511,0.215006,0.713333,1.980528,0.577816,0.865811,,,,,,
sample,52,drone,,1.298895,2.154122,-0.305153,1.403544,0.689364,0.838418,0.229279,0.696740,1.935293,0.565036,0.882652,,,,,,
sample,53,drone,,1.323874,2.171559,-0.283606,1.409448,0.706561,0.886194,0.243233,0.680148,1.890059,0.552255,0.897705,,,,,,
sample,54,drone,,1.348853,2.189420,-0.260881,1.415696,0.723343,0.932840,0.256868,0.663555,1.844825,0.539475,0.911224,,,,,,
sample,55,drone,,1.373831,2.207696,-0.237004,1.422280,0.739710,0.978357,0.270184,0.646962,1.799591,0.526694,0.923419,,,,,,
sample,56,drone,,1.398810,2.226374,-0.212004,1.429193,0.755664,1.022743,0.283181,0.630370,1.754356,0.513914,0.934463,,,,,,
sample,57,drone,,1.423789,2.245447,-0.185910,1.436427,0.771202,1.066000,0.295858,0.613777,1.709122,0.501134,0.944502,,,,,,
sample,58,drone,,1.448768,2.264902,-0.158750,1.443974,0.786326,1.108127,0.308216,0.597184,1.663888,0.488353,0.953657,,,,,,
