section,index,name,chart_id,t,x,y,z,vx,vy,vz,ax,ay,az,yaw,local_u,local_v,plane_error,boundary_margin,chart_contains,contains
crossing,1,G1,12,1.455527,2.202304,0.098578,1.544804,,,,,,,,-0.165826,-0.091521,0.000000000,0.370590427,True,True
crossing,2,G6,11,3.831830,4.386074,2.702906,2.277473,,,,,,,,-0.434414,0.048575,0.000000000,0.216938163,True,True
crossing,3,G3,1,8.777952,5.874978,-1.940276,1.562858,,,,,,,,0.755557,0.189005,0.000000000,0.137670134,True,True
crossing,4,G2,4,13.029650,8.583069,2.855634,2.666818,,,,,,,,-0.668970,-0.104459,0.000000000,0.151030136,True,True
crossing,5,G5,3,14.308552,10.073103,2.945986,1.681221,,,,,,,,0.463801,0.359442,0.000000000,0.153152088,True,True
crossing,6,G4,0,17.800077,12.469032,-2.201011,2.521690,,,,,,,,0.380323,-0.438062,0.000000000,0.141938148,True,True
sample,0,drone,,0.000000,0.000000,-1.400000,1.200000,0.870265,0.589471,0.135307,1.487232,0.907394,0.196298,0.595360,,,,,,
sample,1,drone,,0.024985,0.021743,-1.385272,1.203381,0.907423,0.612142,0.140211,2.203174,1.345100,0.291107,0.593471,,,,,,
sample,2,drone,,0.049969,0.045343,-1.369412,1.207006,0.980356,0.656685,0.149853,2.863768,1.750823,0.379234,0.590199,,,,,,
sample,3,drone,,0.074954,0.070731,-1.352458,1.210869,1.050523,0.699630,0.159162,2.753073,1.686858,0.365872,0.587529,,,,,,
sample,4,drone,,0.099939,0.097837,-1.334451,1.214959,1.117925,0.740976,0.168136,2.642377,1.622893,0.352510,0.585331,,,,,,
sample,5,drone,,0.124924,0.126593,-1.315432,1.219270,1.182562,0.780725,0.176776,2.531682,1.558928,0.339148,0.583511,,,,,,
sample,6,drone,,0.149908,0.156929,-1.295439,1.223793,1.244432,0.818875,0.185083,2.420987,1.494963,0.325785,0.582000,,,,,,
sample,7,drone,,0.174893,0.188777,-1.274513,1.228519,1.303537,0.855427,0.193056,2.310291,1.430998,0.312423,0.580746,,,,,,
sample,8,drone,,0.199878,0.222066,-1.252694,1.233440,1.359876,0.890381,0.200694,2.199596,1.367033,0.299061,0.579708,,,,,,
sample,9,drone,,0.224862,0.256729,-1.230021,1.238547,1.413449,0.923737,0.207999,2.088900,1.303067,0.285699,0.578856,,,,,,
sample,10,drone,,0.249847,0.292696,-1.206535,1.243833,1.464257,0.955495,0.214971,1.978205,1.239102,0.272336,0.578163,,,,,,
sample,11,drone,,0.274832,0.329897,-1.182276,1.249289,1.512299,0.985654,0.221608,1.867510,1.175137,0.258974,0.577611,,,,,,
sample,12,drone,,0.299817,0.368264,-1.157283,1.254907,1.557576,1.014216,0.227911,1.756814,1.111172,0.245612,0.577183,,,,,,
sample,13,drone,,0.324801,0.407728,-1.131596,1.260678,1.600086,1.041179,0.233881,1.646119,1.047207,0.232250,0.576868,,,,,,
sample,14,drone,,0.349786,0.448220,-1.105256,1.266594,1.639831,1.066544,0.239517,1.535424,0.983242,0.218887,0.576655,,,,,,
sample,15,drone,,0.374771,0.489670,-1.078301,1.272646,1.676810,1.090311,0.244819,1.424728,0.919277,0.205525,0.576536,,,,,,
sample,16,drone,,0.399755,0.532009,-1.050773,1.278827,1.711024,1.112480,0.249787,1.314033,0.855312,0.192163,0.576504,,,,,,
sample,17,drone,,0.424740,0.575169,-1.022711,1.285128,1.742472,1.133051,0.254421,1.203337,0.791347,0.178801,0.576554,,,,,,
sample,18,drone,,0.449725,0.619079,-0.994155,1.291541,1.771154,1.152023,0.258721,1.092642,0.727381,0.165438,0.576682,,,,,,
sample,19,drone,,0.474710,0.663672,-0.965145,1.298056,1.797071,1.169397,0.262688,0.981947,0.663416,0.152076,0.576884,,,,,,
sample,20,drone,,0.499694,0.708878,-0.935721,1.304667,1.820221,1.185174,0.266321,0.871251,0.599451,0.138714,0.577159,,,,,,
sample,21,drone,,0.524679,0.754628,-0.905923,1.311364,1.840607,1.199352,0.269619,0.760556,0.535486,0.125352,0.577504,,,,,,
sample,22,drone,,0.549664,0.800852,-0.875790,1.318140,1.858226,1.211931,0.272584,0.649860,0.471521,0.111989,0.577919,,,,,,
sample,23,drone,,0.574648,0.847482,-0.845363,1.324985,1.873080,1.222913,0.275215,0.539165,0.407556,0.098627,0.578404,,,,,,
sample,24,drone,,0.599633,0.894449,-0.814682,1.331892,1.885168,1.232297,0.277513,0.428470,0.343591,0.085265,0.578958,,,,,,
sample,25,drone,,0.624618,0.941683,-0.783786,1.338852,1.894490,1.240082,0.279476,0.317774,0.279626,0.071903,0.579583,,,,,,
sample,26,drone,,0.649603,0.989115,-0.752716,1.345857,1.901047,1.246270,0.281106,0.207079,0.215661,0.058540,0.580281,,,,,,
sample,27,drone,,0.674587,1.036677,-0.721511,1.352899,1.904838,1.250859,0.282401,0.096384,0.151696,0.045178,0.581053,,,,,,
sample,28,drone,,0.699572,1.084299,-0.690211,1.359969,1.905863,1.253850,0.283363,-0.014312,0.087730,0.031816,0.581902,,,,,,
sample,29,drone,,0.724557,1.131912,-0.658857,1.367058,1.904123,1.255243,0.283991,-0.125007,0.023765,0.018454,0.582832,,,,,,
sample,30,drone,,0.749541,1.179447,-0.627487,1.374160,1.899616,1.255037,0.284285,-0.235703,-0.040200,0.005091,0.583846,,,,,,
sample,31,drone,,0.774526,1.226835,-0.596143,1.381264,1.892345,1.253234,0.284245,-0.346398,-0.104165,-0.008271,0.584949,,,,,,
