update,global_steps,stage,episodes,average_return,success_rate,collision_rate,timeout_rate,wall_collision_rate,window_collision_rate,progress_delta_mean,progress_reward_mean,risk_penalty_mean,alignment_reward_mean,average_action_norm,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_average_steps,loss,policy_loss,value_loss,entropy,approx_kl,old_approx_kl,clip_fraction,ppo_updates,ppo_evaluations,early_stop_epoch,advantage_mean,advantage_std,explained_variance,log_std_mean,std_mean
1,45056,C2,98,-5.824337290494475,0.01020408163265306,0.9897959183673469,0.0,0.9897959183673469,0.0,0.04928477959765587,0.05914173551718704,0.0,0.015633001636767858,0.38532141734526704,0.625,0.375,0.0,92.875,3.227648228406906,-0.003383975214092061,6.464860498905182,0.3495083972811699,0.008034465003220248,0.008868586584867444,0.10540771484375,32.0,32.0,0.0,0.8506931066513062,2.71785306930542,0.41162538528442383,-1.2461740970611572,0.28760355710983276
2,49152,C2,106,-4.592045164752321,0.02830188679245283,0.9716981132075472,0.0,0.9716981132075472,0.0,0.05772671403246932,0.06927205683896318,0.0,0.01762132848707097,0.4033826476170361,,,,,5.731480285525322,-0.0006193057488417253,11.466944217681885,0.3431367501616478,0.0070524904426747526,0.00550037750372212,0.09149169921875,32.0,32.0,0.0,0.8529945015907288,3.4564621448516846,0.32812583446502686,-1.2486510276794434,0.2868923544883728
3,53248,C2,102,-5.330718054287336,0.00980392156862745,0.9901960784313726,0.0,0.9901960784313726,0.0,0.05610546875577711,0.06732656250693253,0.0,0.017710188266548813,0.39903177124188005,,,,,3.844774916768074,-0.002402833866653964,7.6970407366752625,0.33566196262836456,0.008552726272682776,0.009301678930569324,0.11151123046875,32.0,32.0,0.0,0.3270392417907715,2.9026341438293457,0.25439953804016113,-1.2540016174316406,0.28536075353622437
4,57344,C2,108,-4.389149928136837,0.027777777777777776,0.9722222222222222,0.0,0.9722222222222222,0.0,0.06459916212552344,0.07751899455062812,0.0,0.019586021651570036,0.4125607676782579,,,,,5.560245797038078,-0.003513967865728773,11.13011920452118,0.3249681778252125,0.010331829182632646,0.014163621976422291,0.1341552734375,32.0,32.0,0.0,0.40950894355773926,3.5032060146331787,0.31167811155319214,-1.258699655532837,0.2840231657028198
5,61440,C2,85,-4.266881436230943,0.011764705882352941,0.9882352941176471,0.0,0.9882352941176471,0.0,0.06800421222214936,0.08160505466657922,0.0,0.021156598059940565,0.41764642782561623,0.5,0.5,0.0,101.625,3.8662957698106766,-0.0030434627551585436,7.741204559803009,0.31576426327228546,0.008440711653747712,0.009215652453349321,0.106201171875,32.0,32.0,0.0,0.3454996347427368,2.884732484817505,0.23779147863388062,-1.2637310028076172,0.282598078250885
6,65536,C2,71,-4.257986485384878,0.014084507042253521,0.9859154929577465,0.0,0.9859154929577465,0.0,0.06091221698443405,0.07309466038132087,0.0,0.019568497859677337,0.40607138368932283,,,,,3.130082406103611,-0.0034685864811763167,6.269545018672943,0.3053784482181072,0.010364906281211006,0.008611219048361818,0.13836669921875,32.0,32.0,0.0,0.38491469621658325,2.6058883666992188,0.2737116813659668,-1.2695553302764893,0.28095799684524536
7,69632,C2,85,-4.26815014602038,0.023529411764705882,0.9764705882352941,0.0,0.9764705882352941,0.0,0.06777226165286265,0.08132671398343519,0.0,0.021357186017305595,0.41779407567150884,,,,,5.281593859195709,-0.005439258660771884,10.576419353485107,0.29414285346865654,0.012650874883547658,0.01357333366649982,0.169677734375,32.0,32.0,0.0,0.24182718992233276,3.4291508197784424,0.05674898624420166,-1.2737330198287964,0.2797870635986328
8,73728,C2,87,-4.537079225153341,0.011494252873563218,0.9885057471264368,0.0,0.9885057471264368,0.0,0.06664964444644284,0.07997957333573141,0.0,0.02118209604974254,0.4147778493007763,,,,,3.4167400896549225,-0.0009071446547750384,6.837573379278183,0.28486354649066925,0.014027270743099507,0.017346518897284113,0.176025390625,32.0,32.0,0.0,0.3721485137939453,2.7136900424957275,0.3335230350494385,-1.27981698513031,0.2780913710594177
9,77824,C2,90,-3.2535627349391576,0.044444444444444446,0.9555555555555556,0.0,0.9555555555555556,0.0,0.07347761372420791,0.08817313646904949,0.0,0.022515905616285182,0.42752347687746806,,,,,6.508949086070061,-0.005665656935889274,13.031433880329132,0.2755678631365299,0.009079879746423103,0.008682469525410852,0.11676025390625,32.0,32.0,0.0,0.7130294442176819,3.7618112564086914,0.2975315451622009,-1.2822861671447754,0.27740490436553955
10,81920,C2,66,1.3582847355968792,0.12121212121212122,0.8787878787878788,0.0,0.8787878787878788,0.0,0.07781910249832436,0.09338292299798923,0.0,0.023554249958183393,0.4297892833210426,0.75,0.0,0.25,155.375,8.66849859058857,-0.0021285944822011515,17.34342712163925,0.2715945579111576,0.008887103713732358,0.0070271361787490605,0.1212158203125,32.0,32.0,0.0,1.7751145362854004,4.2288618087768555,0.4039419889450073,-1.2841213941574097,0.2768952250480652
