update,global_steps,stage,episodes,average_return,success_rate,collision_rate,timeout_rate,wall_collision_rate,window_collision_rate,progress_delta_mean,progress_reward_mean,risk_penalty_mean,alignment_reward_mean,average_action_norm,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_average_steps,loss,policy_loss,value_loss,entropy,approx_kl,old_approx_kl,clip_fraction,ppo_updates,ppo_evaluations,early_stop_epoch,advantage_mean,advantage_std,explained_variance,log_std_mean,std_mean
1,106496,C2B,42,-1.3213956867467087,0.0,1.0,0.0,0.9761904761904762,0.023809523809523808,0.09181174047989771,0.11017408857587725,-6.125644431449469e-07,0.027397227909063987,0.4570538462962759,0.25,0.625,0.125,237.875,3.2986073940992355,-4.667032044380903e-06,6.59893898665905,0.21435440704226494,0.014994710663813748,0.014140848206807277,0.19415283203125,32.0,32.0,0.0,0.1947944313287735,2.6671411991119385,0.09547537565231323,-1.3133747577667236,0.2689114809036255
2,110592,C2B,23,-0.13128345195949118,0.0,1.0,0.0,0.9565217391304348,0.043478260869565216,0.09748791562742554,0.11698549875291064,-1.4279430324677373e-06,0.029083922251331842,0.4682800378595857,,,,,2.444145690649748,0.0010030074918176979,4.887940675020218,0.20691761747002602,0.010754074775832123,0.011278791424047085,0.1397705078125,32.0,32.0,0.0,0.8225135803222656,2.30228853225708,0.07481145858764648,-1.3180670738220215,0.26765215396881104
3,114688,C2B,39,-1.3481659469325573,0.0,1.0,0.0,0.9743589743589743,0.02564102564102564,0.09520794480340555,0.11424953376408666,-1.304121367866173e-06,0.02846907698307405,0.4642259383512055,,,,,3.3781469240784645,0.004367274348624051,6.749129801988602,0.19630812481045723,0.01969853042919567,0.022182243935276347,0.22625732421875,32.0,32.0,0.0,0.1477431356906891,2.6831536293029785,0.10142993927001953,-1.3233051300048828,0.26625388860702515
4,118784,C2B,26,-0.8791934625838821,0.0,1.0,0.0,0.9230769230769231,0.07692307692307693,0.10349848083569668,0.12419817700283602,-4.463947756448759e-06,0.030512143777241364,0.48203159994466205,,,,,2.941182069480419,0.006316652812529355,5.871238201856613,0.18841707333922386,0.020912541306643107,0.016613731911093055,0.25762939453125,32.0,32.0,0.0,0.6990752220153809,2.567178964614868,-0.024760007858276367,-1.32635498046875,0.26544326543807983
5,122880,C2B,55,-3.0728221967075364,0.0,1.0,0.0,1.0,0.0,0.1081806143920403,0.12981673727044835,0.0,0.03210803870696509,0.49918706600055884,0.5,0.5,0.0,174.125,4.997951857745647,0.000419275660533458,9.996506333351135,0.18015972524881363,0.023630504670563823,0.02331812270313094,0.26129150390625,32.0,32.0,0.0,-0.32909610867500305,3.2364282608032227,0.11224043369293213,-1.3313491344451904,0.2641209065914154
6,126976,C2B,61,-3.161545251141562,0.0,1.0,0.0,0.9672131147540983,0.03278688524590164,0.10852838860591874,0.1302340663271025,-4.401569545734673e-06,0.032052141018489244,0.4988269908553775,,,,,4.952744752168655,0.0033560466254130006,9.900154083967209,0.1720806136727333,0.01992348645671882,0.019635619294604112,0.22845458984375,32.0,32.0,0.0,-0.3326456546783447,3.2812821865081787,0.13296347856521606,-1.3340375423431396,0.26341187953948975
7,131072,C2B,59,-2.8274848359869003,0.0,1.0,0.0,0.9830508474576272,0.01694915254237288,0.1086420370011183,0.13037044440134196,-2.486006938852369e-06,0.032263535278452764,0.5062882245281344,,,,,4.616426661610603,-0.010256500274408609,9.254718005657196,0.1689634546637535,0.017947472962987376,0.01815235094181844,0.2247314453125,32.0,32.0,0.0,0.022690802812576294,3.150779962539673,0.13056838512420654,-1.3344441652297974,0.26330453157424927
8,135168,C2B,41,-0.7840251307226718,0.0,1.0,0.0,1.0,0.0,0.1094541747297626,0.1313450096757151,0.0,0.03233143891218787,0.49916982003151134,,,,,3.776454947888851,0.006114160438301042,7.542015239596367,0.1667065992951393,0.023595350913637958,0.024449500762784737,0.23504638671875,32.0,32.0,0.0,0.40602996945381165,2.8546574115753174,0.12266302108764648,-1.3373925685882568,0.2625294029712677
9,139264,C2B,16,4.859378399360461,0.0,1.0,0.0,0.875,0.125,0.11795355749200098,0.14154426899040118,-5.174174322746693e-06,0.034658073816272006,0.5174494861348649,,,,,2.235830284655094,0.0011111788335256279,4.470722645521164,0.1605559103190899,0.008059022406996519,0.00812209001469455,0.1060791015625,32.0,32.0,0.0,1.3819851875305176,2.1757009029388428,0.0651007890701294,-1.3400497436523438,0.26183271408081055
10,143360,C2B,20,4.563866981604881,0.0,1.0,0.0,0.85,0.15,0.11883731200032344,0.14260477440038813,-5.544492756598628e-06,0.03510770003609423,0.5180709221341431,0.75,0.25,0.0,210.125,2.731209270656109,0.0005873274203622714,5.462488733232021,0.15560100227594376,0.011506016566272592,0.011163144037709571,0.1475830078125,32.0,32.0,0.0,0.8029404878616333,2.4118707180023193,0.169247567653656,-1.3424832820892334,0.2611965537071228
