update,global_steps,stage,episodes,average_return,success_rate,collision_rate,timeout_rate,wall_collision_rate,window_collision_rate,progress_delta_mean,progress_reward_mean,risk_penalty_mean,wall_penalty_mean,center_penalty_mean,closed_window_penalty_mean,alignment_reward_mean,gap_alignment_reward_mean,average_action_norm,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_average_steps,loss,policy_loss,value_loss,entropy,approx_kl,old_approx_kl,clip_fraction,ppo_updates,ppo_evaluations,early_stop_epoch,advantage_mean,advantage_std,explained_variance,log_std_mean,std_mean
1,65536,C4B,23,40.34061080693449,0.08695652173913043,0.9130434782608695,0.0,0.08695652173913043,0.8260869565217391,0.19213573515298776,0.2305628821835853,-3.065961561514995e-05,-0.0068022701892478344,-0.01781834443169828,0.0,0.2549139960004794,0.0013520198387340279,0.5978149747097632,0.75,0.25,0.0,240.125,62.50927337010702,0.003319390661393603,125.01190694173177,-0.7621228694915771,0.009627610867028125,0.009657095977066396,0.22941080729166666,24.0,24.0,0.0,0.5071150064468384,11.170815467834473,3.814697265625e-06,-1.7999999523162842,0.16529890894889832
2,69632,C4B,23,40.29331622527696,0.08695652173913043,0.9130434782608695,0.0,0.13043478260869565,0.782608695652174,0.1928973638860043,0.23147683666320518,-3.0899565092113324e-05,-0.006372954115380189,-0.01745455319606663,0.0,0.25750461837333205,0.001084983891864688,0.6031837588811868,,,,,62.63573773701986,-0.00079050735803321,125.27305634816487,-0.7621228694915771,0.0038222050437373887,0.005789075132876557,0.08894856770833333,24.0,24.0,0.0,0.6151638031005859,11.177389144897461,9.417533874511719e-06,-1.7999999523162842,0.16529890894889832
3,73728,C4B,25,32.300607995905864,0.04,0.96,0.0,0.16,0.8,0.1942440913117025,0.233092909574043,-2.601706679411108e-05,-0.0061337346742910675,-0.016965893547712767,0.0,0.25729589213133297,0.0014617584437244336,0.602960079904733,,,,,68.51392157872517,-0.0008714228169992566,137.02958615620932,-0.7621228694915771,0.003863677387319816,0.0039228997435808806,0.087890625,24.0,24.0,0.0,-0.14786334335803986,11.704804420471191,1.0013580322265625e-05,-1.7999999523162842,0.16529890894889832
4,77824,C4B,23,39.28765068737935,0.08695652173913043,0.9130434782608695,0.0,0.08695652173913043,0.8260869565217391,0.1929537754622288,0.23154453055467455,-2.862226999423e-05,-0.0061552955271231054,-0.017333683758224652,0.0,0.25762598717915347,0.0015242398851218557,0.603393169224546,,,,,62.34976784388224,0.0012342778500169516,124.6970666249593,-0.7621228694915771,0.004494894135859795,0.0028649874305604803,0.105224609375,24.0,24.0,0.0,0.5688148736953735,11.153265953063965,1.4543533325195312e-05,-1.7999999523162842,0.16529890894889832
5,81920,C4B,24,38.918141870825536,0.125,0.875,0.0,0.041666666666666664,0.8333333333333334,0.19296064079389907,0.2315527689526789,-3.417115489719435e-05,-0.006676778679874014,-0.017514189839675967,0.0,0.2561955543236991,0.001544036763873647,0.6000898978618352,0.625,0.375,0.0,205.375,62.689942359924316,-0.00019400233092407385,125.38027127583821,-0.7621228694915771,0.0036644254529771083,0.004312154611398,0.085205078125,24.0,24.0,0.0,0.5791374444961548,11.184264183044434,7.909536361694336e-05,-1.7999999523162842,0.16529890894889832
6,86016,C4B,26,29.673786777247134,0.07692307692307693,0.9230769230769231,0.0,0.07692307692307693,0.8461538461538461,0.19259349670028314,0.23111219604033978,-3.505555084120714e-05,-0.006259617125237231,-0.017300978598668738,0.0,0.25566805374178325,0.001640906855225232,0.5995177290060383,,,,,69.26026662190755,-0.00010918558109551668,138.52075068155924,-0.7621228694915771,0.006050928697125831,0.008167831496393774,0.14396158854166666,24.0,24.0,0.0,-0.11953979730606079,11.776525497436523,0.00020438432693481445,-1.7999999523162842,0.16529890894889832
7,90112,C4B,23,41.33245434087328,0.13043478260869565,0.8695652173913043,0.0,0.08695652173913043,0.782608695652174,0.19204957454348914,0.23045948945218697,-2.460638661432312e-05,-0.005798194866992038,-0.016843939723739824,0.0,0.25493061416749474,0.0011503501157635408,0.597488813936252,,,,,59.56615273157755,0.00299139852480342,119.12632274627686,-0.7621228694915771,0.007129308696069832,0.0077638135420177905,0.16536458333333334,24.0,24.0,0.0,0.7721091508865356,10.963532447814941,0.010567069053649902,-1.7999999523162842,0.16529890894889832
8,94208,C4B,20,33.20279746845977,0.0,1.0,0.0,0.0,1.0,0.195215729996562,0.23425887599587442,-2.7747662446927273e-05,-0.0057703508508407325,-0.016780609531087978,0.0,0.26171282528425766,0.0013144718275870495,0.6118375098812976,,,,,58.72206290562948,0.006457382871303707,117.43121115366618,-0.7621228694915771,0.008427447498737214,0.007708802376631259,0.160400390625,24.0,24.0,0.0,0.8448777198791504,10.895057678222656,0.014766812324523926,-1.7999999523162842,0.16529890894889832
9,98304,C4B,22,44.917598875943455,0.09090909090909091,0.9090909090909091,0.0,0.045454545454545456,0.8636363636363636,0.19358817688771524,0.23230581226525826,-3.5615232438431116e-05,-0.006096759449332516,-0.017183799093336352,0.0,0.2581960940057968,0.0013407616623975303,0.6050158133966761,,,,,54.77280600865682,0.006139503481487433,109.5333325068156,-0.7621228694915771,0.012413950892854094,0.010886407475481974,0.228271484375,24.0,24.0,0.0,0.8984200954437256,10.640541076660156,0.08381175994873047,-1.7999999523162842,0.16529890894889832
10,102400,C4B,21,44.90485297123748,0.09523809523809523,0.9047619047619048,0.0,0.047619047619047616,0.8571428571428571,0.1966829176817555,0.23601950121810658,-3.7022521886683526e-05,-0.006075439100220414,-0.017123478698486,0.0,0.26269821165694796,0.0013832319596338983,0.6155153109270941,0.875,0.125,0.0,217.625,51.172540573846724,0.009057675089154924,102.32696533203125,-0.7621228694915771,0.012641445816760617,0.011118413370457433,0.22581845238095238,20.0,21.0,3.0,1.4723584651947021,10.159965515136719,0.13239717483520508,-1.7999999523162842,0.16529890894889832
