update,global_steps,stage,episodes,average_return,success_rate,collision_rate,timeout_rate,wall_collision_rate,window_collision_rate,progress_delta_mean,progress_reward_mean,risk_penalty_mean,wall_penalty_mean,center_penalty_mean,closed_window_penalty_mean,closing_window_penalty_mean,closed_approach_penalty_mean,wait_reward_mean,alignment_reward_mean,gap_alignment_reward_mean,average_action_norm,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_average_steps,loss,policy_loss,value_loss,entropy,approx_kl,old_approx_kl,clip_fraction,ppo_updates,ppo_evaluations,early_stop_epoch,advantage_mean,advantage_std,explained_variance,log_std_mean,std_mean
1,65536,C2,144,-5.074287858087354,0.020833333333333332,0.9791666666666666,0.0,0.8611111111111112,0.11805555555555555,0.037588831489119914,0.04510659778694389,-0.00011582013891893437,-0.014758483010021679,-0.032756226383851964,0.0,0.0,0.0,0.0,0.06592503537972441,0.015587227071374572,0.37964308287723725,0.5625,0.4375,0.0,128.4375,5.7659034331639605,-0.004984296004598339,11.542609731356302,0.4171014030774434,0.0021457976472447626,0.0035903099057274326,0.043050130208333336,24.0,24.0,0.0,-0.09231105446815491,3.5482072830200195,0.31097525358200073,-1.2109209299087524,0.297923743724823
2,69632,C2,142,-5.167480860475174,0.0,1.0,0.0,0.8802816901408451,0.11971830985915492,0.04357489430331043,0.05228987316397252,-0.00010443568776827302,-0.012933989805965121,-0.030072254138718453,0.0,0.0,0.0,0.0,0.07385901087497784,0.020337235183156416,0.38728038413330523,,,,,3.7762793004512787,-0.002784342815478643,7.558956881364186,0.41477054357528687,0.002431383218815123,0.0031839892393084788,0.051513671875,24.0,24.0,0.0,-0.1343277096748352,2.819878101348877,-0.07494592666625977,-1.212353229522705,0.2974971532821655
3,73728,C2,140,-4.669384415378104,0.007142857142857143,0.9928571428571429,0.0,0.8642857142857143,0.12857142857142856,0.04758069728995906,0.05709683674795087,-0.00018846945738187055,-0.015315703239322237,-0.033012488653417174,0.0,0.0,0.0,0.0,0.0779158954598619,0.02320012659885789,0.38949592823689727,,,,,5.090388814608256,-0.006135626754257828,10.193872292836508,0.41173789898554486,0.0029229242779062283,0.004396567906951532,0.06510416666666667,24.0,24.0,0.0,0.12037090957164764,3.238009214401245,0.09969556331634521,-1.2138625383377075,0.2970486581325531
4,77824,C2,133,-3.3115943509065278,0.015037593984962405,0.9849624060150376,0.0,0.8195488721804511,0.16541353383458646,0.055522884279344,0.06662746113521278,-0.0001849358888575807,-0.013289723542719485,-0.030596101701425085,0.0,0.0,0.0,0.0,0.08769071736058981,0.0275505526805233,0.4031490083148128,,,,,6.196051935354869,-0.005829619981038074,12.40458087126414,0.4088439444700877,0.003042708335366721,0.0043476569941655425,0.06795247395833333,24.0,24.0,0.0,0.48448646068573,3.537867546081543,0.2189510464668274,-1.2151834964752197,0.2966569662094116
5,81920,C2,106,0.07516566318093187,0.04716981132075472,0.9528301886792453,0.0,0.7169811320754716,0.2358490566037736,0.06882409963945975,0.0825889195673517,-0.0001881242830131668,-0.012119740613875996,-0.0297682217976913,0.0,0.0,0.0,0.0,0.10005178179780737,0.03444167588337403,0.40972391145123765,0.6875,0.25,0.0625,134.875,9.931670983632406,-0.001145395333878696,19.866446375846863,0.4068942070007324,0.0026205688391200965,0.003646498510837167,0.05419921875,24.0,24.0,0.0,1.5122969150543213,4.389000415802002,0.24645870923995972,-1.2157354354858398,0.2964933514595032
6,86016,C2,114,-1.2589143017805113,0.02631578947368421,0.9736842105263158,0.0,0.7017543859649122,0.2719298245614035,0.06366926579503343,0.07640311895404012,-0.00021495282591786228,-0.012590943381736514,-0.03010708644047805,0.0,0.0,0.0,0.0,0.0962532907198491,0.03617107281675687,0.41138368790529967,,,,,8.522411783536276,-0.0023947131897633276,17.050424337387085,0.40559256076812744,0.001656497815019975,0.0021029886477966406,0.023518880208333332,24.0,24.0,0.0,0.398862361907959,4.147521495819092,0.18781888484954834,-1.216698408126831,0.2962079644203186
7,90112,C2,102,2.516977202956508,0.09803921568627451,0.9019607843137255,0.0,0.6470588235294118,0.2549019607843137,0.06758466676255921,0.08110160011507105,-0.00020238193758996198,-0.011652678372367529,-0.02845166025855684,0.0,0.0,0.0,0.0,0.09981781780637503,0.03622786491011286,0.412830863414797,,,,,14.735981305440268,-0.001987083349376917,29.476744731267292,0.4038502375284831,0.0020388469038152834,0.003069296679010828,0.042561848958333336,24.0,24.0,0.0,1.7723406553268433,5.273870468139648,0.2975271940231323,-1.2172813415527344,0.2960353493690491
8,94208,C2,111,1.0067452455656447,0.06306306306306306,0.9369369369369369,0.0,0.6756756756756757,0.26126126126126126,0.07148281756817595,0.08577938108181116,-0.00024591221308219245,-0.01108422834851916,-0.030605677424697848,0.0,0.0,0.0,0.0,0.10414598582699969,0.04056094950509855,0.42490627370898437,,,,,12.983426054318747,-0.002329550877523919,25.97231610616048,0.4024902880191803,0.0016489286426804028,0.0020649744158921144,0.0205078125,24.0,24.0,0.0,0.9571607112884521,5.054797172546387,0.24669742584228516,-1.2182414531707764,0.29575109481811523
9,98304,C2,122,0.43024622208043467,0.04918032786885246,0.9508196721311475,0.0,0.7622950819672131,0.1885245901639344,0.0760408290036139,0.09124899480433668,-0.00016116179528762582,-0.011995049355170422,-0.02959680705513178,0.0,0.0,0.0,0.0,0.11405261544902973,0.03907702122050852,0.4295049808799831,,,,,13.906603495279947,-0.0033865966252051294,27.820780754089355,0.4002867142359416,0.0014298545711426414,0.0009993220567897272,0.019612630208333332,24.0,24.0,0.0,0.5230695009231567,5.278426647186279,0.19809329509735107,-1.2193892002105713,0.2954118847846985
10,102400,C2,92,6.723677796732562,0.14130434782608695,0.8586956521739131,0.0,0.5869565217391305,0.2717391304347826,0.08447217323373479,0.10136660788048175,-0.00021113005248480472,-0.009985159511703513,-0.027297324593202735,0.0,0.0,0.0,0.0,0.12036531114908652,0.04242240212154699,0.4398530962623681,0.71875,0.28125,0.0,93.90625,19.01864429314931,-0.0011208059925896425,38.04032675425211,0.3984406590461731,0.0021491240501442612,0.0021238625085970853,0.041585286458333336,24.0,24.0,0.0,2.256554126739502,5.908803939819336,0.2509351968765259,-1.220017671585083,0.2952263355255127
