stage,t,x,y,z
-1,0.000000,0.000000,-0.800000,1.200000
0,1.200000,2.000000,0.525861,1.572148
1,2.900000,4.242574,3.090919,2.606595
2,5.600000,6.397170,-2.487949,0.509954
3,8.800000,8.816225,3.937761,3.440740
4,12.300000,11.555771,-3.399173,1.099085
5,15.100000,14.561140,2.233385,2.523710
6,17.800000,16.968922,-1.723373,1.526368
7,20.800000,19.810756,3.505057,3.266854
8,23.500000,22.282608,-1.842712,1.085831
9,25.600000,25.174107,1.838731,2.459154
10,28.100000,27.754319,-2.289184,1.642877
11,30.100000,30.383266,1.349049,2.605851
12,31.400000,33.000000,0.000000,1.800000
