stage,t,x,y,z
-1,0.000000,0.000000,-0.800000,1.200000
0,1.000000,2.000000,0.000000,1.200000
1,2.600000,4.200000,2.800000,2.400000
2,4.900000,6.500000,-1.800000,1.000000
3,7.400000,8.800000,3.200000,3.000000
4,10.400000,11.500000,-3.000000,1.400000
5,13.200000,14.500000,2.600000,2.800000
6,15.700000,17.000000,-2.400000,1.100000
7,18.600000,19.800000,3.400000,3.200000
8,21.000000,22.400000,-1.200000,1.600000
9,23.000000,25.200000,2.200000,2.700000
10,25.500000,27.800000,-2.800000,1.300000
11,27.400000,30.500000,0.600000,2.100000
12,28.600000,33.000000,0.000000,1.800000
