section,index,name,t,x,y,z,vx,vy,vz,ax,ay,az,yaw
crossing,1,G1,2.000000,2.405169,-0.492385,0.990799,,,,,,
crossing,2,G6,5.250000,4.258573,3.510088,2.174973,,,,,,
crossing,3,G3,10.750000,5.933258,-3.058097,0.330212,,,,,,
crossing,4,G2,15.750000,8.177160,2.278294,2.321860,,,,,,
crossing,5,G5,17.500000,10.177527,1.367546,1.518466,,,,,,
crossing,6,G4,21.500000,12.125450,-1.027598,3.539838,,,,,,
sample,0,drone,0.000000,0.000000,-1.400000,1.200000,0.001844,0.000696,-0.000160,0.215724,0.081405,-0.018764,0.360838
sample,1,drone,0.025000,0.000046,-1.399983,1.199996,0.007237,0.002731,-0.000629,0.423908,0.159966,-0.036871,0.360838
sample,2,drone,0.050000,0.000362,-1.399863,1.199969,0.023039,0.008694,-0.002004,0.824703,0.311210,-0.071732,0.360838
sample,3,drone,0.074999,0.001198,-1.399548,1.199896,0.048472,0.018291,-0.004216,1.194073,0.450596,-0.103860,0.360838
sample,4,drone,0.099999,0.002785,-1.398949,1.199758,0.082742,0.031224,-0.007197,1.532157,0.578175,-0.133266,0.360838
sample,5,drone,0.124999,0.005335,-1.397987,1.199536,0.125079,0.047200,-0.010879,1.839801,0.694268,-0.160025,0.360838
sample,6,drone,0.149999,0.009039,-1.396589,1.199214,0.174732,0.065937,-0.015198,2.117850,0.799193,-0.184210,0.360838
sample,7,drone,0.174998,0.014072,-1.394690,1.198776,0.230971,0.087159,-0.020090,2.367151,0.893269,-0.205894,0.360838
sample,8,drone,0.199998,0.020588,-1.392231,1.198209,0.293088,0.110600,-0.025493,2.588549,0.976815,-0.225151,0.360838
sample,9,drone,0.224998,0.028726,-1.389160,1.197501,0.360397,0.135999,-0.031347,2.782888,1.050152,-0.242054,0.360838
sample,10,drone,0.249998,0.038607,-1.385431,1.196642,0.432231,0.163107,-0.037595,2.951016,1.113596,-0.256678,0.360838
sample,11,drone,0.274998,0.050337,-1.381005,1.195622,0.507946,0.191679,-0.044181,3.093777,1.167469,-0.269095,0.360838
sample,12,drone,0.299997,0.064005,-1.375847,1.194433,0.586919,0.221480,-0.051050,3.212017,1.212088,-0.279380,0.360838
sample,13,drone,0.324997,0.079683,-1.369931,1.193069,0.668546,0.252283,-0.058150,3.306581,1.247772,-0.287605,0.360838
sample,14,drone,0.349997,0.097432,-1.363233,1.191525,0.752246,0.283868,-0.065430,3.378315,1.274842,-0.293844,0.360838
sample,15,drone,0.374997,0.117295,-1.355738,1.189798,0.837460,0.316024,-0.072842,3.428065,1.293616,-0.298172,0.360838
sample,16,drone,0.399997,0.139304,-1.347432,1.187883,0.923648,0.348548,-0.080339,3.456676,1.304412,-0.300660,0.360838
sample,17,drone,0.424996,0.163477,-1.338310,1.185781,1.010293,0.381244,-0.087875,3.464993,1.307551,-0.301384,0.360838
sample,18,drone,0.449996,0.189818,-1.328370,1.183490,1.096896,0.413925,-0.095408,3.453863,1.303351,-0.300415,0.360838
sample,19,drone,0.474996,0.218321,-1.317614,1.181011,1.182984,0.446411,-0.102895,3.424130,1.292131,-0.297829,0.360838
sample,20,drone,0.499996,0.248967,-1.306050,1.178345,1.268101,0.478531,-0.110299,3.376641,1.274210,-0.293699,0.360838
sample,21,drone,0.524995,0.281726,-1.293688,1.175496,1.351815,0.510121,-0.117580,3.312240,1.249908,-0.288097,0.360838
sample,22,drone,0.549995,0.316557,-1.280544,1.172466,1.433712,0.541026,-0.124704,3.231774,1.219543,-0.281098,0.360838
sample,23,drone,0.574995,0.353411,-1.266637,1.169260,1.513402,0.571098,-0.131635,3.136088,1.183435,-0.272776,0.360838
sample,24,drone,0.599995,0.392227,-1.251989,1.165884,1.590515,0.600197,-0.138342,3.026027,1.141902,-0.263202,0.360838
sample,25,drone,0.624995,0.432936,-1.236627,1.162343,1.664702,0.628193,-0.144795,2.902437,1.095265,-0.252453,0.360838
sample,26,drone,0.649994,0.475461,-1.220580,1.158645,1.735636,0.654960,-0.150965,2.766164,1.043840,-0.240600,0.360838
sample,27,drone,0.674994,0.519717,-1.203879,1.154795,1.803009,0.680384,-0.156825,2.618052,0.987949,-0.227717,0.360838
sample,28,drone,0.699994,0.565611,-1.186561,1.150803,1.866537,0.704357,-0.162351,2.458949,0.927910,-0.213878,0.360838
sample,29,drone,0.724994,0.613043,-1.168662,1.146678,1.925956,0.726779,-0.167519,2.289698,0.864041,-0.199157,0.360838
sample,30,drone,0.749994,0.661908,-1.150222,1.142428,1.981021,0.747559,-0.172308,2.111146,0.796663,-0.183627,0.360838
sample,31,drone,0.774993,0.712093,-1.131284,1.138062,2.031512,0.766612,-0.176700,1.924139,0.726094,-0.167361,0.360838
sample,32,drone,0.799993,0.763482,-1.111892,1.133593,2.077227,0.783863,-0.180676,1.729521,0.652653,-0.150433,0.360838
sample,33,drone,0.824993,0.815954,-1.092091,1.129029,2.117987,0.799244,-0.184222,1.528139,0.576659,-0.132917,0.360838
sample,34,drone,0.849993,0.869381,-1.071930,1.124382,2.153634,0.812696,-0.187322,1.320837,0.498431,-0.114886,0.360838
sample,35,drone,0.874992,0.923634,-1.051457,1.119663,2.184029,0.824166,-0.189966,1.108462,0.418290,-0.096414,0.360838
sample,36,drone,0.899992,0.978581,-1.030722,1.114883,2.209056,0.833610,-0.192143,0.891859,0.336552,-0.077573,0.360838
sample,37,drone,0.924992,1.034086,-1.009777,1.110056,2.228621,0.840993,-0.193844,0.671873,0.253538,-0.058439,0.360838
sample,38,drone,0.949992,1.090012,-0.988673,1.105191,2.242650,0.846287,-0.195065,0.449351,0.169567,-0.039084,0.360838
sample,39,drone,0.974992,1.146218,-0.967463,1.100302,2.251088,0.849471,-0.195799,0.225137,0.084958,-0.019582,0.360838
sample,40,drone,0.999991,1.202565,-0.946200,1.095401,2.253906,0.850535,-0.196044,0.000077,0.000029,-0.000007,0.360838
sample,41,drone,1.024991,1.258912,-0.924937,1.090500,2.251092,0.849473,-0.195799,-0.224983,-0.084900,0.019569,0.360838
sample,42,drone,1.049991,1.315119,-0.903726,1.085612,2.242657,0.846290,-0.195065,-0.449197,-0.169509,0.039071,0.360838
sample,43,drone,1.074991,1.371044,-0.882622,1.080747,2.228633,0.840997,-0.193845,-0.671721,-0.253481,0.058426,0.360838
sample,44,drone,1.099991,1.426549,-0.861677,1.075919,2.209071,0.833616,-0.192144,-0.891709,-0.336496,0.077560,0.360838
sample,45,drone,1.124990,1.481497,-0.840942,1.071140,2.184048,0.824173,-0.189967,-1.108315,-0.418234,0.096401,0.360838
sample,46,drone,1.149990,1.535751,-0.820469,1.066421,2.153656,0.812704,-0.187324,-1.320693,-0.498377,0.114873,0.360838
sample,47,drone,1.174990,1.589179,-0.800307,1.061774,2.118014,0.799254,-0.184224,-1.527998,-0.576606,0.132905,0.360838
sample,48,drone,1.199990,1.641651,-0.780506,1.057210,2.077257,0.783874,-0.180679,-1.729385,-0.652601,0.150421,0.360838
sample,49,drone,1.224989,1.693041,-0.761114,1.052740,2.031545,0.766624,-0.176703,-1.924008,-0.726044,0.167349,0.360838
sample,50,drone,1.249989,1.743227,-0.742175,1.048375,1.981057,0.747572,-0.172311,-2.111021,-0.796615,0.183616,0.360838
sample,51,drone,1.274989,1.792093,-0.723735,1.044125,1.925995,0.726794,-0.167522,-2.289579,-0.863996,0.199147,0.360838
sample,52,drone,1.299989,1.839526,-0.705836,1.039999,1.866579,0.704373,-0.162354,-2.458836,-0.927867,0.213868,0.360838
sample,53,drone,1.324989,1.885421,-0.688517,1.036007,1.803054,0.680401,-0.156829,-2.617947,-0.987909,0.227708,0.360838
sample,54,drone,1.349988,1.929678,-0.671816,1.032157,1.735683,0.654978,-0.150969,-2.766066,-1.043803,0.240591,0.360838
sample,55,drone,1.374988,1.972204,-0.655768,1.028459,1.664752,0.628211,-0.144799,-2.902348,-1.095231,0.252445,0.360838
sample,56,drone,1.399988,2.012915,-0.640406,1.024918,1.590567,0.600217,-0.138347,-3.025947,-1.141872,0.263196,0.360838
sample,57,drone,1.424988,2.051732,-0.625758,1.021541,1.513456,0.571118,-0.131640,-3.136017,-1.183408,0.272769,0.360838
sample,58,drone,1.449988,2.088587,-0.611850,1.018336,1.433768,0.541047,-0.124708,-3.231714,-1.219520,0.281093,0.360838
sample,59,drone,1.474987,2.123420,-0.598706,1.015306,1.351872,0.510143,-0.117585,-3.312191,-1.249889,0.288093,0.360838
sample,60,drone,1.499987,2.156180,-0.586343,1.012456,1.268159,0.478553,-0.110304,-3.376603,-1.274196,0.293695,0.360838
sample,61,drone,1.524987,2.186827,-0.574778,1.009791,1.183043,0.446433,-0.102901,-3.424104,-1.292121,0.297827,0.360838
sample,62,drone,1.549987,2.215331,-0.564022,1.007311,1.096956,0.413948,-0.095413,-3.453849,-1.303345,0.300414,0.360838
sample,63,drone,1.574986,2.241674,-0.554081,1.005020,1.010352,0.381267,-0.087880,-3.464992,-1.307551,0.301383,0.360838
sample,64,drone,1.599986,2.265849,-0.544959,1.002917,0.923708,0.348571,-0.080344,-3.456688,-1.304417,0.300661,0.360838
sample,65,drone,1.624986,2.287859,-0.536653,1.001003,0.837519,0.316046,-0.072847,-3.428092,-1.293626,0.298174,0.360838
sample,66,drone,1.649986,2.307724,-0.529157,0.999275,0.752304,0.283890,-0.065435,-3.378357,-1.274858,0.293848,0.360838
sample,67,drone,1.674986,2.325474,-0.522458,0.997731,0.668603,0.252304,-0.058155,-3.306638,-1.247794,0.287610,0.360838
sample,68,drone,1.699985,2.341154,-0.516541,0.996367,0.586974,0.221501,-0.051055,-3.212090,-1.212115,0.279386,0.360838
sample,69,drone,1.724985,2.354823,-0.511383,0.995179,0.508000,0.191699,-0.044186,-3.093866,-1.167502,0.269103,0.360838
sample,70,drone,1.749985,2.366554,-0.506957,0.994158,0.432282,0.163126,-0.037600,-2.951123,-1.113637,0.256687,0.360838
sample,71,drone,1.774985,2.376437,-0.503227,0.993299,0.360445,0.136018,-0.031351,-2.783013,-1.050199,0.242065,0.360838
sample,72,drone,1.799985,2.384576,-0.500156,0.992591,0.293133,0.110617,-0.025497,-2.588691,-0.976869,0.225163,0.360838
sample,73,drone,1.824984,2.391093,-0.497696,0.992024,0.231011,0.087174,-0.020093,-2.367313,-0.893330,0.205908,0.360838
