section,index,name,t,x,y,z,vx,vy,vz,ax,ay,az,yaw
crossing,1,G1,1.881245,2.405237,-0.404519,0.971314,,,,,,
crossing,2,G6,5.082642,4.265573,3.455294,2.105182,,,,,,
crossing,3,G3,9.978234,6.101917,-2.750496,0.429205,,,,,,
crossing,4,G2,14.794174,8.517863,2.974360,2.707663,,,,,,
crossing,5,G5,16.460815,10.038741,1.852327,1.707078,,,,,,
crossing,6,G4,19.744600,12.338960,-2.011943,2.431645,,,,,,
sample,0,drone,0.000000,0.000000,-1.400000,1.200000,0.002210,0.000915,-0.000210,0.258311,0.106910,-0.024560,0.392415
sample,1,drone,0.024982,0.000055,-1.399977,1.199995,0.008663,0.003585,-0.000824,0.507020,0.209846,-0.048207,0.392415
sample,2,drone,0.049964,0.000433,-1.399821,1.199959,0.027543,0.011399,-0.002619,0.984625,0.407517,-0.093617,0.392415
sample,3,drone,0.074946,0.001431,-1.399408,1.199864,0.057859,0.023947,-0.005501,1.422275,0.588652,-0.135228,0.392415
sample,4,drone,0.099928,0.003324,-1.398624,1.199684,0.098605,0.040811,-0.009375,1.820217,0.753353,-0.173064,0.392415
sample,5,drone,0.124910,0.006358,-1.397369,1.199395,0.148804,0.061587,-0.014148,2.179598,0.902094,-0.207233,0.392415
sample,6,drone,0.149892,0.010759,-1.395547,1.198977,0.207507,0.085883,-0.019729,2.501562,1.035349,-0.237845,0.392415
sample,7,drone,0.174874,0.016726,-1.393077,1.198410,0.273793,0.113318,-0.026032,2.787257,1.153592,-0.265008,0.392415
sample,8,drone,0.199856,0.024438,-1.389885,1.197676,0.346770,0.143521,-0.032970,3.037827,1.257299,-0.288832,0.392415
sample,9,drone,0.224838,0.034052,-1.385907,1.196762,0.425575,0.176137,-0.040463,3.254420,1.346942,-0.309426,0.392415
sample,10,drone,0.249820,0.045702,-1.381085,1.195655,0.509374,0.210820,-0.048431,3.438180,1.422997,-0.326897,0.392415
sample,11,drone,0.274802,0.059502,-1.375373,1.194343,0.597360,0.247236,-0.056796,3.590253,1.485937,-0.341356,0.392415
sample,12,drone,0.299784,0.075548,-1.368732,1.192817,0.688757,0.285064,-0.065486,3.711786,1.536237,-0.352911,0.392415
sample,13,drone,0.324767,0.093916,-1.361130,1.191071,0.782816,0.323993,-0.074429,3.803925,1.574372,-0.361672,0.392415
sample,14,drone,0.349749,0.114661,-1.352544,1.189098,0.878817,0.363726,-0.083557,3.867815,1.600814,-0.367746,0.392415
sample,15,drone,0.374731,0.137825,-1.342957,1.186896,0.976068,0.403976,-0.092803,3.904602,1.616040,-0.371244,0.392415
sample,16,drone,0.399713,0.163429,-1.332360,1.184461,1.073907,0.444470,-0.102106,3.915432,1.620522,-0.372274,0.392415
sample,17,drone,0.424695,0.191482,-1.320749,1.181794,1.171699,0.484944,-0.111403,3.901451,1.614736,-0.370944,0.392415
sample,18,drone,0.449677,0.221972,-1.308130,1.178895,1.268839,0.525148,-0.120639,3.863805,1.599155,-0.367365,0.392415
sample,19,drone,0.474659,0.254878,-1.294511,1.175767,1.364751,0.564844,-0.129759,3.803640,1.574254,-0.361645,0.392415
sample,20,drone,0.499641,0.290161,-1.279908,1.172412,1.458885,0.603804,-0.138709,3.722102,1.540507,-0.353892,0.392415
sample,21,drone,0.524623,0.327770,-1.264342,1.168836,1.550722,0.641814,-0.147440,3.620336,1.498388,-0.344216,0.392415
sample,22,drone,0.549605,0.367641,-1.247840,1.165045,1.639772,0.678670,-0.155907,3.499489,1.448372,-0.332726,0.392415
sample,23,drone,0.574587,0.409700,-1.230433,1.161046,1.725571,0.714181,-0.164065,3.360706,1.390932,-0.319531,0.392415
sample,24,drone,0.599569,0.453858,-1.212157,1.156848,1.807686,0.748167,-0.171872,3.205134,1.326544,-0.304740,0.392415
sample,25,drone,0.624551,0.500019,-1.193052,1.152459,1.885712,0.780460,-0.179291,3.033918,1.255680,-0.288461,0.392415
sample,26,drone,0.649533,0.548076,-1.173162,1.147890,1.959273,0.810906,-0.186285,2.848204,1.178817,-0.270803,0.392415
sample,27,drone,0.674515,0.597912,-1.152536,1.143151,2.028020,0.839359,-0.192821,2.649137,1.096427,-0.251876,0.392415
sample,28,drone,0.699497,0.649404,-1.131224,1.138256,2.091635,0.865688,-0.198870,2.437865,1.008986,-0.231789,0.392415
sample,29,drone,0.724479,0.702419,-1.109282,1.133215,2.149826,0.889772,-0.204402,2.215533,0.916967,-0.210650,0.392415
sample,30,drone,0.749461,0.756818,-1.086768,1.128043,2.202332,0.911503,-0.209395,1.983286,0.820844,-0.188568,0.392415
sample,31,drone,0.774443,0.812456,-1.063740,1.122753,2.248919,0.930785,-0.213824,1.742271,0.721093,-0.165653,0.392415
sample,32,drone,0.799425,0.869183,-1.040262,1.117359,2.289383,0.947532,-0.217671,1.493634,0.618186,-0.142013,0.392415
sample,33,drone,0.824407,0.926843,-1.016397,1.111877,2.323547,0.961672,-0.220920,1.238520,0.512600,-0.117757,0.392415
sample,34,drone,0.849389,0.985277,-0.992213,1.106321,2.351264,0.973143,-0.223555,0.978075,0.404806,-0.092994,0.392415
sample,35,drone,0.874371,1.044322,-0.967775,1.100707,2.372416,0.981897,-0.225566,0.713445,0.295281,-0.067833,0.392415
sample,36,drone,0.899353,1.103813,-0.943153,1.095051,2.386911,0.987897,-0.226944,0.445777,0.184499,-0.042384,0.392415
sample,37,drone,0.924335,1.163582,-0.918416,1.089368,2.394689,0.991116,-0.227684,0.176216,0.072932,-0.016754,0.392415
sample,38,drone,0.949318,1.223461,-0.893633,1.083675,2.395715,0.991541,-0.227781,-0.094093,-0.038943,0.008946,0.392415
sample,39,drone,0.974300,1.283281,-0.868874,1.077987,2.389987,0.989170,-0.227237,-0.364002,-0.150654,0.034609,0.392415
sample,40,drone,0.999282,1.342874,-0.844210,1.072321,2.377528,0.984013,-0.226052,-0.632367,-0.261725,0.060125,0.392415
sample,41,drone,1.024264,1.402072,-0.819709,1.066693,2.358392,0.976093,-0.224233,-0.898042,-0.371682,0.085385,0.392415
sample,42,drone,1.049246,1.460709,-0.795440,1.061118,2.332659,0.965443,-0.221786,-1.159879,-0.480052,0.110280,0.392415
sample,43,drone,1.074228,1.518622,-0.771472,1.055612,2.300439,0.952108,-0.218722,-1.416735,-0.586359,0.134701,0.392415
sample,44,drone,1.099210,1.575649,-0.747869,1.050190,2.261873,0.936146,-0.215056,-1.667462,-0.690130,0.158540,0.392415
sample,45,drone,1.124192,1.631634,-0.724698,1.044867,2.217126,0.917626,-0.210801,-1.910914,-0.790891,0.181687,0.392415
sample,46,drone,1.149174,1.686425,-0.702021,1.039657,2.166396,0.896630,-0.205978,-2.145947,-0.888166,0.204034,0.392415
sample,47,drone,1.174156,1.739876,-0.679899,1.034575,2.109906,0.873250,-0.200607,-2.371414,-0.981483,0.225471,0.392415
sample,48,drone,1.199138,1.791845,-0.658390,1.029634,2.047910,0.847591,-0.194712,-2.586168,-1.070366,0.245889,0.392415
sample,49,drone,1.224120,1.842198,-0.637550,1.024846,1.980690,0.819770,-0.188321,-2.789065,-1.154341,0.265180,0.392415
sample,50,drone,1.249102,1.890808,-0.617431,1.020225,1.908557,0.789915,-0.181463,-2.978958,-1.232934,0.283235,0.392415
sample,51,drone,1.274084,1.937557,-0.598082,1.015780,1.831849,0.758167,-0.174170,-3.154702,-1.305671,0.299945,0.392415
sample,52,drone,1.299066,1.982335,-0.579550,1.011522,1.750935,0.724679,-0.166476,-3.315150,-1.372077,0.315200,0.392415
sample,53,drone,1.324048,2.025041,-0.561874,1.007462,1.666211,0.689613,-0.158421,-3.459156,-1.431679,0.328892,0.392415
sample,54,drone,1.349030,2.065586,-0.545094,1.003607,1.578102,0.653146,-0.150044,-3.585575,-1.484001,0.340911,0.392415
sample,55,drone,1.374012,2.103889,-0.529240,0.999965,1.487061,0.615466,-0.141388,-3.693261,-1.528570,0.351150,0.392415
sample,56,drone,1.398994,2.139885,-0.514342,0.996543,1.393571,0.576772,-0.132499,-3.781068,-1.564912,0.359499,0.392415
sample,57,drone,1.423976,2.173518,-0.500423,0.993345,1.298143,0.537277,-0.123426,-3.847850,-1.592551,0.365848,0.392415
sample,58,drone,1.448958,2.204746,-0.487498,0.990376,1.201317,0.497202,-0.114220,-3.892461,-1.611015,0.370090,0.392415
sample,59,drone,1.473940,2.233541,-0.475580,0.987638,1.103660,0.456784,-0.104934,-3.913755,-1.619828,0.372114,0.392415
sample,60,drone,1.498922,2.259889,-0.464675,0.985133,1.005770,0.416269,-0.095627,-3.910586,-1.618517,0.371813,0.392415
sample,61,drone,1.523904,2.283793,-0.454782,0.982860,0.908271,0.375916,-0.086357,-3.881809,-1.606606,0.369077,0.392415
sample,62,drone,1.548886,2.305270,-0.445893,0.980818,0.811819,0.335996,-0.077187,-3.826277,-1.583623,0.363797,0.392415
sample,63,drone,1.573869,2.324355,-0.437994,0.979004,0.717095,0.296792,-0.068180,-3.742845,-1.549092,0.355864,0.392415
sample,64,drone,1.598851,2.341099,-0.431064,0.977412,0.624811,0.258597,-0.059406,-3.630366,-1.502539,0.345170,0.392415
