section,index,name,t,x,y,z,vx,vy,vz,ax,ay,az,yaw
crossing,1,G1,1.142366,2.191261,0.307272,1.677858,,,,,,
crossing,2,G6,3.019441,4.565775,2.820048,2.062132,,,,,,
crossing,3,G3,6.325937,6.074401,-2.548958,1.321565,,,,,,
crossing,4,G2,9.732256,8.219875,2.878929,2.435799,,,,,,
crossing,5,G5,11.283037,10.605351,1.292086,0.611341,,,,,,
crossing,6,G4,13.801280,12.264134,-1.687435,3.555052,,,,,,
sample,0,drone,0.000000,0.000000,-1.400000,1.200000,0.008866,0.006908,0.001933,1.018381,0.793449,0.222083,0.661884
sample,1,drone,0.024969,0.000221,-1.399828,1.200048,0.034294,0.026719,0.007479,1.973738,1.537794,0.430422,0.661884
sample,2,drone,0.049938,0.001713,-1.398666,1.200373,0.107430,0.083702,0.023428,3.755542,2.926048,0.818988,0.661884
sample,3,drone,0.074907,0.005586,-1.395648,1.201218,0.221838,0.172840,0.048377,5.279826,4.113659,1.151396,0.661884
sample,4,drone,0.099876,0.012791,-1.390034,1.202789,0.371094,0.289130,0.080926,6.553195,5.105777,1.429086,0.661884
sample,5,drone,0.124845,0.024118,-1.381209,1.205259,0.549091,0.427812,0.119743,7.588275,5.912236,1.654810,0.661884
sample,6,drone,0.149814,0.040211,-1.368670,1.208769,0.750036,0.584374,0.163564,8.397689,6.542874,1.831323,0.661884
sample,7,drone,0.174783,0.061573,-1.352027,1.213428,0.968454,0.754549,0.211195,8.994062,7.007524,1.961377,0.661884
sample,8,drone,0.199752,0.088574,-1.330990,1.219316,1.199181,0.934315,0.261511,9.390018,7.316025,2.047725,0.661884
sample,9,drone,0.224721,0.121458,-1.305369,1.226487,1.437372,1.119896,0.313454,9.598181,7.478210,2.093120,0.661884
sample,10,drone,0.249690,0.160353,-1.275064,1.234969,1.678494,1.307762,0.366037,9.631175,7.503916,2.100315,0.661884
sample,11,drone,0.274659,0.205278,-1.240062,1.244766,1.918333,1.494626,0.418340,9.501624,7.402979,2.072063,0.661884
sample,12,drone,0.299627,0.256151,-1.200426,1.255860,2.152986,1.677451,0.469511,9.222152,7.185235,2.011117,0.661884
sample,13,drone,0.324596,0.312794,-1.156294,1.268212,2.378868,1.853442,0.518771,8.805383,6.860519,1.920231,0.661884
sample,14,drone,0.349565,0.374946,-1.107869,1.281766,2.592708,2.020051,0.565404,8.263943,6.438668,1.802156,0.661884
sample,15,drone,0.374534,0.442268,-1.055416,1.296447,2.791552,2.174976,0.608767,7.610453,5.929516,1.659647,0.661884
sample,16,drone,0.399503,0.514351,-0.999255,1.312167,2.972758,2.316159,0.648283,6.857540,5.342900,1.495455,0.661884
sample,17,drone,0.424472,0.590722,-0.939752,1.328821,3.134003,2.441789,0.683446,6.017827,4.688656,1.312335,0.661884
sample,18,drone,0.449441,0.670856,-0.877317,1.346297,3.273276,2.550300,0.713818,5.103937,3.976620,1.113039,0.661884
sample,19,drone,0.474410,0.754182,-0.812396,1.364468,3.388883,2.640373,0.739029,4.128496,3.216626,0.900320,0.661884
sample,20,drone,0.499379,0.840090,-0.745463,1.383202,3.479444,2.710932,0.758778,3.104128,2.418512,0.676931,0.661884
sample,21,drone,0.524348,0.927938,-0.677017,1.402360,3.543896,2.761148,0.772834,2.043455,1.592113,0.445626,0.661884
sample,22,drone,0.549317,1.017065,-0.607577,1.421796,3.581490,2.790439,0.781032,0.959104,0.747264,0.209156,0.661884
sample,23,drone,0.574286,1.106791,-0.537669,1.441363,3.591792,2.798465,0.783279,-0.136303,-0.106198,-0.029724,0.661884
sample,24,drone,0.599255,1.196431,-0.467827,1.460911,3.574684,2.785135,0.779548,-1.230142,-0.958438,-0.268263,0.661884
sample,25,drone,0.624224,1.285303,-0.398585,1.480292,3.530361,2.750603,0.769882,-2.309787,-1.799619,-0.503706,0.661884
sample,26,drone,0.649193,1.372730,-0.330468,1.499358,3.459338,2.695266,0.754394,-3.362615,-2.619907,-0.733301,0.661884
sample,27,drone,0.674162,1.458055,-0.263989,1.517965,3.362439,2.619770,0.733263,-4.376001,-3.409465,-0.954295,0.661884
sample,28,drone,0.699131,1.540643,-0.199642,1.535975,3.240809,2.525005,0.706738,-5.337323,-4.158457,-1.163935,0.661884
sample,29,drone,0.724100,1.619894,-0.137895,1.553258,3.095905,2.412106,0.675138,-6.233955,-4.857048,-1.359467,0.661884
sample,30,drone,0.749069,1.695246,-0.079186,1.569690,2.929499,2.282454,0.638849,-7.053273,-5.495401,-1.538140,0.661884
sample,31,drone,0.774038,1.766187,-0.023914,1.585161,2.743679,2.137677,0.598327,-7.782653,-6.063682,-1.697199,0.661884
sample,32,drone,0.799007,1.832260,0.027565,1.599569,2.540849,1.979646,0.554095,-8.409472,-6.552054,-1.833892,0.661884
sample,33,drone,0.823976,1.893072,0.074945,1.612831,2.323727,1.810481,0.506746,-8.921104,-6.950681,-1.945466,0.661884
sample,34,drone,0.848945,1.948302,0.117976,1.624875,2.095348,1.632544,0.456942,-9.304927,-7.249727,-2.029168,0.661884
sample,35,drone,0.873913,1.997709,0.156471,1.635650,1.859059,1.448445,0.405414,-9.548315,-7.439358,-2.082245,0.661884
sample,36,drone,0.898882,2.041140,0.190309,1.645121,1.618525,1.261038,0.352959,-9.638644,-7.509736,-2.101944,0.661884
sample,37,drone,0.923851,2.078535,0.219444,1.653276,1.377725,1.073424,0.300447,-9.563291,-7.451026,-2.085511,0.661884
sample,38,drone,0.948820,2.109940,0.243913,1.660124,1.140954,0.888949,0.248813,-9.309632,-7.253393,-2.030194,0.661884
sample,39,drone,0.973789,2.135512,0.263837,1.665701,0.912822,0.711205,0.199063,-8.865041,-6.907000,-1.933240,0.661884
