section,index,name,t,x,y,z,vx,vy,vz,ax,ay,az,yaw
crossing,1,G1,2.000000,2.438065,-0.450914,1.001285,,,,,,
crossing,2,G6,5.250000,4.252510,3.544118,2.185367,,,,,,
crossing,3,G3,11.000000,5.872370,-3.141955,0.274269,,,,,,
crossing,4,G2,16.000000,8.121690,2.101219,2.148046,,,,,,
crossing,5,G5,17.750000,10.233704,1.300154,1.487603,,,,,,
crossing,6,G4,21.750000,12.167649,-0.936193,3.652184,,,,,,
sample,0,drone,0.000000,0.000000,-1.400000,1.200000,0.001869,0.000728,-0.000152,0.218669,0.085123,-0.017823,0.371230
sample,1,drone,0.024999,0.000047,-1.399982,1.199996,0.007336,0.002856,-0.000598,0.429696,0.167271,-0.035022,0.371230
sample,2,drone,0.049998,0.000367,-1.399857,1.199970,0.023353,0.009091,-0.001903,0.835965,0.325423,-0.068136,0.371230
sample,3,drone,0.074998,0.001214,-1.399527,1.199901,0.049133,0.019126,-0.004005,1.210379,0.471175,-0.098652,0.371230
sample,4,drone,0.099997,0.002823,-1.398901,1.199770,0.083870,0.032649,-0.006836,1.553082,0.604581,-0.126584,0.371230
sample,5,drone,0.124996,0.005408,-1.397895,1.199559,0.126784,0.049354,-0.010334,1.864929,0.725977,-0.152002,0.371230
sample,6,drone,0.149995,0.009162,-1.396433,1.199253,0.177114,0.068947,-0.014436,2.146779,0.835695,-0.174974,0.371230
sample,7,drone,0.174994,0.014263,-1.394448,1.198837,0.234120,0.091138,-0.019082,2.399488,0.934069,-0.195571,0.371230
sample,8,drone,0.199994,0.020868,-1.391877,1.198299,0.297084,0.115648,-0.024214,2.623913,1.021433,-0.213863,0.371230
sample,9,drone,0.224993,0.029117,-1.388665,1.197627,0.365311,0.142208,-0.029775,2.820912,1.098121,-0.229919,0.371230
sample,10,drone,0.249992,0.039133,-1.384766,1.196810,0.438125,0.170553,-0.035710,2.991341,1.164465,-0.243810,0.371230
sample,11,drone,0.274991,0.051022,-1.380138,1.195841,0.514873,0.200429,-0.041965,3.136057,1.220800,-0.255605,0.371230
sample,12,drone,0.299990,0.064876,-1.374745,1.194712,0.594923,0.231591,-0.048489,3.255918,1.267459,-0.265375,0.371230
sample,13,drone,0.324989,0.080768,-1.368559,1.193417,0.677664,0.263800,-0.055233,3.351781,1.304776,-0.273188,0.371230
