section,index,name,t,x,y,z,vx,vy,vz,ax,ay,az,yaw
crossing,1,G1,1.926789,2.437754,-0.388118,0.988682,,,,,,
crossing,2,G6,5.147712,4.256230,3.507349,2.140255,,,,,,
crossing,3,G3,10.323736,6.052434,-2.933448,0.404049,,,,,,
crossing,4,G2,15.153253,8.334102,2.856856,2.370718,,,,,,
crossing,5,G5,16.880514,10.058686,1.611051,1.604408,,,,,,
crossing,6,G4,19.966867,12.268154,-1.912934,2.564246,,,,,,
sample,0,drone,0.000000,0.000000,-1.400000,1.200000,0.002085,0.000866,-0.000181,0.243919,0.101248,-0.021144,0.393445
sample,1,drone,0.024979,0.000052,-1.399978,1.199995,0.008178,0.003395,-0.000709,0.478991,0.198823,-0.041521,0.393445
sample,2,drone,0.049958,0.000409,-1.399830,1.199965,0.026015,0.010798,-0.002255,0.930870,0.386393,-0.080693,0.393445
sample,3,drone,0.074937,0.001352,-1.399439,1.199883,0.054682,0.022698,-0.004740,1.345909,0.558671,-0.116671,0.393445
sample,4,drone,0.099916,0.003140,-1.398696,1.199728,0.093253,0.038708,-0.008084,1.724310,0.715740,-0.149472,0.393445
sample,5,drone,0.124895,0.006010,-1.397505,1.199479,0.140825,0.058455,-0.012207,2.067102,0.858029,-0.179187,0.393445
sample,6,drone,0.149874,0.010176,-1.395776,1.199118,0.196521,0.081574,-0.017036,2.375316,0.985965,-0.205905,0.393445
sample,7,drone,0.174853,0.015828,-1.393430,1.198628,0.259491,0.107712,-0.022494,2.649981,1.099975,-0.229715,0.393445
sample,8,drone,0.199832,0.023139,-1.390395,1.197994,0.328909,0.136526,-0.028512,2.892129,1.200488,-0.250705,0.393445
sample,9,drone,0.224810,0.032260,-1.386609,1.197204,0.403976,0.167685,-0.035019,3.102789,1.287930,-0.268966,0.393445
sample,10,drone,0.249789,0.043321,-1.382018,1.196245,0.483918,0.200868,-0.041949,3.282991,1.362730,-0.284587,0.393445
sample,11,drone,0.274768,0.056435,-1.376574,1.195108,0.567987,0.235765,-0.049236,3.433765,1.425315,-0.297657,0.393445
sample,12,drone,0.299747,0.071696,-1.370240,1.193785,0.655461,0.272074,-0.056819,3.556141,1.476111,-0.308265,0.393445
sample,13,drone,0.324726,0.089181,-1.362982,1.192269,0.745644,0.309508,-0.064636,3.651150,1.515548,-0.316501,0.393445
sample,14,drone,0.349705,0.108947,-1.354777,1.190556,0.837865,0.347788,-0.072631,3.719821,1.544053,-0.322454,0.393445
sample,15,drone,0.374684,0.131039,-1.345607,1.188641,0.931478,0.386646,-0.080746,3.763185,1.562053,-0.326213,0.393445
sample,16,drone,0.399663,0.155482,-1.335461,1.186522,1.025866,0.425824,-0.088928,3.782272,1.569975,-0.327868,0.393445
sample,17,drone,0.424642,0.182289,-1.324334,1.184198,1.120433,0.465078,-0.097125,3.778111,1.568248,-0.327507,0.393445
sample,18,drone,0.449621,0.211456,-1.312227,1.181670,1.214612,0.504171,-0.105289,3.751733,1.557299,-0.325220,0.393445
sample,19,drone,0.474600,0.242968,-1.299147,1.178938,1.307861,0.542878,-0.113372,3.704167,1.537555,-0.321097,0.393445
sample,20,drone,0.499579,0.276794,-1.285106,1.176006,1.399664,0.580984,-0.121330,3.636445,1.509445,-0.315227,0.393445
sample,21,drone,0.524558,0.312892,-1.270122,1.172877,1.489530,0.618286,-0.129120,3.549596,1.473395,-0.307698,0.393445
sample,22,drone,0.549537,0.351208,-1.254218,1.169555,1.576995,0.654592,-0.136702,3.444650,1.429833,-0.298601,0.393445
sample,23,drone,0.574516,0.391676,-1.237420,1.166047,1.661618,0.689718,-0.144038,3.322638,1.379187,-0.288024,0.393445
sample,24,drone,0.599495,0.434219,-1.219761,1.162360,1.742987,0.723493,-0.151091,3.184588,1.321884,-0.276057,0.393445
sample,25,drone,0.624473,0.478752,-1.201276,1.158499,1.820713,0.755756,-0.157829,3.031532,1.258353,-0.262789,0.393445
