section,index,name,t,x,y,z,vx,vy,vz,ax,ay,az,yaw
crossing,1,G1,1.142366,2.204451,0.349153,1.703918,,,,,,
crossing,2,G6,2.987544,4.578665,2.759404,2.028086,,,,,,
crossing,3,G3,6.269262,6.073126,-2.556685,1.317769,,,,,,
crossing,4,G2,9.668348,8.225121,2.891192,2.443493,,,,,,
crossing,5,G5,11.219604,10.631020,1.232578,0.578670,,,,,,
crossing,6,G4,13.731858,12.261967,-1.680567,3.559998,,,,,,
sample,0,drone,0.000000,0.000000,-1.400000,1.200000,0.008924,0.007081,0.002040,1.024765,0.813114,0.234252,0.670743
sample,1,drone,0.024976,0.000223,-1.399823,1.200051,0.034518,0.027389,0.007891,1.986093,1.575894,0.454003,0.670743
sample,2,drone,0.049951,0.001724,-1.398632,1.200394,0.108132,0.085799,0.024718,3.778997,2.998499,0.863844,0.670743
sample,3,drone,0.074927,0.005624,-1.395537,1.201286,0.223284,0.177168,0.051041,5.312697,4.215435,1.214434,0.670743
sample,4,drone,0.099903,0.012878,-1.389782,1.202944,0.373509,0.296366,0.085381,6.593847,5.231982,1.507294,0.670743
sample,5,drone,0.124878,0.024281,-1.380734,1.205551,0.552656,0.438513,0.126332,7.635158,6.058224,1.745328,0.670743
sample,6,drone,0.149854,0.040484,-1.367878,1.209254,0.754895,0.598982,0.172562,8.449339,6.704248,1.931442,0.670743
sample,7,drone,0.174830,0.061990,-1.350814,1.214170,0.974712,0.773399,0.222810,9.049102,7.180139,2.068543,0.670743
sample,8,drone,0.199805,0.089172,-1.329245,1.220384,1.206910,0.957640,0.275889,9.447157,7.495981,2.159534,0.670743
sample,9,drone,0.224781,0.122276,-1.302978,1.227951,1.446610,1.147833,0.330682,9.656214,7.661860,2.207323,0.670743
sample,10,drone,0.249757,0.161432,-1.271910,1.236902,1.689251,1.340360,0.386147,9.688984,7.687862,2.214814,0.670743
sample,11,drone,0.274732,0.206657,-1.236025,1.247240,1.930588,1.531852,0.441315,9.558176,7.584071,2.184912,0.670743
sample,12,drone,0.299708,0.257867,-1.195392,1.258946,2.166695,1.719195,0.495287,9.276502,7.360572,2.120524,0.670743
sample,13,drone,0.324684,0.314886,-1.150149,1.271980,2.393962,1.899523,0.547238,8.856671,7.027452,2.024555,0.670743
sample,14,drone,0.349659,0.377449,-1.100508,1.286281,2.609097,2.070225,0.596416,8.311394,6.594794,1.899909,0.670743
sample,15,drone,0.374635,0.445214,-1.046739,1.301772,2.809127,2.228942,0.642141,7.653382,6.072685,1.749494,0.670743
sample,16,drone,0.399611,0.517769,-0.989169,1.318357,2.991394,2.373564,0.683806,6.895345,5.471209,1.576213,0.670743
sample,17,drone,0.424586,0.594638,-0.928176,1.335929,3.153559,2.502236,0.720875,6.049992,4.800452,1.382973,0.670743
sample,18,drone,0.449562,0.675293,-0.864179,1.354366,3.293599,2.613353,0.752887,5.130035,4.070499,1.172680,0.670743
sample,19,drone,0.474538,0.759158,-0.797635,1.373537,3.409811,2.705563,0.779452,4.148184,3.291436,0.948237,0.670743
sample,20,drone,0.499514,0.845618,-0.729033,1.393301,3.500807,2.777765,0.800253,3.117150,2.473347,0.712552,0.670743
sample,21,drone,0.524489,0.934028,-0.658882,1.413510,3.565517,2.829110,0.815045,2.049642,1.626317,0.468530,0.670743
sample,22,drone,0.549465,1.023720,-0.587715,1.434013,3.603189,2.859002,0.823656,0.958371,0.760433,0.219075,0.670743
sample,23,drone,0.574441,1.114012,-0.516071,1.454653,3.613389,2.867095,0.825988,-0.143953,-0.114221,-0.032906,0.670743
sample,24,drone,0.599416,1.204214,-0.444499,1.475272,3.595999,2.853296,0.822013,-1.244618,-0.987560,-0.284508,0.670743
sample,25,drone,0.624392,1.293637,-0.373545,1.495714,3.551218,2.817765,0.811776,-2.330916,-1.849498,-0.532826,0.670743
sample,26,drone,0.649368,1.381602,-0.303748,1.515822,3.479566,2.760911,0.795397,-3.390135,-2.689951,-0.774954,0.670743
sample,27,drone,0.674343,1.467446,-0.235634,1.535445,3.381877,2.683398,0.773066,-4.409565,-3.498832,-1.007987,0.670743
sample,28,drone,0.699319,1.550531,-0.169709,1.554437,3.259302,2.586140,0.745047,-5.376495,-4.266057,-1.229018,0.670743
sample,29,drone,0.724295,1.630253,-0.106453,1.572661,3.113313,2.470303,0.711675,-6.278216,-4.981540,-1.435143,0.670743
sample,30,drone,0.749270,1.706046,-0.046314,1.589987,2.945697,2.337305,0.673360,-7.102017,-5.635197,-1.623457,0.670743
sample,31,drone,0.774246,1.777394,0.010299,1.606296,2.758558,2.188817,0.630581,-7.835188,-6.216941,-1.791053,0.670743
sample,32,drone,0.799222,1.843839,0.063020,1.621485,2.554319,2.026761,0.583894,-8.465018,-6.716688,-1.935026,0.670743
sample,33,drone,0.824197,1.904986,0.111538,1.635462,2.335719,1.853309,0.533924,-8.978796,-7.124353,-2.052471,0.670743
sample,34,drone,0.849173,1.960512,0.155596,1.648155,2.105816,1.670890,0.481370,-9.363813,-7.429850,-2.140483,0.670743
sample,35,drone,0.874149,2.010174,0.195001,1.659508,1.867984,1.482178,0.427004,-9.607358,-7.623095,-2.196155,0.670743
sample,36,drone,0.899124,2.053820,0.229633,1.669485,1.625915,1.290106,0.371670,-9.696720,-7.694001,-2.216582,0.670743
sample,37,drone,0.924100,2.091391,0.259444,1.678073,1.383620,1.097853,0.316283,-9.619190,-7.632483,-2.198860,0.670743
sample,38,drone,0.949076,2.122934,0.284472,1.685283,1.145424,0.908853,0.261833,-9.362057,-7.428457,-2.140081,0.670743
sample,39,drone,0.974051,2.148606,0.304842,1.691152,0.915972,0.726791,0.209383,-8.912610,-7.071837,-2.037342,0.670743
sample,40,drone,0.999027,2.168688,0.320776,1.695742,0.700227,0.555605,0.160066,-8.258140,-6.552538,-1.887736,0.670743
sample,41,drone,1.024003,2.183584,0.332595,1.699147,0.503467,0.399483,0.115088,-7.385935,-5.860475,-1.688358,0.670743
sample,42,drone,1.048978,2.193836,0.340731,1.701491,0.331289,0.262866,0.075730,-6.283285,-4.985562,-1.436302,0.670743
sample,43,drone,1.073954,2.200132,0.345726,1.702930,0.189608,0.150447,0.043343,-4.937481,-3.917714,-1.128663,0.670743
sample,44,drone,1.098930,2.203308,0.348246,1.703656,0.084656,0.067171,0.019352,-3.337048,-2.647735,-0.762857,0.670743
sample,45,drone,1.123905,2.204361,0.349081,1.703897,0.022918,0.018190,0.005237,-1.612277,-1.269064,-0.372795,0.670866
sample,46,drone,1.148881,2.204452,0.349154,1.703918,0.004120,0.003780,0.000730,-0.198897,-0.100283,-0.069354,0.742331
sample,47,drone,1.173857,2.204566,0.349270,1.703933,0.012983,0.013180,0.001773,0.636402,0.654129,0.083543,0.792930
sample,48,drone,1.198832,2.205101,0.349813,1.704006,0.035909,0.036454,0.004903,1.150859,1.168328,0.157135,0.792930
sample,49,drone,1.223808,2.206360,0.351091,1.704178,0.070470,0.071540,0.009622,1.595423,1.619639,0.217835,0.792930
sample,50,drone,1.248784,2.208621,0.353386,1.704487,0.115603,0.117358,0.015784,1.998053,2.028380,0.272809,0.792930
sample,51,drone,1.273759,2.212135,0.356953,1.704967,0.170276,0.172860,0.023249,2.359994,2.395815,0.322227,0.792930
sample,52,drone,1.298735,2.217127,0.362021,1.705648,0.233488,0.237032,0.031880,2.682490,2.723207,0.366260,0.792930
sample,53,drone,1.323711,2.223798,0.368793,1.706559,0.304270,0.308888,0.041544,2.966789,3.011820,0.405077,0.792930
sample,54,drone,1.348686,2.232325,0.377450,1.707723,0.381683,0.387476,0.052114,3.214133,3.262919,0.438849,0.792930
