section,index,name,t,x,y,z,vx,vy,vz,ax,ay,az,yaw
crossing,1,G2,3.750001,4.373732,-0.765206,1.382772,,,,,,
crossing,2,G4,7.000002,7.518736,1.069956,2.096679,,,,,,
crossing,3,G6,11.500003,12.098614,-1.806814,2.384750,,,,,,
crossing,4,G3,16.000003,6.535355,-1.205869,1.702938,,,,,,
crossing,5,G5,19.750004,9.689592,1.334725,1.877610,,,,,,
crossing,6,G1,26.000005,2.062534,2.439786,1.713436,,,,,,
sample,0,drone,0.000000,0.000000,-1.000000,1.200000,0.000512,0.000028,0.000021,0.060717,0.003259,0.002537,0.053631
sample,1,drone,0.024982,0.000013,-0.999999,1.200001,0.002029,0.000109,0.000085,0.120313,0.006459,0.005028,0.053631
sample,2,drone,0.049963,0.000101,-0.999995,1.200004,0.006524,0.000350,0.000273,0.237172,0.012732,0.009911,0.053631
sample,3,drone,0.074945,0.000339,-0.999982,1.200014,0.013879,0.000745,0.000580,0.349298,0.018751,0.014597,0.053631
sample,4,drone,0.099927,0.000795,-0.999957,1.200033,0.023976,0.001287,0.001002,0.456653,0.024514,0.019083,0.053631
sample,5,drone,0.124908,0.001537,-0.999918,1.200064,0.036695,0.001970,0.001533,0.559305,0.030025,0.023373,0.053631
sample,6,drone,0.149890,0.002628,-0.999859,1.200110,0.051920,0.002787,0.002170,0.657318,0.035287,0.027468,0.053631
sample,7,drone,0.174871,0.004131,-0.999778,1.200173,0.069537,0.003733,0.002906,0.750760,0.040303,0.031373,0.053631
sample,8,drone,0.199853,0.006103,-0.999672,1.200255,0.089431,0.004801,0.003737,0.839696,0.045077,0.035090,0.053631
sample,9,drone,0.224835,0.008599,-0.999538,1.200359,0.111491,0.005985,0.004659,0.924193,0.049613,0.038621,0.053631
sample,10,drone,0.249816,0.011673,-0.999373,1.200488,0.135607,0.007280,0.005667,1.004316,0.053915,0.041969,0.053631
sample,11,drone,0.274798,0.015374,-0.999175,1.200642,0.161670,0.008679,0.006756,1.080133,0.057985,0.045137,0.053631
sample,12,drone,0.299780,0.019751,-0.998940,1.200825,0.189574,0.010177,0.007922,1.151709,0.061827,0.048128,0.053631
sample,13,drone,0.324761,0.024846,-0.998666,1.201038,0.219213,0.011768,0.009161,1.219110,0.065445,0.050945,0.053631
sample,14,drone,0.349743,0.030703,-0.998352,1.201283,0.250484,0.013447,0.010467,1.282403,0.068843,0.053590,0.053631
sample,15,drone,0.374725,0.037361,-0.997994,1.201561,0.283286,0.015208,0.011838,1.341653,0.072024,0.056066,0.053631
sample,16,drone,0.399706,0.044857,-0.997592,1.201875,0.317518,0.017045,0.013269,1.396928,0.074991,0.058376,0.053631
sample,17,drone,0.424688,0.053225,-0.997143,1.202224,0.353081,0.018954,0.014755,1.448293,0.077748,0.060522,0.053631
sample,18,drone,0.449669,0.062498,-0.996645,1.202612,0.389879,0.020930,0.016292,1.495815,0.080300,0.062508,0.053631
sample,19,drone,0.474651,0.072705,-0.996097,1.203038,0.427817,0.022966,0.017878,1.539559,0.082648,0.064336,0.053631
sample,20,drone,0.499633,0.083873,-0.995497,1.203505,0.466800,0.025059,0.019507,1.579592,0.084797,0.066009,0.053631
sample,21,drone,0.524614,0.096028,-0.994845,1.204013,0.506738,0.027203,0.021176,1.615980,0.086750,0.067529,0.053631
sample,22,drone,0.549596,0.109192,-0.994138,1.204563,0.547540,0.029393,0.022881,1.648789,0.088512,0.068901,0.053631
sample,23,drone,0.574578,0.123385,-0.993376,1.205156,0.589117,0.031625,0.024618,1.678086,0.090084,0.070125,0.053631
sample,24,drone,0.599559,0.138626,-0.992558,1.205793,0.631383,0.033894,0.026385,1.703937,0.091472,0.071205,0.053631
sample,25,drone,0.624541,0.154931,-0.991683,1.206474,0.674251,0.036196,0.028176,1.726407,0.092678,0.072144,0.053631
sample,26,drone,0.649522,0.172314,-0.990750,1.207201,0.717640,0.038525,0.029989,1.745564,0.093707,0.072945,0.053631
sample,27,drone,0.674504,0.190786,-0.989758,1.207973,0.761466,0.040878,0.031821,1.761472,0.094561,0.073609,0.053631
sample,28,drone,0.699486,0.210359,-0.988707,1.208791,0.805649,0.043249,0.033667,1.774200,0.095244,0.074141,0.053631
sample,29,drone,0.724467,0.231039,-0.987597,1.209655,0.850110,0.045636,0.035525,1.783812,0.095760,0.074543,0.053631
sample,30,drone,0.749449,0.252833,-0.986427,1.210566,0.894774,0.048034,0.037391,1.790375,0.096112,0.074817,0.053631
sample,31,drone,0.774431,0.275745,-0.985197,1.211523,0.939563,0.050438,0.039263,1.793955,0.096305,0.074967,0.053631
sample,32,drone,0.799412,0.299777,-0.983907,1.212527,0.984406,0.052846,0.041137,1.794619,0.096340,0.074995,0.053631
sample,33,drone,0.824394,0.324929,-0.982557,1.213578,1.029228,0.055252,0.043010,1.792432,0.096223,0.074903,0.053631
sample,34,drone,0.849376,0.351200,-0.981147,1.214676,1.073961,0.057653,0.044879,1.787460,0.095956,0.074695,0.053631
sample,35,drone,0.874357,0.378588,-0.979676,1.215821,1.118536,0.060046,0.046742,1.779771,0.095543,0.074374,0.053631
sample,36,drone,0.899339,0.407086,-0.978146,1.217012,1.162884,0.062427,0.048595,1.769430,0.094988,0.073942,0.053631
sample,37,drone,0.924320,0.436689,-0.976557,1.218249,1.206942,0.064792,0.050436,1.756503,0.094294,0.073402,0.053631
sample,38,drone,0.949302,0.467389,-0.974909,1.219532,1.250645,0.067138,0.052263,1.741057,0.093465,0.072756,0.053631
sample,39,drone,0.974284,0.499176,-0.973203,1.220860,1.293931,0.069462,0.054072,1.723157,0.092504,0.072008,0.053631
sample,40,drone,0.999265,0.532038,-0.971439,1.222233,1.336740,0.071760,0.055860,1.702871,0.091415,0.071160,0.053631
sample,41,drone,1.024247,0.565963,-0.969618,1.223651,1.379012,0.074029,0.057627,1.680263,0.090201,0.070216,0.053631
sample,42,drone,1.049229,0.600938,-0.967740,1.225112,1.420691,0.076267,0.059369,1.655401,0.088867,0.069177,0.053631
sample,43,drone,1.074210,0.636946,-0.965807,1.226617,1.461721,0.078469,0.061083,1.628351,0.087414,0.068046,0.053631
sample,44,drone,1.099192,0.673970,-0.963819,1.228164,1.502049,0.080634,0.062768,1.599179,0.085848,0.066827,0.053631
sample,45,drone,1.124174,0.711993,-0.961778,1.229753,1.541622,0.082759,0.064422,1.567950,0.084172,0.065522,0.053631
sample,46,drone,1.149155,0.750995,-0.959685,1.231383,1.580389,0.084840,0.066042,1.534732,0.082389,0.064134,0.053631
sample,47,drone,1.174137,0.790954,-0.957539,1.233053,1.618302,0.086875,0.067626,1.499590,0.080502,0.062666,0.053631
sample,48,drone,1.199118,0.831850,-0.955344,1.234762,1.655313,0.088862,0.069173,1.462590,0.078516,0.061120,0.053631
sample,49,drone,1.224100,0.873659,-0.953100,1.236509,1.691378,0.090798,0.070680,1.423800,0.076434,0.059499,0.053631
sample,50,drone,1.249082,0.916357,-0.950807,1.238293,1.726451,0.092681,0.072146,1.383284,0.074259,0.057805,0.053631
sample,51,drone,1.274063,0.959918,-0.948469,1.240114,1.760491,0.094508,0.073568,1.341110,0.071995,0.056043,0.053631
sample,52,drone,1.299045,1.004317,-0.946085,1.241969,1.793457,0.096278,0.074946,1.297343,0.069645,0.054214,0.053631
sample,53,drone,1.324027,1.049525,-0.943659,1.243858,1.825310,0.097988,0.076277,1.252050,0.067214,0.052321,0.053631
sample,54,drone,1.349008,1.095515,-0.941190,1.245780,1.856014,0.099636,0.077560,1.205296,0.064704,0.050368,0.053631
sample,55,drone,1.373990,1.142258,-0.938680,1.247733,1.885531,0.101221,0.078794,1.157149,0.062119,0.048356,0.053631
sample,56,drone,1.398972,1.189723,-0.936132,1.249717,1.913829,0.102740,0.079976,1.107674,0.059463,0.046288,0.053631
sample,57,drone,1.423953,1.237879,-0.933547,1.251729,1.940874,0.104192,0.081106,1.056937,0.056739,0.044168,0.053631
sample,58,drone,1.448935,1.286695,-0.930927,1.253769,1.966637,0.105575,0.082183,1.005005,0.053951,0.041998,0.053631
sample,59,drone,1.473916,1.336139,-0.928272,1.255835,1.991087,0.106887,0.083205,0.951944,0.051103,0.039780,0.053631
sample,60,drone,1.498898,1.386176,-0.925586,1.257926,2.014199,0.108128,0.084170,0.897820,0.048197,0.037519,0.053631
sample,61,drone,1.523880,1.436775,-0.922870,1.260041,2.035945,0.109295,0.085079,0.842699,0.045238,0.035215,0.053631
sample,62,drone,1.548861,1.487899,-0.920125,1.262177,2.056303,0.110388,0.085930,0.786648,0.042229,0.032873,0.053631
sample,63,drone,1.573843,1.539514,-0.917355,1.264334,2.075249,0.111405,0.086722,0.729732,0.039174,0.030494,0.053631
sample,64,drone,1.598825,1.591585,-0.914559,1.266510,2.092763,0.112345,0.087454,0.672019,0.036076,0.028083,0.053631
sample,65,drone,1.623806,1.644075,-0.911741,1.268704,2.108825,0.113208,0.088125,0.613573,0.032938,0.025640,0.053631
sample,66,drone,1.648788,1.696949,-0.908903,1.270913,2.123419,0.113991,0.088735,0.554462,0.029765,0.023170,0.053631
sample,67,drone,1.673770,1.750168,-0.906046,1.273137,2.136528,0.114695,0.089282,0.494751,0.026560,0.020675,0.053631
sample,68,drone,1.698751,1.803697,-0.903173,1.275374,2.148138,0.115318,0.089768,0.434507,0.023326,0.018157,0.053631
sample,69,drone,1.723733,1.857496,-0.900284,1.277622,2.158237,0.115860,0.090190,0.373796,0.020066,0.015620,0.053631
sample,70,drone,1.748714,1.911529,-0.897384,1.279880,2.166814,0.116321,0.090548,0.312684,0.016786,0.013067,0.053631
sample,71,drone,1.773696,1.965758,-0.894473,1.282146,2.173860,0.116699,0.090842,0.251237,0.013487,0.010499,0.053631
sample,72,drone,1.798678,2.020143,-0.891553,1.284419,2.179367,0.116995,0.091073,0.189522,0.010174,0.007920,0.053631
sample,73,drone,1.823659,2.074646,-0.888627,1.286696,2.183329,0.117207,0.091238,0.127604,0.006850,0.005332,0.053631
