section,index,name,t,x,y,z,vx,vy,vz,ax,ay,az,yaw
crossing,1,G1,1.667968,1.364451,-0.454949,2.806544,,,,,,
crossing,2,G5,8.070256,9.698373,0.196743,3.215643,,,,,,
crossing,3,G3,11.514775,5.928660,-2.706340,3.043762,,,,,,
crossing,4,G4,13.378278,7.744487,-0.947302,2.525515,,,,,,
crossing,5,G2,16.384758,3.916888,-2.569425,2.366978,,,,,,
crossing,6,G6,22.541253,12.369245,-1.605752,1.972402,,,,,,
sample,0,drone,0.000000,0.000000,-1.000000,1.200000,0.001796,0.000717,0.002114,0.209055,0.083510,0.246147,0.380045
sample,1,drone,0.024994,0.000045,-0.999982,1.200053,0.007021,0.002805,0.008266,0.409321,0.163510,0.481947,0.380045
sample,2,drone,0.049987,0.000351,-0.999860,1.200413,0.022257,0.008891,0.026206,0.791750,0.316277,0.932229,0.380045
sample,3,drone,0.074981,0.001157,-0.999538,1.201363,0.046598,0.018614,0.054866,1.137737,0.454486,1.339604,0.380045
sample,4,drone,0.099975,0.002680,-0.998929,1.203156,0.079129,0.031609,0.093169,1.447645,0.578284,1.704499,0.380045
sample,5,drone,0.124969,0.005113,-0.997958,1.206020,0.118962,0.047521,0.140070,1.722661,0.688144,2.028312,0.380045
sample,6,drone,0.149962,0.008627,-0.996554,1.210158,0.165241,0.066008,0.194559,1.963975,0.784540,2.312441,0.380045
sample,7,drone,0.174956,0.013373,-0.994658,1.215746,0.217137,0.086739,0.255663,2.172774,0.867948,2.558287,0.380045
sample,8,drone,0.199950,0.019481,-0.992218,1.222938,0.273852,0.109394,0.322442,2.350245,0.938842,2.767247,0.380045
sample,9,drone,0.224944,0.027062,-0.989190,1.231864,0.334619,0.133669,0.393991,2.497578,0.997696,2.940721,0.380045
sample,10,drone,0.249937,0.036208,-0.985536,1.242632,0.398700,0.159267,0.469441,2.615960,1.044985,3.080108,0.380045
sample,11,drone,0.274931,0.046992,-0.981228,1.255330,0.465385,0.185905,0.547957,2.706580,1.081185,3.186806,0.380045
sample,12,drone,0.299925,0.059471,-0.976243,1.270023,0.533995,0.213312,0.628741,2.770624,1.106768,3.262214,0.380045
sample,13,drone,0.324919,0.073685,-0.970565,1.286759,0.603881,0.241230,0.711027,2.809283,1.122211,3.307731,0.380045
sample,14,drone,0.349912,0.089658,-0.964185,1.305566,0.674424,0.269409,0.794086,2.823742,1.127987,3.324757,0.380045
