section,index,name,t,x,y,z,vx,vy,vz,ax,ay,az,yaw
crossing,1,G1,1.156341,1.647015,-1.384364,3.027886,,,,,,
crossing,2,G5,5.414480,9.867857,0.720951,2.659264,,,,,,
crossing,3,G3,7.936597,6.025166,-2.076869,2.739332,,,,,,
crossing,4,G4,9.082043,7.534771,-0.755090,2.092991,,,,,,
crossing,5,G2,11.089170,3.934051,-3.225747,1.654844,,,,,,
crossing,6,G6,15.496234,12.460312,-1.070138,2.633668,,,,,,
sample,0,drone,0.000000,0.000000,-1.000000,1.200000,0.006430,-0.001501,0.007137,0.738878,-0.172432,0.820020,-0.229267
sample,1,drone,0.024974,0.000161,-1.000037,1.200178,0.024883,-0.005807,0.027616,1.432589,-0.334323,1.589912,-0.229267
sample,2,drone,0.049948,0.001243,-1.000290,1.201379,0.077986,-0.018200,0.086550,2.727599,-0.636540,3.027137,-0.229267
sample,3,drone,0.074922,0.004056,-1.000947,1.204501,0.161122,-0.037601,0.178816,3.837946,-0.895661,4.259420,-0.229267
sample,4,drone,0.099897,0.009291,-1.002168,1.210311,0.269685,-0.062936,0.299301,4.768255,-1.112768,5.291893,-0.229267
sample,5,drone,0.124871,0.017526,-1.004090,1.219451,0.399289,-0.093182,0.443137,5.527461,-1.289943,6.134473,-0.229267
sample,6,drone,0.149845,0.029234,-1.006822,1.232445,0.545772,-0.127367,0.605707,6.124498,-1.429274,6.797075,-0.229267
sample,7,drone,0.174819,0.044787,-1.010452,1.249705,0.705197,-0.164572,0.782640,6.568300,-1.532844,7.289614,-0.229267
sample,8,drone,0.199793,0.064458,-1.015043,1.271536,0.873847,-0.203930,0.969811,6.867802,-1.602739,7.622007,-0.229267
sample,9,drone,0.224767,0.088434,-1.020638,1.298145,1.048232,-0.244626,1.163346,7.031940,-1.641044,7.804170,-0.229267
sample,10,drone,0.249741,0.116815,-1.027261,1.329644,1.225081,-0.285897,1.359616,7.069646,-1.649843,7.846017,-0.229267
sample,11,drone,0.274716,0.149624,-1.034918,1.366056,1.401349,-0.327033,1.555241,6.989857,-1.631223,7.757465,-0.229267
sample,12,drone,0.299690,0.186810,-1.043596,1.407325,1.574212,-0.367374,1.747088,6.801505,-1.587267,7.548430,-0.229267
sample,13,drone,0.324664,0.228254,-1.053268,1.453320,1.741072,-0.406314,1.932272,6.513527,-1.520062,7.228827,-0.229267
sample,14,drone,0.349638,0.273774,-1.063891,1.503839,1.899552,-0.443298,2.108156,6.134857,-1.431691,6.808571,-0.229267
