section,index,name,t,x,y,z,vx,vy,vz,ax,ay,az,yaw
crossing,1,G1,1.750000,2.136207,-0.467254,1.601316,,,,,,
crossing,2,G5,8.250000,9.243693,2.806264,2.580052,,,,,,
crossing,3,G4,13.000000,7.343752,-2.473533,2.938829,,,,,,
crossing,4,G2,18.500000,4.094317,2.701660,2.323150,,,,,,
crossing,5,G3,22.250000,6.232053,-0.138293,2.416011,,,,,,
crossing,6,G6,27.500000,12.429590,-2.791082,1.617969,,,,,,
sample,0,drone,0.000000,0.000000,-1.000000,1.200000,0.002438,0.000608,0.000458,0.284163,0.070867,0.053384,0.244403
sample,1,drone,0.024998,0.000061,-0.999985,1.200011,0.009541,0.002380,0.001792,0.556950,0.138897,0.104631,0.244403
sample,2,drone,0.049997,0.000477,-0.999881,1.200090,0.030284,0.007552,0.005689,1.079068,0.269107,0.202718,0.244403
sample,3,drone,0.074995,0.001575,-0.999607,1.200296,0.063491,0.015834,0.011928,1.553940,0.387535,0.291929,0.244403
sample,4,drone,0.099994,0.003651,-0.999089,1.200686,0.107976,0.026928,0.020285,1.981963,0.494279,0.372339,0.244403
sample,5,drone,0.124992,0.006973,-0.998261,1.201310,0.162583,0.040546,0.030544,2.364600,0.589705,0.444223,0.244403
sample,6,drone,0.149991,0.011780,-0.997062,1.202213,0.226198,0.056411,0.042494,2.703316,0.674176,0.507855,0.244403
sample,7,drone,0.174989,0.018283,-0.995441,1.203435,0.297741,0.074253,0.055935,2.999574,0.748060,0.563512,0.244403
sample,8,drone,0.199987,0.026666,-0.993350,1.205010,0.376168,0.093812,0.070668,3.254839,0.811720,0.611467,0.244403
sample,9,drone,0.224986,0.037090,-0.990750,1.206968,0.460472,0.114837,0.086506,3.470574,0.865522,0.651995,0.244403
sample,10,drone,0.249984,0.049688,-0.987608,1.209335,0.549685,0.137085,0.103266,3.648244,0.909831,0.685373,0.244403
sample,11,drone,0.274983,0.064572,-0.983896,1.212131,0.642873,0.160325,0.120773,3.789312,0.945011,0.711875,0.244403
sample,12,drone,0.299981,0.081830,-0.979593,1.215373,0.739139,0.184333,0.138857,3.895241,0.971429,0.731775,0.244403
