section,index,name,t,x,y,z,vx,vy,vz,ax,ay,az,yaw
crossing,1,G1,2.000000,2.207769,-0.971506,1.177784,,,,,,
crossing,2,G6,6.250000,4.430414,2.947857,2.136930,,,,,,
crossing,3,G3,11.250000,5.835377,-2.423750,1.482583,,,,,,
crossing,4,G2,16.250000,8.342602,2.574985,2.544469,,,,,,
crossing,5,G5,18.250000,10.078266,2.042388,1.708639,,,,,,
crossing,6,G4,22.250000,12.438575,-1.497681,3.079227,,,,,,
sample,0,drone,0.000000,0.000000,-1.400000,1.200000,0.001691,0.000328,-0.000017,0.197917,0.038413,-0.001992,0.191701
sample,1,drone,0.024986,0.000042,-1.399992,1.200000,0.006636,0.001288,-0.000067,0.388920,0.075483,-0.003914,0.191701
sample,2,drone,0.049973,0.000332,-1.399936,1.199997,0.021126,0.004100,-0.000213,0.756648,0.146854,-0.007614,0.191701
sample,3,drone,0.074959,0.001098,-1.399787,1.199989,0.044448,0.008627,-0.000447,1.095559,0.212631,-0.011024,0.191701
sample,4,drone,0.099945,0.002553,-1.399505,1.199974,0.075874,0.014726,-0.000764,1.405781,0.272840,-0.014146,0.191701
sample,5,drone,0.124932,0.004890,-1.399051,1.199951,0.114698,0.022261,-0.001154,1.688090,0.327632,-0.016987,0.191701
sample,6,drone,0.149918,0.008285,-1.398392,1.199917,0.160233,0.031099,-0.001612,1.943261,0.377157,-0.019555,0.191701
sample,7,drone,0.174904,0.012897,-1.397497,1.199870,0.211808,0.041109,-0.002131,2.172069,0.421565,-0.021857,0.191701
sample,8,drone,0.199891,0.018869,-1.396338,1.199810,0.268777,0.052165,-0.002705,2.375287,0.461007,-0.023902,0.191701
sample,9,drone,0.224877,0.026328,-1.394890,1.199735,0.330508,0.064147,-0.003326,2.553693,0.495632,-0.025697,0.191701
sample,10,drone,0.249863,0.035386,-1.393132,1.199644,0.396392,0.076934,-0.003989,2.708059,0.525593,-0.027251,0.191701
sample,11,drone,0.274850,0.046137,-1.391045,1.199536,0.465837,0.090412,-0.004688,2.839162,0.551038,-0.028570,0.191701
sample,12,drone,0.299836,0.058665,-1.388614,1.199410,0.538272,0.104470,-0.005417,2.947775,0.572118,-0.029663,0.191701
sample,13,drone,0.324823,0.073036,-1.385825,1.199265,0.613145,0.119002,-0.006170,3.034675,0.588984,-0.030538,0.191701
sample,14,drone,0.349809,0.089305,-1.382667,1.199101,0.689923,0.133903,-0.006943,3.100635,0.601786,-0.031201,0.191701
sample,15,drone,0.374795,0.107513,-1.379133,1.198918,0.768092,0.149075,-0.007729,3.146431,0.610674,-0.031662,0.191701
sample,16,drone,0.399782,0.127689,-1.375218,1.198715,0.847159,0.164420,-0.008525,3.172837,0.615799,-0.031928,0.191701
sample,17,drone,0.424768,0.149848,-1.370917,1.198492,0.926648,0.179848,-0.009325,3.180630,0.617311,-0.032006,0.191701
sample,18,drone,0.449754,0.173996,-1.366230,1.198249,1.006103,0.195269,-0.010124,3.170582,0.615361,-0.031905,0.191701
sample,19,drone,0.474741,0.200126,-1.361159,1.197986,1.085090,0.210599,-0.010919,3.143470,0.610099,-0.031632,0.191701
sample,20,drone,0.499727,0.228221,-1.355706,1.197703,1.163191,0.225757,-0.011705,3.100068,0.601676,-0.031196,0.191701
sample,21,drone,0.524713,0.258254,-1.349877,1.197401,1.240009,0.240667,-0.012478,3.041151,0.590241,-0.030603,0.191701
sample,22,drone,0.549700,0.290187,-1.343679,1.197080,1.315166,0.255253,-0.013234,2.967494,0.575945,-0.029861,0.191701
sample,23,drone,0.574686,0.323976,-1.337121,1.196740,1.388303,0.269448,-0.013970,2.879872,0.558939,-0.028980,0.191701
sample,24,drone,0.599672,0.359565,-1.330214,1.196382,1.459081,0.283185,-0.014683,2.779060,0.539373,-0.027965,0.191701
