section,index,name,t,x,y,z,vx,vy,vz,ax,ay,az,yaw
crossing,1,G1,1.757005,2.226945,-0.938120,1.077646,,,,,,
crossing,2,G6,5.239505,4.323751,3.178840,1.887089,,,,,,
crossing,3,G3,9.487337,6.026818,-2.328645,1.332721,,,,,,
crossing,4,G2,13.748126,8.705448,2.622061,2.764171,,,,,,
crossing,5,G5,15.417515,10.358188,1.753492,1.702118,,,,,,
crossing,6,G4,18.480771,12.473451,-1.721779,2.649563,,,,,,
sample,0,drone,0.000000,0.000000,-1.400000,1.200000,0.002507,0.000520,-0.000138,0.292511,0.060668,-0.016071,0.204505
sample,1,drone,0.024976,0.000063,-1.399987,1.199997,0.009812,0.002035,-0.000539,0.573369,0.118920,-0.031502,0.204505
sample,2,drone,0.049951,0.000490,-1.399898,1.199973,0.031147,0.006460,-0.001711,1.111060,0.230439,-0.061044,0.204506
sample,3,drone,0.074927,0.001618,-1.399664,1.199911,0.065311,0.013546,-0.003588,1.600353,0.331921,-0.087927,0.204506
sample,4,drone,0.099902,0.003753,-1.399222,1.199794,0.111087,0.023040,-0.006103,2.041647,0.423448,-0.112173,0.204506
sample,5,drone,0.124878,0.007167,-1.398513,1.199606,0.167294,0.034698,-0.009192,2.436433,0.505328,-0.133863,0.204506
sample,6,drone,0.149854,0.012109,-1.397489,1.199335,0.232790,0.048282,-0.012790,2.786203,0.577873,-0.153081,0.204506
sample,7,drone,0.174829,0.018795,-1.396102,1.198967,0.306468,0.063563,-0.016838,3.092450,0.641390,-0.169906,0.204506
sample,8,drone,0.199805,0.027418,-1.394313,1.198494,0.387261,0.080320,-0.021277,3.356664,0.696189,-0.184423,0.204506
sample,9,drone,0.224780,0.038140,-1.392090,1.197905,0.474138,0.098339,-0.026050,3.580338,0.742580,-0.196712,0.204506
sample,10,drone,0.249756,0.051101,-1.389401,1.197192,0.566103,0.117413,-0.031103,3.764964,0.780872,-0.206856,0.204506
sample,11,drone,0.274732,0.066417,-1.386225,1.196351,0.662202,0.137344,-0.036383,3.912034,0.811375,-0.214936,0.204506
sample,12,drone,0.299707,0.084179,-1.382541,1.195375,0.761514,0.157942,-0.041839,4.023038,0.834398,-0.221035,0.204506
sample,13,drone,0.324683,0.104456,-1.378335,1.194261,0.863158,0.179023,-0.047424,4.099470,0.850251,-0.225235,0.204506
sample,14,drone,0.349658,0.127295,-1.373598,1.193006,0.966288,0.200413,-0.053090,4.142821,0.859242,-0.227616,0.204506
sample,15,drone,0.374634,0.152723,-1.368324,1.191609,1.070097,0.221943,-0.058794,4.154583,0.861681,-0.228263,0.204506
sample,16,drone,0.399610,0.180747,-1.362512,1.190069,1.173814,0.243455,-0.064492,4.136248,0.857879,-0.227255,0.204506
sample,17,drone,0.424585,0.211356,-1.356164,1.188388,1.276707,0.264795,-0.070145,4.089307,0.848143,-0.224676,0.204506
sample,18,drone,0.449561,0.244521,-1.349285,1.186565,1.378080,0.285821,-0.075715,4.015253,0.832784,-0.220607,0.204506
sample,19,drone,0.474537,0.280193,-1.341887,1.184606,1.477274,0.306394,-0.081165,3.915578,0.812110,-0.215131,0.204506
sample,20,drone,0.499512,0.318312,-1.333980,1.182511,1.573668,0.326387,-0.086461,3.791772,0.786432,-0.208329,0.204506
sample,21,drone,0.524488,0.358800,-1.325583,1.180287,1.666678,0.345677,-0.091571,3.645328,0.756059,-0.200283,0.204506
sample,22,drone,0.549463,0.401565,-1.316713,1.177937,1.755757,0.364153,-0.096465,3.477739,0.721300,-0.191075,0.204506
sample,23,drone,0.574439,0.446502,-1.307393,1.175468,1.840395,0.381707,-0.101116,3.290495,0.682465,-0.180787,0.204506
sample,24,drone,0.599415,0.493495,-1.297647,1.172886,1.920121,0.398243,-0.105496,3.085088,0.639863,-0.169502,0.204506
sample,25,drone,0.624390,0.542414,-1.287501,1.170198,1.994499,0.413669,-0.109582,2.863011,0.593803,-0.157301,0.204506
sample,26,drone,0.649366,0.593122,-1.276983,1.167412,2.063132,0.427904,-0.113353,2.625755,0.544595,-0.144265,0.204506
sample,27,drone,0.674341,0.645470,-1.266126,1.164536,2.125658,0.440872,-0.116789,2.374813,0.492548,-0.130478,0.204506
sample,28,drone,0.699317,0.699302,-1.254961,1.161579,2.181756,0.452507,-0.119871,2.111675,0.437972,-0.116020,0.204506
sample,29,drone,0.724293,0.754452,-1.243523,1.158549,2.231139,0.462749,-0.122584,1.837835,0.381176,-0.100975,0.204506
sample,30,drone,0.749268,0.810750,-1.231846,1.155456,2.273558,0.471547,-0.124915,1.554783,0.322470,-0.085423,0.204506
sample,31,drone,0.774244,0.868019,-1.219969,1.152309,2.308802,0.478857,-0.126851,1.264011,0.262162,-0.069448,0.204506
sample,32,drone,0.799219,0.926077,-1.207927,1.149119,2.336697,0.484643,-0.128384,0.967012,0.200563,-0.053130,0.204506
sample,33,drone,0.824195,0.984740,-1.195760,1.145896,2.357106,0.488876,-0.129505,0.665277,0.137982,-0.036552,0.204506
sample,34,drone,0.849171,1.043817,-1.183507,1.142650,2.369929,0.491535,-0.130209,0.360298,0.074728,-0.019796,0.204506
sample,35,drone,0.874146,1.103120,-1.171207,1.139392,2.375103,0.492608,-0.130494,0.053567,0.011110,-0.002943,0.204506
sample,36,drone,0.899122,1.162457,-1.158901,1.136132,2.372604,0.492090,-0.130356,-0.253424,-0.052561,0.013924,0.204506
sample,37,drone,0.924097,1.221635,-1.146627,1.132881,2.362444,0.489983,-0.129798,-0.559183,-0.115977,0.030723,0.204506
sample,38,drone,0.949073,1.280464,-1.134425,1.129648,2.344673,0.486297,-0.128822,-0.862219,-0.178828,0.047372,0.204506
sample,39,drone,0.974049,1.338754,-1.122336,1.126446,2.319376,0.481050,-0.127432,-1.161039,-0.240805,0.063790,0.204506
sample,40,drone,0.999024,1.396319,-1.110396,1.123283,2.286677,0.474268,-0.125635,-1.454153,-0.301599,0.079895,0.204506
sample,41,drone,1.024000,1.452976,-1.098645,1.120170,2.246739,0.465985,-0.123441,-1.740067,-0.360899,0.095603,0.204506
sample,42,drone,1.048975,1.508547,-1.087120,1.117117,2.199759,0.456241,-0.120860,-2.017290,-0.418396,0.110835,0.204506
sample,43,drone,1.073951,1.562857,-1.075856,1.114133,2.145973,0.445085,-0.117905,-2.284331,-0.473782,0.125507,0.204506
sample,44,drone,1.098927,1.615741,-1.064887,1.111227,2.085654,0.432575,-0.114591,-2.539697,-0.526746,0.139537,0.204506
sample,45,drone,1.123902,1.667038,-1.054248,1.108409,2.019112,0.418774,-0.110935,-2.781896,-0.576979,0.152844,0.204506
sample,46,drone,1.148878,1.716598,-1.043969,1.105686,1.946695,0.403754,-0.106956,-3.009438,-0.624172,0.165346,0.204506
sample,47,drone,1.173853,1.764278,-1.034080,1.103066,1.868787,0.387596,-0.102676,-3.220829,-0.668016,0.176960,0.204506
sample,48,drone,1.198829,1.809946,-1.024608,1.100557,1.785810,0.370386,-0.098117,-3.414578,-0.708201,0.187605,0.204506
sample,49,drone,1.223805,1.853481,-1.015579,1.098165,1.698224,0.352220,-0.093304,-3.589193,-0.744417,0.197199,0.204506
sample,50,drone,1.248780,1.894774,-1.007014,1.095897,1.606526,0.333201,-0.088266,-3.743183,-0.776355,0.205659,0.204506
sample,51,drone,1.273756,1.933729,-0.998935,1.093756,1.511248,0.313440,-0.083032,-3.875054,-0.803706,0.212905,0.204506
sample,52,drone,1.298731,1.970263,-0.991358,1.091749,1.412962,0.293055,-0.077631,-3.983317,-0.826160,0.218853,0.204506
sample,53,drone,1.323707,2.004308,-0.984296,1.089879,1.312276,0.272173,-0.072100,-4.066478,-0.843408,0.223422,0.204506
sample,54,drone,1.348683,2.035813,-0.977762,1.088148,1.209837,0.250926,-0.066471,-4.123046,-0.855140,0.226530,0.204506
sample,55,drone,1.373658,2.064741,-0.971762,1.086558,1.106325,0.229457,-0.060784,-4.151530,-0.861048,0.228095,0.204506
sample,56,drone,1.398634,2.091075,-0.966301,1.085111,1.002463,0.207916,-0.055078,-4.150436,-0.860821,0.228035,0.204506
sample,57,drone,1.423610,2.114815,-0.961377,1.083807,0.899006,0.186458,-0.049394,-4.118274,-0.854151,0.226268,0.204506
sample,58,drone,1.448585,2.135981,-0.956987,1.082644,0.796750,0.165250,-0.043775,-4.053551,-0.840727,0.222712,0.204506
sample,59,drone,1.473561,2.154614,-0.953122,1.081620,0.696526,0.144463,-0.038269,-3.954775,-0.820240,0.217285,0.204506
sample,60,drone,1.498536,2.170774,-0.949771,1.080733,0.599204,0.124278,-0.032922,-3.820456,-0.792382,0.209905,0.204506
sample,61,drone,1.523512,2.184545,-0.946914,1.079976,0.505690,0.104883,-0.027784,-3.649100,-0.756842,0.200490,0.204506
sample,62,drone,1.548488,2.196033,-0.944532,1.079345,0.416927,0.086473,-0.022907,-3.439217,-0.713311,0.188959,0.204506
sample,63,drone,1.573463,2.205371,-0.942595,1.078832,0.333897,0.069252,-0.018345,-3.189314,-0.661480,0.175228,0.204506
sample,64,drone,1.598439,2.212712,-0.941072,1.078428,0.257617,0.053431,-0.014154,-2.897899,-0.601039,0.159217,0.204506
sample,65,drone,1.623414,2.218239,-0.939926,1.078125,0.189143,0.039229,-0.010392,-2.563481,-0.531679,0.140844,0.204506
sample,66,drone,1.648390,2.222160,-0.939113,1.077909,0.129568,0.026873,-0.007119,-2.184567,-0.453090,0.120025,0.204506
sample,67,drone,1.673366,2.224711,-0.938584,1.077769,0.080021,0.016597,-0.004397,-1.759666,-0.364964,0.096680,0.204506
sample,68,drone,1.698341,2.226157,-0.938284,1.077690,0.041671,0.008643,-0.002289,-1.287286,-0.266990,0.070727,0.204506
sample,69,drone,1.723317,2.226793,-0.938152,1.077655,0.015720,0.003260,-0.000864,-0.772262,-0.158679,0.042805,0.204506
sample,70,drone,1.748292,2.226942,-0.938121,1.077647,0.003095,0.000717,-0.000151,-0.299919,-0.038133,0.022523,0.227484
sample,71,drone,1.773268,2.226947,-0.938116,1.077647,0.000739,0.001356,0.000261,-0.006686,0.094192,0.024369,1.071873
sample,72,drone,1.798244,2.226979,-0.938053,1.077660,0.002761,0.005422,0.001066,0.116522,0.230680,0.045458,1.099729
sample,73,drone,1.823219,2.227085,-0.937845,1.077700,0.006559,0.012878,0.002532,0.185103,0.363439,0.071456,1.099729
sample,74,drone,1.848195,2.227307,-0.937410,1.077786,0.012007,0.023576,0.004635,0.249657,0.490187,0.096376,1.099729
sample,75,drone,1.873170,2.227685,-0.936668,1.077932,0.019030,0.037364,0.007346,0.311177,0.610978,0.120125,1.099729
sample,76,drone,1.898146,2.228257,-0.935544,1.078153,0.027551,0.054095,0.010636,0.369709,0.725903,0.142721,1.099729
sample,77,drone,1.923122,2.229061,-0.933966,1.078463,0.037497,0.073624,0.014475,0.425299,0.835052,0.164181,1.099729
sample,78,drone,1.948097,2.230130,-0.931866,1.078876,0.048795,0.095807,0.018837,0.477994,0.938515,0.184523,1.099729
sample,79,drone,1.973073,2.231498,-0.929180,1.079404,0.061374,0.120503,0.023692,0.527839,1.036382,0.203765,1.099729
sample,80,drone,1.998048,2.233196,-0.925847,1.080060,0.075161,0.147575,0.029015,0.574879,1.128743,0.221924,1.099729
sample,81,drone,2.023024,2.235253,-0.921809,1.080854,0.090089,0.176886,0.034778,0.619162,1.215689,0.239019,1.099729
sample,82,drone,2.048000,2.237696,-0.917011,1.081797,0.106089,0.208300,0.040954,0.660732,1.297310,0.255066,1.099729
sample,83,drone,2.072975,2.240552,-0.911404,1.082899,0.123094,0.241688,0.047519,0.699636,1.373695,0.270085,1.099729
sample,84,drone,2.097951,2.243845,-0.904939,1.084170,0.141037,0.276918,0.054445,0.735919,1.444936,0.284091,1.099729
