section,index,name,t,x,y,z,vx,vy,vz,ax,ay,az,yaw
crossing,1,G1,2.000000,1.948523,-1.192284,0.786952,,,,,,
crossing,2,G6,6.500000,4.238411,2.880938,2.109449,,,,,,
crossing,3,G3,11.500000,5.859512,-2.476595,1.256174,,,,,,
crossing,4,G2,16.500000,8.572991,2.434420,2.464466,,,,,,
crossing,5,G5,18.500000,10.218094,1.877617,1.895487,,,,,,
crossing,6,G4,22.250000,12.343553,-1.673630,2.900976,,,,,,
sample,0,drone,0.000000,0.000000,-1.400000,1.200000,0.001493,0.000159,-0.000317,0.174735,0.018627,-0.037040,0.106201
sample,1,drone,0.024995,0.000037,-1.399996,1.199992,0.005861,0.000625,-0.001242,0.343365,0.036603,-0.072786,0.106201
sample,2,drone,0.049990,0.000293,-1.399969,1.199938,0.018658,0.001989,-0.003955,0.668012,0.071211,-0.141605,0.106201
sample,3,drone,0.074985,0.000970,-1.399897,1.199794,0.039255,0.004185,-0.008321,0.967209,0.103106,-0.205029,0.106201
sample,4,drone,0.099981,0.002255,-1.399760,1.199522,0.067009,0.007143,-0.014205,1.241070,0.132300,-0.263082,0.106201
sample,5,drone,0.124976,0.004320,-1.399539,1.199084,0.101296,0.010798,-0.021473,1.490278,0.158866,-0.315909,0.106201
sample,6,drone,0.149971,0.007319,-1.399220,1.198448,0.141509,0.015085,-0.029997,1.715520,0.182877,-0.363656,0.106201
sample,7,drone,0.174966,0.011394,-1.398785,1.197585,0.187056,0.019940,-0.039652,1.917478,0.204407,-0.406467,0.106201
sample,8,drone,0.199961,0.016670,-1.398223,1.196466,0.237364,0.025303,-0.050316,2.096839,0.223527,-0.444488,0.106201
sample,9,drone,0.224956,0.023260,-1.397520,1.195069,0.291877,0.031115,-0.061872,2.254286,0.240311,-0.477864,0.106201
sample,10,drone,0.249951,0.031261,-1.396668,1.193373,0.350056,0.037317,-0.074205,2.390505,0.254832,-0.506739,0.106201
