section,index,name,t,x,y,z,vx,vy,vz,ax,ay,az,yaw
crossing,1,G1,1.595529,1.952705,-1.198913,0.828629,,,,,,
crossing,2,G6,5.176737,4.269443,3.006641,2.150734,,,,,,
crossing,3,G3,9.253367,5.783534,-2.199095,1.299291,,,,,,
crossing,4,G2,13.334997,8.521670,2.676973,2.496899,,,,,,
crossing,5,G5,14.972118,10.246740,1.914373,1.572178,,,,,,
crossing,6,G4,17.884800,12.316982,-1.421204,2.735769,,,,,,
sample,0,drone,0.000000,0.000000,-1.400000,1.200000,0.002934,0.000302,-0.000558,0.341002,0.035116,-0.064853,0.102617
sample,1,drone,0.024996,0.000073,-1.399992,1.199986,0.011457,0.001180,-0.002179,0.667004,0.068687,-0.126853,0.102617
sample,2,drone,0.049991,0.000573,-1.399941,1.199891,0.036278,0.003736,-0.006899,1.288127,0.132650,-0.244980,0.102617
sample,3,drone,0.074987,0.001887,-1.399806,1.199641,0.075853,0.007811,-0.014426,1.847136,0.190216,-0.351293,0.102617
sample,4,drone,0.099983,0.004365,-1.399551,1.199170,0.128619,0.013245,-0.024461,2.344743,0.241459,-0.445930,0.102617
sample,5,drone,0.124979,0.008317,-1.399144,1.198418,0.193070,0.019882,-0.036719,2.783071,0.286597,-0.529292,0.102617
sample,6,drone,0.149974,0.014017,-1.398557,1.197334,0.267749,0.027572,-0.050921,3.164244,0.325850,-0.601785,0.102617
sample,7,drone,0.174970,0.021702,-1.397765,1.195873,0.351255,0.036172,-0.066803,3.490386,0.359435,-0.663812,0.102617
sample,8,drone,0.199966,0.031576,-1.396748,1.193995,0.442239,0.045541,-0.084106,3.763620,0.387573,-0.715776,0.102617
sample,9,drone,0.224962,0.043810,-1.395488,1.191668,0.539404,0.055547,-0.102585,3.986069,0.410480,-0.758082,0.102617
sample,10,drone,0.249957,0.058542,-1.393971,1.188866,0.641508,0.066062,-0.122004,4.159857,0.428377,-0.791133,0.102617
sample,11,drone,0.274953,0.075880,-1.392186,1.185569,0.747361,0.076962,-0.142135,4.287107,0.441481,-0.815334,0.102617
sample,12,drone,0.299949,0.095904,-1.390124,1.181761,0.855827,0.088132,-0.162764,4.369943,0.450011,-0.831088,0.102617
sample,13,drone,0.324945,0.118664,-1.387780,1.177432,0.965821,0.099459,-0.183683,4.410487,0.454186,-0.838799,0.102617
sample,14,drone,0.349940,0.144186,-1.385152,1.172578,1.076314,0.110837,-0.204696,4.410865,0.454225,-0.838871,0.102617
