section,index,name,t,x,y,z,vx,vy,vz,ax,ay,az,yaw
crossing,1,G1,2.000000,2.085886,-0.866498,0.876169,,,,,,
crossing,2,G6,6.000000,4.267841,3.195212,2.204922,,,,,,
crossing,3,G3,11.000000,5.814427,-2.637678,1.228290,,,,,,
crossing,4,G2,16.000000,8.426779,2.441482,2.362416,,,,,,
crossing,5,G5,17.750000,10.241980,1.712932,1.668629,,,,,,
crossing,6,G4,21.500000,12.256958,-1.412816,3.039618,,,,,,
sample,0,drone,0.000000,0.000000,-1.400000,1.200000,0.001597,0.000408,-0.000248,0.186941,0.047813,-0.029022,0.250399
sample,1,drone,0.024979,0.000040,-1.399990,1.199994,0.006266,0.001603,-0.000973,0.367354,0.093957,-0.057031,0.250399
sample,2,drone,0.049959,0.000313,-1.399920,1.199951,0.019949,0.005102,-0.003097,0.714697,0.182796,-0.110956,0.250399
sample,3,drone,0.074938,0.001037,-1.399735,1.199839,0.041972,0.010735,-0.006516,1.034828,0.264675,-0.160655,0.250399
sample,4,drone,0.099918,0.002410,-1.399384,1.199626,0.071648,0.018325,-0.011123,1.327869,0.339626,-0.206150,0.250399
sample,5,drone,0.124897,0.004616,-1.398819,1.199283,0.108311,0.027702,-0.016815,1.594551,0.407834,-0.247552,0.250399
sample,6,drone,0.149877,0.007821,-1.398000,1.198786,0.151310,0.038700,-0.023491,1.835606,0.469488,-0.284975,0.250399
sample,7,drone,0.174856,0.012175,-1.396886,1.198110,0.200015,0.051157,-0.031052,2.051766,0.524775,-0.318534,0.250399
sample,8,drone,0.199836,0.017814,-1.395444,1.197234,0.253814,0.064917,-0.039404,2.243762,0.573881,-0.348341,0.250399
sample,9,drone,0.224815,0.024856,-1.393643,1.196141,0.312111,0.079828,-0.048455,2.412326,0.616995,-0.374510,0.250399
sample,10,drone,0.249795,0.033406,-1.391456,1.194814,0.374331,0.095742,-0.058114,2.558188,0.654301,-0.397155,0.250399
sample,11,drone,0.274774,0.043557,-1.388860,1.193238,0.439916,0.112516,-0.068296,2.682082,0.685989,-0.416389,0.250399
sample,12,drone,0.299753,0.055384,-1.385835,1.191402,0.508325,0.130013,-0.078917,2.784737,0.712245,-0.432326,0.250399
sample,13,drone,0.324733,0.068952,-1.382364,1.189295,0.579038,0.148099,-0.089895,2.866885,0.733256,-0.445080,0.250399
sample,14,drone,0.349712,0.084312,-1.378436,1.186911,0.651552,0.166646,-0.101152,2.929259,0.749209,-0.454763,0.250399
sample,15,drone,0.374692,0.101503,-1.374039,1.184242,0.725381,0.185529,-0.112614,2.972590,0.760292,-0.461490,0.250399
sample,16,drone,0.399671,0.120551,-1.369167,1.181285,0.800059,0.204629,-0.124208,2.997608,0.766691,-0.465374,0.250399
sample,17,drone,0.424651,0.141473,-1.363816,1.178037,0.875138,0.223832,-0.135864,3.005046,0.768593,-0.466529,0.250399
sample,18,drone,0.449630,0.164272,-1.357985,1.174497,0.950188,0.243027,-0.147515,2.995636,0.766186,-0.465068,0.250399
sample,19,drone,0.474610,0.188943,-1.351674,1.170667,1.024797,0.262110,-0.159098,2.970108,0.759657,-0.461105,0.250399
sample,20,drone,0.499589,0.215470,-1.344890,1.166549,1.098571,0.280979,-0.170552,2.929194,0.749193,-0.454753,0.250399
sample,21,drone,0.524568,0.243827,-1.337637,1.162146,1.171136,0.299538,-0.181817,2.873626,0.734980,-0.446126,0.250399
sample,22,drone,0.549548,0.273979,-1.329925,1.157465,1.242134,0.317698,-0.192840,2.804135,0.717207,-0.435338,0.250399
sample,23,drone,0.574527,0.305882,-1.321765,1.152512,1.311227,0.335369,-0.203566,2.721453,0.696059,-0.422502,0.250399
sample,24,drone,0.599507,0.339486,-1.313170,1.147295,1.378095,0.352472,-0.213947,2.626311,0.671725,-0.407731,0.250399
sample,25,drone,0.624486,0.374730,-1.304156,1.141824,1.442435,0.368928,-0.223936,2.519440,0.644391,-0.391139,0.250399
sample,26,drone,0.649466,0.411549,-1.294739,1.136108,1.503963,0.384665,-0.233488,2.401573,0.614244,-0.372841,0.250399
sample,27,drone,0.674445,0.449867,-1.284939,1.130159,1.562415,0.399615,-0.242563,2.273441,0.581472,-0.352948,0.250399
sample,28,drone,0.699425,0.489605,-1.274775,1.123990,1.617542,0.413715,-0.251121,2.135775,0.546262,-0.331576,0.250399
sample,29,drone,0.724404,0.530677,-1.264270,1.117613,1.669116,0.426906,-0.259128,1.989307,0.508800,-0.308837,0.250399
