section,index,name,t,x,y,z,vx,vy,vz,ax,ay,az,yaw
crossing,1,G1,1.697150,2.092099,-0.817697,0.861853,,,,,,
crossing,2,G6,5.094474,4.290743,3.146687,2.066507,,,,,,
crossing,3,G3,9.451424,5.868756,-2.358691,1.262209,,,,,,
crossing,4,G2,13.827345,8.659029,2.812723,2.658887,,,,,,
crossing,5,G5,15.392662,10.187531,2.061772,1.799050,,,,,,
crossing,6,G4,18.643476,12.402660,-1.767935,2.555576,,,,,,
sample,0,drone,0.000000,0.000000,-1.400000,1.200000,0.002613,0.000727,-0.000422,0.304445,0.084737,-0.049208,0.271463
sample,1,drone,0.024983,0.000065,-1.399982,1.199989,0.010218,0.002844,-0.001652,0.596322,0.165977,-0.096384,0.271463
sample,2,drone,0.049966,0.000511,-1.399858,1.199917,0.032408,0.009020,-0.005238,1.154177,0.321247,-0.186550,0.271463
sample,3,drone,0.074948,0.001685,-1.399531,1.199728,0.067888,0.018895,-0.010973,1.659888,0.462004,-0.268289,0.271463
sample,4,drone,0.099931,0.003903,-1.398914,1.199369,0.115345,0.032105,-0.018643,2.113942,0.588383,-0.341678,0.271463
sample,5,drone,0.124914,0.007448,-1.397927,1.198796,0.173512,0.048294,-0.028045,2.518007,0.700848,-0.406987,0.271463
sample,6,drone,0.149897,0.012572,-1.396501,1.197968,0.241159,0.067123,-0.038979,2.873752,0.799864,-0.464486,0.271463
sample,7,drone,0.174880,0.019498,-1.394573,1.196849,0.317101,0.088260,-0.051253,3.182845,0.885895,-0.514445,0.271463
sample,8,drone,0.199862,0.028416,-1.392091,1.195407,0.400192,0.111387,-0.064683,3.446954,0.959406,-0.557133,0.271463
sample,9,drone,0.224845,0.039493,-1.389008,1.193617,0.489330,0.136197,-0.079091,3.667747,1.020860,-0.592820,0.271463
sample,10,drone,0.249828,0.052866,-1.385286,1.191455,0.583453,0.162395,-0.094304,3.846892,1.070722,-0.621776,0.271463
sample,11,drone,0.274811,0.068646,-1.380893,1.188905,0.681542,0.189696,-0.110158,3.986057,1.109456,-0.644269,0.271463
sample,12,drone,0.299793,0.086920,-1.375807,1.185951,0.782618,0.217830,-0.126495,4.086911,1.137528,-0.660570,0.271463
sample,13,drone,0.324776,0.107750,-1.370010,1.182584,0.885747,0.246534,-0.143164,4.151121,1.155400,-0.670948,0.271463
sample,14,drone,0.349759,0.131176,-1.363489,1.178798,0.990032,0.275560,-0.160019,4.180357,1.163537,-0.675674,0.271463
sample,15,drone,0.374742,0.157217,-1.356241,1.174589,1.094621,0.304670,-0.176924,4.176285,1.162403,-0.675016,0.271463
sample,16,drone,0.399725,0.185870,-1.348266,1.169958,1.198702,0.333640,-0.193747,4.140575,1.152464,-0.669244,0.271463
sample,17,drone,0.424707,0.217111,-1.339571,1.164908,1.301507,0.362254,-0.210363,4.074893,1.134183,-0.658628,0.271463
sample,18,drone,0.449690,0.250900,-1.330166,1.159447,1.402306,0.390310,-0.226656,3.980909,1.108024,-0.643437,0.271463
sample,19,drone,0.474673,0.287178,-1.320068,1.153583,1.500415,0.417617,-0.242513,3.860291,1.074452,-0.623941,0.271463
sample,20,drone,0.499656,0.325869,-1.309299,1.147330,1.595188,0.443996,-0.257831,3.714707,1.033930,-0.600410,0.271463
sample,21,drone,0.524639,0.366883,-1.297884,1.140701,1.686023,0.469278,-0.272513,3.545824,0.986925,-0.573114,0.271463
sample,22,drone,0.549621,0.410113,-1.285852,1.133713,1.772357,0.493308,-0.286467,3.355312,0.933898,-0.542321,0.271463
sample,23,drone,0.574604,0.455440,-1.273236,1.126387,1.853673,0.515941,-0.299610,3.144838,0.875316,-0.508302,0.271463
sample,24,drone,0.599587,0.502732,-1.260072,1.118743,1.929491,0.537044,-0.311865,2.916070,0.811642,-0.471326,0.271463
sample,25,drone,0.624570,0.551848,-1.246402,1.110804,1.999376,0.556495,-0.323160,2.670676,0.743341,-0.431663,0.271463
sample,26,drone,0.649552,0.602632,-1.232267,1.102596,2.062933,0.574185,-0.333433,2.410326,0.670876,-0.389583,0.271463
