section,index,name,t,x,y,z,vx,vy,vz,ax,ay,az,yaw
crossing,1,G1,1.142366,2.059357,-0.111536,1.417266,,,,,,
crossing,2,G6,3.352725,4.445270,3.387012,2.380428,,,,,,
crossing,3,G3,6.811398,6.036038,-2.781526,1.207321,,,,,,
crossing,4,G2,10.266254,8.311379,3.092834,2.570014,,,,,,
crossing,5,G5,11.748574,10.377695,1.819875,0.901108,,,,,,
crossing,6,G4,14.321251,12.346831,-1.991483,3.340652,,,,,,
sample,0,drone,0.000000,0.000000,-1.400000,1.200000,0.008337,0.005216,0.000880,0.957342,0.598974,0.101002,0.559076
sample,1,drone,0.024976,0.000208,-1.399870,1.200022,0.032248,0.020177,0.003402,1.855419,1.160867,0.195751,0.559076
sample,2,drone,0.049953,0.001611,-1.398992,1.200170,0.101021,0.063205,0.010658,3.530354,2.208813,0.372460,0.559076
sample,3,drone,0.074929,0.005255,-1.396712,1.200554,0.208599,0.130513,0.022008,4.963133,3.105250,0.523621,0.559076
sample,4,drone,0.099906,0.012031,-1.392473,1.201269,0.348943,0.218321,0.036814,6.159971,3.854067,0.649890,0.559076
sample,5,drone,0.124882,0.022685,-1.385807,1.202393,0.516307,0.323035,0.054471,7.132743,4.462695,0.752519,0.559076
sample,6,drone,0.149858,0.037822,-1.376336,1.203990,0.705244,0.441245,0.074405,7.893326,4.938564,0.832762,0.559076
sample,7,drone,0.174835,0.057914,-1.363765,1.206110,0.910601,0.569730,0.096070,8.453593,5.289102,0.891871,0.559076
sample,8,drone,0.199811,0.083309,-1.347877,1.208789,1.127525,0.705451,0.118956,8.825419,5.521740,0.931100,0.559076
sample,9,drone,0.224788,0.114237,-1.328526,1.212052,1.351456,0.845556,0.142581,9.020679,5.643907,0.951700,0.559076
sample,10,drone,0.249764,0.150818,-1.305639,1.215912,1.578133,0.987380,0.166496,9.051249,5.663033,0.954925,0.559076
sample,11,drone,0.274741,0.193069,-1.279204,1.220369,1.803591,1.128441,0.190283,8.929002,5.586548,0.942028,0.559076
sample,12,drone,0.299717,0.240913,-1.249270,1.225417,2.024162,1.266444,0.213553,8.665814,5.421881,0.914261,0.559076
sample,13,drone,0.324693,0.294182,-1.215941,1.231037,2.236473,1.399279,0.235953,8.273559,5.176462,0.872878,0.559076
sample,14,drone,0.349670,0.352631,-1.179372,1.237203,2.437450,1.525023,0.257156,7.764113,4.857720,0.819130,0.559076
sample,15,drone,0.374646,0.415939,-1.139762,1.243882,2.624313,1.641936,0.276870,7.149350,4.473085,0.754271,0.559076
sample,16,drone,0.399623,0.483723,-1.097353,1.251034,2.794580,1.748466,0.294834,6.441145,4.029987,0.679554,0.559076
sample,17,drone,0.424599,0.555537,-1.052421,1.258610,2.946066,1.843245,0.310816,5.651373,3.535856,0.596231,0.559076
sample,18,drone,0.449575,0.630887,-1.005277,1.266560,3.076882,1.925092,0.324617,4.791908,2.998121,0.505556,0.559076
sample,19,drone,0.474552,0.709236,-0.956257,1.274826,3.185435,1.993010,0.336070,3.874627,2.424211,0.408781,0.559076
sample,20,drone,0.499528,0.790008,-0.905721,1.283348,3.270430,2.046188,0.345037,2.911402,1.821557,0.307159,0.559076
sample,21,drone,0.524505,0.872603,-0.854045,1.292061,3.330868,2.084002,0.351413,1.914110,1.197588,0.201943,0.559076
sample,22,drone,0.549481,0.956395,-0.801619,1.300902,3.366046,2.106011,0.355125,0.894626,0.559734,0.094385,0.559076
sample,23,drone,0.574457,1.040746,-0.748843,1.309801,3.375557,2.111962,0.356128,-0.135177,-0.084575,-0.014261,0.559076
sample,24,drone,0.599434,1.125013,-0.696121,1.318691,3.359293,2.101786,0.354412,-1.163423,-0.727911,-0.122744,0.559076
sample,25,drone,0.624410,1.208552,-0.643853,1.327505,3.317441,2.075601,0.349997,-2.178238,-1.362843,-0.229809,0.559076
sample,26,drone,0.649387,1.290729,-0.592438,1.336175,3.250484,2.033708,0.342933,-3.167745,-1.981942,-0.334204,0.559076
sample,27,drone,0.674363,1.370923,-0.542264,1.344635,3.159203,1.976597,0.333302,-4.120072,-2.577777,-0.434676,0.559076
sample,28,drone,0.699340,1.448540,-0.493702,1.352824,3.044675,1.904941,0.321219,-5.023342,-3.142920,-0.529973,0.559076
sample,29,drone,0.724316,1.523013,-0.447107,1.360681,2.908273,1.819599,0.306829,-5.865681,-3.669941,-0.618841,0.559076
sample,30,drone,0.749292,1.593816,-0.402808,1.368151,2.751667,1.721617,0.290307,-6.635214,-4.151410,-0.700029,0.559076
sample,31,drone,0.774269,1.660467,-0.361107,1.375183,2.576825,1.612225,0.271860,-7.320067,-4.579897,-0.772282,0.559076
sample,32,drone,0.799245,1.722536,-0.322273,1.381731,2.386009,1.492838,0.251729,-7.908363,-4.947972,-0.834349,0.559076
sample,33,drone,0.824222,1.779655,-0.286535,1.387757,2.181780,1.365060,0.230182,-8.388230,-5.248207,-0.884976,0.559076
sample,34,drone,0.849198,1.831522,-0.254084,1.393229,1.966994,1.230676,0.207522,-8.747791,-5.473171,-0.922910,0.559076
sample,35,drone,0.874174,1.877912,-0.225060,1.398124,1.744803,1.091659,0.184080,-8.975172,-5.615435,-0.946899,0.559076
sample,36,drone,0.899151,1.918680,-0.199552,1.402425,1.518658,0.950169,0.160222,-9.058498,-5.667569,-0.955690,0.559076
sample,37,drone,0.924127,1.953773,-0.177596,1.406127,1.292306,0.808548,0.136341,-8.985894,-5.622143,-0.948030,0.559076
sample,38,drone,0.949104,1.983234,-0.159163,1.409235,1.069788,0.669327,0.112865,-8.745485,-5.471729,-0.922667,0.559076
sample,39,drone,0.974080,2.007212,-0.144161,1.411765,0.855444,0.535220,0.090251,-8.325397,-5.208895,-0.878347,0.559076
sample,40,drone,0.999056,2.025966,-0.132427,1.413744,0.653911,0.409128,0.068989,-7.713755,-4.826213,-0.813817,0.559076
sample,41,drone,1.024033,2.039877,-0.123724,1.415211,0.470120,0.294137,0.049599,-6.898683,-4.316252,-0.727825,0.559076
sample,42,drone,1.049009,2.049450,-0.117735,1.416221,0.309302,0.193519,0.032632,-5.868307,-3.671584,-0.619119,0.559076
sample,43,drone,1.073986,2.055327,-0.114057,1.416841,0.176982,0.110731,0.018672,-4.610753,-2.884778,-0.486444,0.559076
sample,44,drone,1.098962,2.058291,-0.112203,1.417154,0.078982,0.049416,0.008333,-3.115465,-1.949024,-0.328614,0.559076
