section,index,name,t,x,y,z,vx,vy,vz,ax,ay,az,yaw
crossing,1,G1,2.000000,2.129625,-0.448378,1.169738,,,,,,
crossing,2,G6,5.250000,4.199374,3.376626,2.272052,,,,,,
crossing,3,G3,10.750000,5.695524,-3.173827,1.022780,,,,,,
crossing,4,G2,15.750000,8.484044,2.449228,2.411389,,,,,,
crossing,5,G5,17.250000,10.353422,1.620237,1.580438,,,,,,
crossing,6,G4,21.250000,12.198885,-1.071872,3.187002,,,,,,
sample,0,drone,0.000000,0.000000,-1.400000,1.200000,0.001630,0.000728,-0.000023,0.190849,0.085281,-0.002712,0.420231
sample,1,drone,0.024978,0.000041,-1.399982,1.199999,0.006397,0.002858,-0.000091,0.375034,0.167584,-0.005329,0.420231
sample,2,drone,0.049956,0.000320,-1.399857,1.199995,0.020365,0.009100,-0.000289,0.729638,0.326038,-0.010368,0.420231
sample,3,drone,0.074933,0.001058,-1.399527,1.199985,0.042846,0.019146,-0.000609,1.056465,0.472081,-0.015013,0.420231
sample,4,drone,0.099911,0.002460,-1.398901,1.199965,0.073141,0.032683,-0.001039,1.355637,0.605766,-0.019264,0.420231
sample,5,drone,0.124889,0.004712,-1.397895,1.199933,0.110568,0.049407,-0.001571,1.627901,0.727427,-0.023133,0.420231
sample,6,drone,0.149867,0.007983,-1.396433,1.199887,0.154464,0.069022,-0.002195,1.874004,0.837398,-0.026630,0.420231
sample,7,drone,0.174844,0.012428,-1.394446,1.199823,0.204185,0.091240,-0.002901,2.094693,0.936012,-0.029766,0.420231
sample,8,drone,0.199822,0.018184,-1.391875,1.199742,0.259105,0.115781,-0.003682,2.290714,1.023604,-0.032551,0.420231
sample,9,drone,0.224800,0.025372,-1.388663,1.199639,0.318619,0.142375,-0.004528,2.462814,1.100507,-0.034997,0.420231
sample,10,drone,0.249778,0.034100,-1.384762,1.199515,0.382136,0.170757,-0.005430,2.611739,1.167054,-0.037113,0.420231
sample,11,drone,0.274755,0.044462,-1.380132,1.199368,0.449089,0.200675,-0.006382,2.738237,1.223580,-0.038911,0.420231
sample,12,drone,0.299733,0.056535,-1.374737,1.199197,0.518927,0.231882,-0.007374,2.843055,1.270417,-0.040400,0.420231
sample,13,drone,0.324711,0.070385,-1.368549,1.199000,0.591116,0.264140,-0.008400,2.926938,1.307900,-0.041592,0.420231
sample,14,drone,0.349689,0.086064,-1.361542,1.198777,0.665143,0.297219,-0.009452,2.990633,1.336363,-0.042497,0.420231
sample,15,drone,0.374667,0.103613,-1.353701,1.198528,0.740514,0.330898,-0.010523,3.034888,1.356138,-0.043126,0.420231
sample,16,drone,0.399644,0.123057,-1.345012,1.198251,0.816753,0.364965,-0.011606,3.060448,1.367559,-0.043489,0.420231
sample,17,drone,0.424622,0.144414,-1.335469,1.197948,0.893401,0.399216,-0.012695,3.068061,1.370961,-0.043598,0.420231
sample,18,drone,0.449600,0.167687,-1.325069,1.197617,0.970019,0.433453,-0.013784,3.058474,1.366677,-0.043461,0.420231
sample,19,drone,0.474578,0.192872,-1.313815,1.197259,1.046188,0.467489,-0.014866,3.032432,1.355041,-0.043091,0.420231
sample,20,drone,0.499555,0.219950,-1.301715,1.196874,1.121506,0.501144,-0.015937,2.990683,1.336385,-0.042498,0.420231
sample,21,drone,0.524533,0.248897,-1.288780,1.196463,1.195590,0.534248,-0.016989,2.933974,1.311045,-0.041692,0.420231
sample,22,drone,0.549511,0.279677,-1.275027,1.196026,1.268074,0.566638,-0.018020,2.863051,1.279352,-0.040684,0.420231
sample,23,drone,0.574489,0.312245,-1.260474,1.195563,1.338615,0.598159,-0.019022,2.778660,1.241643,-0.039485,0.420231
sample,24,drone,0.599466,0.346548,-1.245145,1.195076,1.406884,0.628665,-0.019992,2.681549,1.198249,-0.038105,0.420231
sample,25,drone,0.624444,0.382526,-1.229068,1.194564,1.472573,0.658018,-0.020925,2.572464,1.149504,-0.036555,0.420231
sample,26,drone,0.649422,0.420111,-1.212274,1.194030,1.535393,0.686089,-0.021818,2.452152,1.095743,-0.034845,0.420231
sample,27,drone,0.674400,0.459228,-1.194794,1.193474,1.595072,0.712757,-0.022666,2.321360,1.037298,-0.032987,0.420231
sample,28,drone,0.699377,0.499794,-1.176667,1.192898,1.651357,0.737908,-0.023466,2.180834,0.974504,-0.030990,0.420231
sample,29,drone,0.724355,0.541722,-1.157932,1.192302,1.704016,0.761439,-0.024214,2.031321,0.907695,-0.028865,0.420231
sample,30,drone,0.749333,0.584919,-1.138629,1.191688,1.752833,0.783252,-0.024908,1.873568,0.837203,-0.026624,0.420231
sample,31,drone,0.774311,0.629286,-1.118804,1.191058,1.797611,0.803262,-0.025544,1.708321,0.763362,-0.024275,0.420231
sample,32,drone,0.799289,0.674719,-1.098502,1.190412,1.838173,0.821387,-0.026121,1.536327,0.686507,-0.021831,0.420231
sample,33,drone,0.824266,0.721113,-1.077771,1.189753,1.874359,0.837556,-0.026635,1.358333,0.606970,-0.019302,0.420231
sample,34,drone,0.849244,0.768354,-1.056661,1.189082,1.906030,0.851708,-0.027085,1.175086,0.525086,-0.016698,0.420231
sample,35,drone,0.874222,0.816329,-1.035224,1.188400,1.933062,0.863787,-0.027469,0.987332,0.441189,-0.014030,0.420231
sample,36,drone,0.899200,0.864921,-1.013510,1.187709,1.955352,0.873748,-0.027786,0.795817,0.355611,-0.011309,0.420231
sample,37,drone,0.924177,0.914010,-0.991575,1.187012,1.972817,0.881552,-0.028034,0.601290,0.268686,-0.008544,0.420231
sample,38,drone,0.949155,0.963474,-0.969472,1.186309,1.985390,0.887170,-0.028213,0.404495,0.180748,-0.005748,0.420231
sample,39,drone,0.974133,1.013191,-0.947256,1.185602,1.993024,0.890581,-0.028321,0.206181,0.092132,-0.002930,0.420231
sample,40,drone,0.999111,1.063037,-0.924983,1.184894,1.995690,0.891773,-0.028359,0.007093,0.003170,-0.000101,0.420231
sample,41,drone,1.024088,1.112887,-0.902707,1.184186,1.993378,0.890740,-0.028326,-0.192021,-0.085804,0.002729,0.420231
sample,42,drone,1.049066,1.162617,-0.880485,1.183479,1.986097,0.887486,-0.028223,-0.390415,-0.174457,0.005548,0.420231
sample,43,drone,1.074044,1.212104,-0.858372,1.182776,1.973875,0.882025,-0.028049,-0.587342,-0.262454,0.008346,0.420231
sample,44,drone,1.099022,1.261223,-0.836423,1.182078,1.956756,0.874375,-0.027806,-0.782056,-0.349461,0.011113,0.420231
sample,45,drone,1.124000,1.309854,-0.814692,1.181387,1.934807,0.864567,-0.027494,-0.973810,-0.435146,0.013838,0.420231
sample,46,drone,1.148977,1.357877,-0.793233,1.180704,1.908109,0.852637,-0.027114,-1.161856,-0.519175,0.016510,0.420231
sample,47,drone,1.173955,1.405175,-0.772098,1.180032,1.876766,0.838632,-0.026669,-1.345449,-0.601213,0.019119,0.420231
sample,48,drone,1.198933,1.451632,-0.751339,1.179372,1.840897,0.822604,-0.026159,-1.523842,-0.680928,0.021654,0.420231
sample,49,drone,1.223911,1.497138,-0.731005,1.178725,1.800641,0.804615,-0.025587,-1.696288,-0.757985,0.024104,0.420231
sample,50,drone,1.248888,1.541584,-0.711144,1.178094,1.756158,0.784738,-0.024955,-1.862040,-0.832051,0.026460,0.420231
sample,51,drone,1.273866,1.584868,-0.691803,1.177479,1.707622,0.763050,-0.024266,-2.020351,-0.902793,0.028709,0.420231
sample,52,drone,1.298844,1.626889,-0.673025,1.176882,1.655230,0.739638,-0.023521,-2.170476,-0.969876,0.030843,0.420231
sample,53,drone,1.323822,1.667556,-0.654854,1.176304,1.599195,0.714599,-0.022725,-2.311667,-1.032967,0.032849,0.420231
sample,54,drone,1.348799,1.706778,-0.637327,1.175746,1.539749,0.688036,-0.021880,-2.443177,-1.091732,0.034718,0.420231
sample,55,drone,1.373777,1.744475,-0.620483,1.175211,1.477145,0.660061,-0.020990,-2.564260,-1.145838,0.036438,0.420231
sample,56,drone,1.398755,1.780570,-0.604354,1.174698,1.411650,0.630795,-0.020060,-2.674169,-1.194951,0.038000,0.420231
sample,57,drone,1.423733,1.814994,-0.588971,1.174209,1.343555,0.600367,-0.019092,-2.772157,-1.238737,0.039393,0.420231
sample,58,drone,1.448710,1.847688,-0.574362,1.173744,1.273166,0.568913,-0.018092,-2.857478,-1.276862,0.040605,0.420231
sample,59,drone,1.473688,1.878596,-0.560550,1.173305,1.200808,0.536580,-0.017064,-2.929385,-1.308994,0.041627,0.420231
sample,60,drone,1.498666,1.907675,-0.547557,1.172892,1.126827,0.503522,-0.016012,-2.987131,-1.334798,0.042448,0.420231
sample,61,drone,1.523644,1.934887,-0.535397,1.172505,1.051584,0.469900,-0.014943,-3.029970,-1.353940,0.043056,0.420231
sample,62,drone,1.548622,1.960207,-0.524083,1.172145,0.975463,0.435885,-0.013861,-3.057155,-1.366088,0.043443,0.420231
sample,63,drone,1.573599,1.983617,-0.513622,1.171813,0.898863,0.401656,-0.012773,-3.067939,-1.370907,0.043596,0.420231
sample,64,drone,1.598577,2.005110,-0.504018,1.171507,0.822202,0.367401,-0.011684,-3.061575,-1.368063,0.043505,0.420231
sample,65,drone,1.623555,2.024691,-0.495268,1.171229,0.745920,0.333314,-0.010600,-3.037317,-1.357223,0.043161,0.420231
sample,66,drone,1.648533,2.042373,-0.487367,1.170978,0.670472,0.299600,-0.009527,-2.994418,-1.338054,0.042551,0.420231
sample,67,drone,1.673510,2.058184,-0.480302,1.170753,0.596332,0.266471,-0.008474,-2.932132,-1.310221,0.041666,0.420231
sample,68,drone,1.698488,2.072163,-0.474055,1.170554,0.523995,0.234147,-0.007446,-2.849711,-1.273392,0.040495,0.420231
sample,69,drone,1.723466,2.084361,-0.468605,1.170381,0.453973,0.202858,-0.006451,-2.746409,-1.227231,0.039027,0.420231
sample,70,drone,1.748444,2.094842,-0.463921,1.170232,0.386797,0.172840,-0.005496,-2.621480,-1.171407,0.037252,0.420231
sample,71,drone,1.773421,2.103683,-0.459970,1.170106,0.323016,0.144340,-0.004590,-2.474176,-1.105584,0.035158,0.420231
sample,72,drone,1.798399,2.110978,-0.456711,1.170003,0.263198,0.117610,-0.003740,-2.303751,-1.029430,0.032737,0.420231
sample,73,drone,1.823377,2.116832,-0.454095,1.169920,0.207931,0.092914,-0.002955,-2.109458,-0.942610,0.029976,0.420231
sample,74,drone,1.848355,2.121365,-0.452069,1.169855,0.157819,0.070521,-0.002243,-1.890551,-0.844791,0.026865,0.420231
sample,75,drone,1.873333,2.124716,-0.450572,1.169807,0.113487,0.050712,-0.001613,-1.646282,-0.735640,0.023394,0.420231
sample,76,drone,1.898310,2.127035,-0.449536,1.169775,0.075578,0.033772,-0.001074,-1.375905,-0.614822,0.019552,0.420231
sample,77,drone,1.923288,2.128491,-0.448885,1.169754,0.044753,0.019998,-0.000636,-1.078674,-0.482005,0.015328,0.420231
sample,78,drone,1.948266,2.129270,-0.448537,1.169743,0.021693,0.009693,-0.000308,-0.753842,-0.336854,0.010712,0.420231
sample,79,drone,1.973244,2.129575,-0.448401,1.169738,0.007095,0.003170,-0.000101,-0.411228,-0.179575,0.007475,0.420231
sample,80,drone,1.998221,2.129625,-0.448378,1.169738,0.001149,0.000723,0.000065,-0.115597,-0.014637,0.016088,0.561176
sample,81,drone,2.023199,2.129632,-0.448365,1.169742,0.001320,0.002439,0.000703,0.065427,0.148972,0.045795,1.074731
sample,82,drone,2.048177,2.129691,-0.448257,1.169773,0.004418,0.008165,0.002353,0.165258,0.305413,0.088017,1.074804
sample,83,drone,2.073155,2.129853,-0.447957,1.169859,0.009576,0.017696,0.005100,0.245715,0.454093,0.130863,1.074804
sample,84,drone,2.098132,2.130169,-0.447373,1.170028,0.016693,0.030849,0.008890,0.322187,0.595419,0.171592,1.074804
sample,85,drone,2.123110,2.130687,-0.446416,1.170303,0.025671,0.047441,0.013672,0.394745,0.729510,0.210235,1.074804
sample,86,drone,2.148088,2.131451,-0.445003,1.170711,0.036412,0.067292,0.019393,0.463452,0.856483,0.246827,1.074804
sample,87,drone,2.173066,2.132506,-0.443054,1.171272,0.048823,0.090227,0.026002,0.528372,0.976459,0.281402,1.074804
sample,88,drone,2.198044,2.133890,-0.440495,1.172010,0.062808,0.116072,0.033450,0.589569,1.089554,0.313994,1.074804
sample,89,drone,2.223021,2.135643,-0.437256,1.172943,0.078275,0.144656,0.041688,0.647107,1.195887,0.344638,1.074804
sample,90,drone,2.247999,2.137801,-0.433269,1.174092,0.095134,0.175813,0.050667,0.701050,1.295576,0.373367,1.074804
sample,91,drone,2.272977,2.140396,-0.428473,1.175474,0.113296,0.209377,0.060340,0.751462,1.388741,0.400216,1.074804
sample,92,drone,2.297955,2.143460,-0.422809,1.177106,0.132674,0.245188,0.070660,0.798407,1.475498,0.425219,1.074804
sample,93,drone,2.322932,2.147024,-0.416224,1.179004,0.153181,0.283087,0.081582,0.841950,1.555968,0.448409,1.074804
sample,94,drone,2.347910,2.151113,-0.408668,1.181182,0.174734,0.322917,0.093060,0.882154,1.630267,0.469821,1.074804
sample,95,drone,2.372888,2.155753,-0.400093,1.183653,0.197250,0.364527,0.105052,0.919084,1.698515,0.489489,1.074804
sample,96,drone,2.397866,2.160966,-0.390457,1.186430,0.220647,0.407767,0.117513,0.952803,1.760829,0.507447,1.074804
sample,97,drone,2.422843,2.166775,-0.379723,1.189523,0.244847,0.452491,0.130402,0.983375,1.817328,0.523729,1.074804
sample,98,drone,2.447821,2.173198,-0.367853,1.192944,0.269772,0.498553,0.143676,1.010865,1.868131,0.538370,1.074804
sample,99,drone,2.472799,2.180252,-0.354817,1.196701,0.295346,0.545814,0.157296,1.035336,1.913355,0.551403,1.074804
sample,100,drone,2.497777,2.187952,-0.340587,1.200802,0.321493,0.594136,0.171222,1.056853,1.953120,0.562862,1.074804
sample,101,drone,2.522754,2.196312,-0.325137,1.205254,0.348141,0.643383,0.185414,1.075480,1.987543,0.572783,1.074804
sample,102,drone,2.547732,2.205344,-0.308446,1.210064,0.375219,0.693424,0.199835,1.091280,2.016743,0.581198,1.074804
sample,103,drone,2.572710,2.215056,-0.290496,1.215237,0.402657,0.744131,0.214448,1.104318,2.040838,0.588142,1.074804
sample,104,drone,2.597688,2.225459,-0.271273,1.220777,0.430386,0.795376,0.229216,1.114658,2.059946,0.593648,1.074804
sample,105,drone,2.622666,2.236557,-0.250763,1.226688,0.458340,0.847036,0.244104,1.122364,2.074187,0.597752,1.074804
sample,106,drone,2.647643,2.248355,-0.228959,1.232972,0.486454,0.898993,0.259077,1.127500,2.083678,0.600488,1.074804
