section,index,name,t,x,y,z,vx,vy,vz,ax,ay,az,yaw
crossing,1,G1,1.762422,2.149570,-0.377095,1.210130,,,,,,
crossing,2,G6,4.892040,4.243792,3.156872,2.140619,,,,,,
crossing,3,G3,9.244934,5.818963,-2.428106,1.414698,,,,,,
crossing,4,G2,14.226117,8.831785,3.297062,2.763662,,,,,,
crossing,5,G5,15.924529,10.046185,2.491694,2.014516,,,,,,
crossing,6,G4,19.580330,12.402042,-1.809238,2.612306,,,,,,
sample,0,drone,0.000000,0.000000,-1.400000,1.200000,0.002398,0.001141,0.000011,0.279830,0.133161,0.001319,0.444154
sample,1,drone,0.024979,0.000060,-1.399971,1.200000,0.009388,0.004467,0.000044,0.548546,0.261034,0.002585,0.444154
sample,2,drone,0.049958,0.000469,-1.399777,1.200002,0.029802,0.014182,0.000140,1.063063,0.505874,0.005010,0.444154
sample,3,drone,0.074936,0.001549,-1.399263,1.200007,0.062496,0.029740,0.000295,1.531414,0.728746,0.007217,0.444154
sample,4,drone,0.099915,0.003591,-1.398291,1.200017,0.106308,0.050588,0.000501,1.953976,0.929829,0.009209,0.444154
sample,5,drone,0.124894,0.006860,-1.396736,1.200032,0.160112,0.076192,0.000755,2.332168,1.109797,0.010991,0.444154
sample,6,drone,0.149873,0.011590,-1.394485,1.200055,0.222818,0.106031,0.001050,2.667408,1.269326,0.012571,0.444154
sample,7,drone,0.174852,0.017991,-1.391439,1.200085,0.293370,0.139604,0.001383,2.961115,1.409091,0.013955,0.444154
sample,8,drone,0.199830,0.026246,-1.387510,1.200124,0.370748,0.176426,0.001747,3.214707,1.529767,0.015150,0.444154
sample,9,drone,0.224809,0.036513,-1.382625,1.200172,0.453969,0.216028,0.002139,3.429603,1.632028,0.016163,0.444154
sample,10,drone,0.249788,0.048925,-1.376718,1.200231,0.542083,0.257958,0.002555,3.607221,1.716550,0.017000,0.444154
sample,11,drone,0.274767,0.063594,-1.369738,1.200300,0.634177,0.301783,0.002989,3.748980,1.784008,0.017668,0.444154
sample,12,drone,0.299746,0.080607,-1.361642,1.200380,0.729373,0.347083,0.003437,3.856299,1.835078,0.018174,0.444154
sample,13,drone,0.324725,0.100032,-1.352398,1.200471,0.826828,0.393459,0.003897,3.930595,1.870433,0.018524,0.444154
sample,14,drone,0.349703,0.121914,-1.341986,1.200575,0.925736,0.440525,0.004363,3.973289,1.890749,0.018725,0.444154
sample,15,drone,0.374682,0.146279,-1.330391,1.200689,1.025324,0.487916,0.004832,3.985797,1.896701,0.018784,0.444154
sample,16,drone,0.399661,0.173136,-1.317610,1.200816,1.124857,0.535280,0.005301,3.969540,1.888965,0.018707,0.444154
sample,17,drone,0.424640,0.202474,-1.303649,1.200954,1.223633,0.582284,0.005767,3.925934,1.868215,0.018502,0.444154
sample,18,drone,0.449619,0.234266,-1.288521,1.201104,1.320987,0.628612,0.006225,3.856400,1.835126,0.018174,0.444154
sample,19,drone,0.474597,0.268468,-1.272246,1.201265,1.416290,0.673963,0.006675,3.762355,1.790373,0.017731,0.444154
sample,20,drone,0.499576,0.305021,-1.254851,1.201437,1.508946,0.718054,0.007111,3.645218,1.734632,0.017179,0.444154
sample,21,drone,0.524555,0.343851,-1.236373,1.201620,1.598396,0.760621,0.007533,3.506408,1.668577,0.016525,0.444154
