section,index,name,t,x,y,z,vx,vy,vz,ax,ay,az,yaw
crossing,1,G1,1.623783,1.951681,-1.013078,0.818421,,,,,,
crossing,2,G6,5.122920,4.278125,3.004904,2.061851,,,,,,
crossing,3,G3,9.296382,5.819657,-2.332347,1.268985,,,,,,
crossing,4,G2,13.479618,8.539073,2.585109,2.460613,,,,,,
crossing,5,G5,15.062783,10.230062,1.876175,1.732320,,,,,,
crossing,6,G4,18.100600,12.326539,-1.516510,2.818893,,,,,,
sample,0,drone,0.000000,0.000000,-1.400000,1.200000,0.002781,0.000551,-0.000544,0.323580,0.064150,-0.063264,0.195713
sample,1,drone,0.024989,0.000070,-1.399986,1.199986,0.010867,0.002154,-0.002125,0.633182,0.125529,-0.123795,0.195713
sample,2,drone,0.049979,0.000543,-1.399892,1.199894,0.034427,0.006825,-0.006731,1.223602,0.242580,-0.239230,0.195713
sample,3,drone,0.074968,0.001790,-1.399645,1.199650,0.072021,0.014278,-0.014081,1.756110,0.348150,-0.343342,0.195713
sample,4,drone,0.099958,0.004143,-1.399179,1.199190,0.122195,0.024225,-0.023891,2.231334,0.442364,-0.436255,0.195713
sample,5,drone,0.124947,0.007897,-1.398434,1.198456,0.183541,0.036387,-0.035885,2.651216,0.525606,-0.518347,0.195713
sample,6,drone,0.149936,0.013316,-1.397360,1.197397,0.254700,0.050494,-0.049797,3.017700,0.598261,-0.589999,0.195713
sample,7,drone,0.174926,0.020627,-1.395911,1.195967,0.334362,0.066287,-0.065372,3.332726,0.660716,-0.651591,0.195713
sample,8,drone,0.199915,0.030027,-1.394047,1.194129,0.421265,0.083516,-0.082363,3.598239,0.713354,-0.703502,0.195713
sample,9,drone,0.224904,0.041681,-1.391737,1.191851,0.514197,0.101940,-0.100532,3.816181,0.756561,-0.746113,0.195713
sample,10,drone,0.249894,0.055726,-1.388952,1.189105,0.611993,0.121328,-0.119653,3.988493,0.790722,-0.779802,0.195713
sample,11,drone,0.274883,0.072268,-1.385673,1.185871,0.713537,0.141459,-0.139506,4.117119,0.816222,-0.804950,0.195713
sample,12,drone,0.299873,0.091387,-1.381882,1.182133,0.817762,0.162122,-0.159883,4.204001,0.833447,-0.821937,0.195713
sample,13,drone,0.324862,0.113139,-1.377570,1.177880,0.923648,0.183114,-0.180585,4.251082,0.842781,-0.831142,0.195713
sample,14,drone,0.349851,0.137550,-1.372731,1.173107,1.030225,0.204243,-0.201422,4.260304,0.844609,-0.832945,0.195713
sample,15,drone,0.374841,0.164628,-1.367362,1.167813,1.136572,0.225326,-0.222215,4.233610,0.839317,-0.827725,0.195713
sample,16,drone,0.399830,0.194355,-1.361469,1.162001,1.241816,0.246191,-0.242791,4.172942,0.827289,-0.815864,0.195713
sample,17,drone,0.424819,0.226692,-1.355058,1.155679,1.345131,0.266673,-0.262990,4.080242,0.808911,-0.797740,0.195713
sample,18,drone,0.449809,0.261583,-1.348141,1.148857,1.445741,0.286619,-0.282661,3.957454,0.784569,-0.773733,0.195713
sample,19,drone,0.474798,0.298949,-1.340733,1.141552,1.542920,0.305885,-0.301661,3.806520,0.754646,-0.744224,0.195713
sample,20,drone,0.499788,0.338696,-1.332853,1.133781,1.635986,0.324336,-0.319856,3.629382,0.719528,-0.709591,0.195713
sample,21,drone,0.524777,0.380713,-1.324523,1.125566,1.724311,0.341846,-0.337125,3.427983,0.679600,-0.670215,0.195713
sample,22,drone,0.549766,0.424875,-1.315768,1.116931,1.807313,0.358301,-0.353353,3.204265,0.635248,-0.626475,0.195713
sample,23,drone,0.574756,0.471040,-1.306616,1.107906,1.884457,0.373595,-0.368436,2.960171,0.586856,-0.578752,0.195713
sample,24,drone,0.599745,0.519058,-1.297096,1.098518,1.955258,0.387632,-0.382278,2.697644,0.534810,-0.527424,0.195713
sample,25,drone,0.624734,0.568762,-1.287243,1.088800,2.019282,0.400324,-0.394796,2.418626,0.479495,-0.472873,0.195713
sample,26,drone,0.649724,0.619979,-1.277089,1.078786,2.076138,0.411596,-0.405912,2.125059,0.421295,-0.415476,0.195713
sample,27,drone,0.674713,0.672525,-1.266671,1.068513,2.125489,0.421380,-0.415561,1.818886,0.360596,-0.355616,0.195713
sample,28,drone,0.699703,0.726208,-1.256029,1.058017,2.167044,0.429618,-0.423685,1.502049,0.297783,-0.293670,0.195713
sample,29,drone,0.724692,0.780831,-1.245200,1.047337,2.200560,0.436263,-0.430238,1.176492,0.233241,-0.230019,0.195713
sample,30,drone,0.749681,0.836189,-1.234225,1.036514,2.225844,0.441275,-0.435181,0.844156,0.167355,-0.165043,0.195713
sample,31,drone,0.774671,0.892076,-1.223145,1.025588,2.242750,0.444627,-0.438487,0.506985,0.100510,-0.099122,0.195713
sample,32,drone,0.799660,0.948279,-1.212003,1.014599,2.251182,0.446299,-0.440135,0.166920,0.033092,-0.032635,0.195713
sample,33,drone,0.824649,1.004587,-1.200840,1.003590,2.251092,0.446281,-0.440118,-0.174096,-0.034515,0.034038,0.195713
sample,34,drone,0.849639,1.060786,-1.189698,0.992603,2.242481,0.444574,-0.438434,-0.514120,-0.101925,0.100517,0.195713
sample,35,drone,0.874628,1.116663,-1.178621,0.981678,2.225397,0.441187,-0.435094,-0.851210,-0.168753,0.166422,0.195713
sample,36,drone,0.899618,1.172008,-1.167648,0.970857,2.199939,0.436140,-0.430116,-1.183423,-0.234614,0.231374,0.195713
