section,index,name,t,x,y,z,vx,vy,vz,ax,ay,az,yaw,local_u,local_v,plane_error,gate_margin,contains
crossing,1,G1,1.310433,2.273887,-0.110785,1.094393,,,,,,,,-0.674995,-0.341939,0.000000000,0.172733375,True
crossing,2,G6,3.185720,4.442886,2.585297,1.724463,,,,,,,,-0.367639,-0.289506,0.000000000,0.119799839,True
crossing,3,G3,6.977212,5.796343,-1.990109,1.102968,,,,,,,,0.413003,-0.370502,0.000000000,0.179169557,True
crossing,4,G2,10.348202,8.086605,2.079944,2.039551,,,,,,,,-0.569080,0.090190,0.000000000,0.272606665,True
crossing,5,G5,11.848240,10.409771,1.391295,1.317032,,,,,,,,0.122894,0.618319,0.000000000,0.160784345,True
crossing,6,G4,13.874644,12.047290,-1.433598,3.191903,,,,,,,,0.404835,-0.294397,0.000000000,0.146978139,True
sample,0,drone,0.000000,0.000000,-1.400000,1.200000,1.001973,0.563349,-0.048895,1.854211,0.869140,-0.176889,0.512192,,,,,
sample,1,drone,0.024987,0.025036,-1.385924,1.198778,1.048304,0.585066,-0.053315,2.743142,1.287591,-0.260807,0.509046,,,,,
sample,2,drone,0.049974,0.052388,-1.370762,1.197336,1.139059,0.627695,-0.061928,3.555724,1.673807,-0.335671,0.503660,,,,,
sample,3,drone,0.074961,0.081960,-1.354555,1.195683,1.225999,0.668713,-0.070090,3.403027,1.609334,-0.317564,0.499338,,,,,
sample,4,drone,0.099948,0.113656,-1.337343,1.193833,1.309123,0.708120,-0.077798,3.250329,1.544862,-0.299457,0.495839,,,,,
sample,5,drone,0.124935,0.147382,-1.319167,1.191796,1.388431,0.745917,-0.085055,3.097632,1.480389,-0.281350,0.492992,,,,,
sample,6,drone,0.149923,0.183042,-1.300067,1.189582,1.463924,0.782102,-0.091859,2.944934,1.415916,-0.263243,0.490671,,,,,
sample,7,drone,0.174910,0.220541,-1.280082,1.187205,1.535602,0.816676,-0.098210,2.792236,1.351444,-0.245136,0.488785,,,,,
sample,8,drone,0.199897,0.259783,-1.259254,1.184674,1.603464,0.849639,-0.104109,2.639539,1.286971,-0.227029,0.487263,,,,,
sample,9,drone,0.224884,0.300672,-1.237622,1.182002,1.667510,0.880991,-0.109556,2.486841,1.222498,-0.208922,0.486052,,,,,
sample,10,drone,0.249871,0.343115,-1.215227,1.179199,1.727742,0.910732,-0.114550,2.334143,1.158026,-0.190815,0.485110,,,,,
sample,11,drone,0.274858,0.387015,-1.192109,1.176278,1.784157,0.938862,-0.119092,2.181446,1.093553,-0.172708,0.484404,,,,,
sample,12,drone,0.299845,0.432277,-1.168308,1.173248,1.836758,0.965382,-0.123181,2.028748,1.029081,-0.154601,0.483910,,,,,
sample,13,drone,0.324832,0.478805,-1.143865,1.170122,1.885542,0.990290,-0.126818,1.876050,0.964608,-0.136494,0.483605,,,,,
sample,14,drone,0.349819,0.526505,-1.118820,1.166910,1.930512,1.013587,-0.130002,1.723353,0.900135,-0.118387,0.483475,,,,,
sample,15,drone,0.374806,0.575281,-1.093212,1.163625,1.971665,1.035273,-0.132734,1.570655,0.835663,-0.100280,0.483506,,,,,
sample,16,drone,0.399793,0.625038,-1.067083,1.160277,2.009004,1.055349,-0.135013,1.417957,0.771190,-0.082173,0.483690,,,,,
sample,17,drone,0.424780,0.675679,-1.040472,1.156878,2.042527,1.073813,-0.136841,1.265260,0.706717,-0.064066,0.484017,,,,,
sample,18,drone,0.449768,0.727111,-1.013420,1.153439,2.072234,1.090666,-0.138215,1.112562,0.642245,-0.045959,0.484484,,,,,
sample,19,drone,0.474755,0.779237,-0.985967,1.149971,2.098126,1.105909,-0.139137,0.959865,0.577772,-0.027852,0.485087,,,,,
sample,20,drone,0.499742,0.831963,-0.958153,1.146485,2.120203,1.119540,-0.139607,0.807167,0.513299,-0.009745,0.485823,,,,,
sample,21,drone,0.524729,0.885193,-0.930019,1.142994,2.138464,1.131560,-0.139624,0.654469,0.448827,0.008362,0.486692,,,,,
sample,22,drone,0.549716,0.938831,-0.901604,1.139508,2.152909,1.141970,-0.139189,0.501772,0.384354,0.026469,0.487695,,,,,
sample,23,drone,0.574703,0.992783,-0.872950,1.136038,2.163539,1.150768,-0.138302,0.349074,0.319882,0.044576,0.488834,,,,,
sample,24,drone,0.599690,1.046952,-0.844095,1.132596,2.170354,1.157956,-0.136962,0.196376,0.255409,0.062683,0.490113,,,,,
