section,index,name,t,x,y,z,vx,vy,vz,ax,ay,az,yaw,local_u,local_v,plane_error,gate_margin,contains
crossing,1,G1,1.284455,2.269604,-0.118415,1.091313,,,,,,,,-0.679278,-0.339289,0.000000000,0.172465651,True
crossing,2,G6,3.823287,4.427078,2.903514,1.832904,,,,,,,,-0.386946,-0.244715,0.000000000,0.116905641,True
crossing,3,G1,7.035361,1.933868,0.789465,1.567708,,,,,,,,0.576651,0.006146,0.000000000,0.298831134,True
crossing,4,G3,10.259479,5.815526,-3.348734,1.216062,,,,,,,,0.550638,0.200316,0.000000000,0.237122204,True
crossing,5,G2,14.912081,8.461174,3.372271,2.466021,,,,,,,,-0.581142,-0.262235,0.000000000,0.285254484,True
crossing,6,G5,16.690291,10.405078,2.346379,1.635899,,,,,,,,0.622332,0.300825,0.000000000,0.244923587,True
crossing,7,G4,20.156829,12.141904,-1.800107,3.637549,,,,,,,,0.475298,0.400813,0.000000000,0.197857537,True
crossing,8,G2,24.599051,8.589005,2.355235,2.401500,,,,,,,,-0.566750,0.289799,0.000000000,0.295876558,True
sample,0,drone,0.000000,0.000000,-1.400000,1.200000,1.024044,0.573300,-0.051359,2.030445,0.956325,-0.186338,0.510366,,,,,
sample,1,drone,0.024993,0.025594,-1.385671,1.198716,1.074792,0.597202,-0.056016,3.001918,1.415679,-0.274650,0.507166,,,,,
sample,2,drone,0.049987,0.053726,-1.370148,1.197200,1.174101,0.644065,-0.065088,3.885892,1.837418,-0.353248,0.501737,,,,,
sample,3,drone,0.074980,0.084284,-1.353476,1.195463,1.269036,0.689049,-0.073674,3.710896,1.762186,-0.333820,0.497430,,,,,
sample,4,drone,0.099974,0.117161,-1.335704,1.193517,1.359597,0.732152,-0.081774,3.535899,1.686954,-0.314391,0.493976,,,,,
sample,5,drone,0.124967,0.152246,-1.316878,1.191375,1.445785,0.773374,-0.089389,3.360902,1.611722,-0.294963,0.491189,,,,,
sample,6,drone,0.149961,0.189431,-1.297046,1.189049,1.527599,0.812717,-0.096519,3.185905,1.536491,-0.275535,0.488936,,,,,
sample,7,drone,0.174954,0.228606,-1.276253,1.186551,1.605039,0.850179,-0.103162,3.010908,1.461259,-0.256107,0.487119,,,,,
sample,8,drone,0.199948,0.269662,-1.254548,1.183892,1.678105,0.885761,-0.109321,2.835912,1.386027,-0.236679,0.485666,,,,,
sample,9,drone,0.224941,0.312490,-1.231977,1.181086,1.746797,0.919462,-0.114993,2.660915,1.310795,-0.217251,0.484521,,,,,
sample,10,drone,0.249935,0.356979,-1.208587,1.178144,1.811116,0.951283,-0.120180,2.485918,1.235563,-0.197823,0.483641,,,,,
sample,11,drone,0.274928,0.403022,-1.184425,1.175078,1.871061,0.981224,-0.124882,2.310921,1.160332,-0.178395,0.482993,,,,,
sample,12,drone,0.299922,0.450508,-1.159538,1.171902,1.926632,1.009285,-0.129098,2.135924,1.085100,-0.158967,0.482553,,,,,
sample,13,drone,0.324915,0.499328,-1.133974,1.168625,1.977829,1.035465,-0.132828,1.960928,1.009868,-0.139539,0.482299,,,,,
sample,14,drone,0.349909,0.549374,-1.107779,1.165262,2.024653,1.059765,-0.136073,1.785931,0.934636,-0.120111,0.482216,,,,,
sample,15,drone,0.374902,0.600535,-1.080999,1.161823,2.067102,1.082185,-0.138832,1.610934,0.859404,-0.100682,0.482292,,,,,
sample,16,drone,0.399896,0.652702,-1.053683,1.158322,2.105178,1.102724,-0.141106,1.435937,0.784173,-0.081254,0.482518,,,,,
sample,17,drone,0.424889,0.705766,-1.025878,1.154770,2.138880,1.121383,-0.142894,1.260940,0.708941,-0.061826,0.482886,,,,,
sample,18,drone,0.449883,0.759618,-0.997629,1.151179,2.168209,1.138162,-0.144196,1.085944,0.633709,-0.042398,0.483394,,,,,
sample,19,drone,0.474876,0.814148,-0.968984,1.147562,2.193164,1.153060,-0.145013,0.910947,0.558477,-0.022970,0.484036,,,,,
sample,20,drone,0.499870,0.869248,-0.939991,1.143930,2.213744,1.166078,-0.145344,0.735950,0.483245,-0.003542,0.484814,,,,,
sample,21,drone,0.524863,0.924807,-0.910696,1.140297,2.229951,1.177216,-0.145190,0.560953,0.408014,0.015886,0.485726,,,,,
sample,22,drone,0.549857,0.980716,-0.881145,1.136673,2.241785,1.186474,-0.144550,0.385956,0.332782,0.035314,0.486776,,,,,
sample,23,drone,0.574850,1.036867,-0.851387,1.133071,2.249244,1.193851,-0.143425,0.210960,0.257550,0.054742,0.487966,,,,,
sample,24,drone,0.599844,1.093149,-0.821468,1.129504,2.252330,1.199348,-0.141814,0.035963,0.182318,0.074170,0.489302,,,,,
sample,25,drone,0.624837,1.149454,-0.791436,1.125982,2.251042,1.202964,-0.139717,-0.139034,0.107086,0.093599,0.490790,,,,,
sample,26,drone,0.649830,1.205672,-0.761336,1.122519,2.245380,1.204701,-0.137135,-0.314031,0.031855,0.113027,0.492438,,,,,
sample,27,drone,0.674824,1.261693,-0.731216,1.119127,2.235344,1.204557,-0.134067,-0.489028,-0.043377,0.132455,0.494257,,,,,
sample,28,drone,0.699817,1.317410,-0.701124,1.115818,2.220935,1.202532,-0.130514,-0.664024,-0.118609,0.151883,0.496258,,,,,
sample,29,drone,0.724811,1.372711,-0.671105,1.112603,2.202152,1.198628,-0.126475,-0.839021,-0.193841,0.171311,0.498455,,,,,
sample,30,drone,0.749804,1.427489,-0.641208,1.109496,2.178995,1.192843,-0.121951,-1.014018,-0.269072,0.190739,0.500866,,,,,
sample,31,drone,0.774798,1.481633,-0.611479,1.106507,2.151464,1.185178,-0.116941,-1.189015,-0.344304,0.210167,0.503511,,,,,
sample,32,drone,0.799791,1.535034,-0.581965,1.103650,2.119560,1.175632,-0.111445,-1.364012,-0.419536,0.229595,0.506413,,,,,
sample,33,drone,0.824785,1.587583,-0.552713,1.100937,2.083281,1.164206,-0.105464,-1.539008,-0.494768,0.249023,0.509599,,,,,
sample,34,drone,0.849778,1.639171,-0.523769,1.098378,2.042629,1.150900,-0.098997,-1.714005,-0.570000,0.268451,0.513104,,,,,
sample,35,drone,0.874772,1.689688,-0.495182,1.095988,1.997604,1.135714,-0.092045,-1.889002,-0.645231,0.287879,0.516964,,,,,
sample,36,drone,0.899765,1.739025,-0.466999,1.093777,1.948204,1.118647,-0.084607,-2.063999,-0.720463,0.307308,0.521228,,,,,
sample,37,drone,0.924759,1.787073,-0.439265,1.091759,1.894430,1.099700,-0.076684,-2.238996,-0.795695,0.326736,0.525951,,,,,
sample,38,drone,0.949752,1.833722,-0.412028,1.089944,1.836283,1.078873,-0.068275,-2.413992,-0.870927,0.346164,0.531200,,,,,
sample,39,drone,0.974746,1.878863,-0.385335,1.088346,1.773762,1.056165,-0.059380,-2.588989,-0.946159,0.365592,0.537058,,,,,
sample,40,drone,0.999739,1.922387,-0.359233,1.086976,1.706868,1.031577,-0.050000,-2.763986,-1.021390,0.385020,0.543625,,,,,
sample,41,drone,1.024733,1.964184,-0.333770,1.085847,1.635599,1.005109,-0.040134,-2.938983,-1.096622,0.404448,0.551028,,,,,
sample,42,drone,1.049726,2.004145,-0.308991,1.084970,1.559957,0.976760,-0.029783,-3.113980,-1.171854,0.423876,0.559423,,,,,
sample,43,drone,1.074720,2.042161,-0.284944,1.084358,1.479941,0.946531,-0.018946,-3.288976,-1.247086,0.443304,0.569011,,,,,
sample,44,drone,1.099713,2.078123,-0.261677,1.084023,1.395551,0.914422,-0.007623,-3.463973,-1.322318,0.462732,0.580051,,,,,
sample,45,drone,1.124707,2.111921,-0.239235,1.083977,1.306787,0.880433,0.004185,-3.638970,-1.397549,0.482160,0.592882,,,,,
sample,46,drone,1.149700,2.143445,-0.217667,1.084232,1.213650,0.844563,0.016479,-3.813967,-1.472781,0.501588,0.607960,,,,,
sample,47,drone,1.174694,2.172587,-0.197018,1.084800,1.116139,0.806813,0.029258,-3.988963,-1.548013,0.521017,0.625905,,,,,
sample,48,drone,1.199687,2.199238,-0.177337,1.085694,1.014254,0.767183,0.042523,-4.163960,-1.623245,0.540445,0.647585,,,,,
sample,49,drone,1.224681,2.223287,-0.158669,1.086926,0.907995,0.725672,0.056273,-4.338957,-1.698476,0.559873,0.674255,,,,,
sample,50,drone,1.249674,2.244626,-0.141062,1.088507,0.797362,0.682281,0.070509,-4.244749,-1.604590,0.574608,0.707778,,,,,
sample,51,drone,1.274668,2.263145,-0.124564,1.090451,0.695813,0.645463,0.084996,-2.791439,-0.663110,0.562719,0.747877,,,,,
sample,52,drone,1.299661,2.279407,-0.108798,1.092756,0.657827,0.649134,0.098638,-0.369492,0.866617,0.524375,0.778747,,,,,
sample,53,drone,1.324654,2.296027,-0.092116,1.095381,0.677343,0.688783,0.111208,0.878676,1.636712,0.495982,0.793772,,,,,
sample,54,drone,1.349648,2.313265,-0.074368,1.098315,0.701749,0.730948,0.123430,0.963766,1.667575,0.483816,0.805776,,,,,
sample,55,drone,1.374641,2.331106,-0.055578,1.101551,0.725519,0.772140,0.135392,0.938294,1.628614,0.473402,0.816517,,,,,
sample,56,drone,1.399635,2.349532,-0.035771,1.105083,0.748652,0.812358,0.147094,0.912823,1.589652,0.462989,0.826186,,,,,
sample,57,drone,1.424628,2.368528,-0.014970,1.108904,0.771148,0.851602,0.158536,0.887351,1.550691,0.452576,0.834936,,,,,
sample,58,drone,1.449622,2.388079,0.006798,1.113008,0.793008,0.889872,0.169717,0.861879,1.511729,0.442162,0.842893,,,,,
sample,59,drone,1.474615,2.408168,0.029512,1.117387,0.814231,0.927169,0.180638,0.836408,1.472768,0.431749,0.850162,,,,,
sample,60,drone,1.499609,2.428780,0.053145,1.122037,0.834817,0.963491,0.191299,0.810936,1.433807,0.421335,0.856829,,,,,
sample,61,drone,1.524602,2.449898,0.077674,1.126950,0.854767,0.998840,0.201699,0.785465,1.394845,0.410922,0.862968,,,,,
sample,62,drone,1.549596,2.471507,0.103074,1.132119,0.874080,1.033215,0.211840,0.759993,1.355884,0.400509,0.868640,,,,,
sample,63,drone,1.574589,2.493591,0.129321,1.137539,0.892757,1.066617,0.221720,0.734521,1.316922,0.390095,0.873899,,,,,
sample,64,drone,1.599583,2.516134,0.156391,1.143203,0.910797,1.099044,0.231339,0.709050,1.277961,0.379682,0.878789,,,,,
sample,65,drone,1.624576,2.539119,0.184259,1.149103,0.928200,1.130498,0.240699,0.683578,1.238999,0.369269,0.883349,,,,,
sample,66,drone,1.649570,2.562531,0.212901,1.155234,0.944967,1.160978,0.249798,0.658107,1.200038,0.358855,0.887613,,,,,
sample,67,drone,1.674563,2.586355,0.242292,1.161590,0.961097,1.190484,0.258637,0.632635,1.161076,0.348442,0.891610,,,,,
sample,68,drone,1.699557,2.610574,0.272409,1.168163,0.976590,1.219017,0.267215,0.607163,1.122115,0.338029,0.895367,,,,,
sample,69,drone,1.724550,2.635172,0.303227,1.174947,0.991447,1.246575,0.275534,0.581692,1.083153,0.327615,0.898905,,,,,
sample,70,drone,1.749544,2.660133,0.334722,1.181936,1.005667,1.273160,0.283592,0.556220,1.044192,0.317202,0.902245,,,,,
sample,71,drone,1.774537,2.685442,0.366869,1.189123,1.019251,1.298771,0.291390,0.530748,1.005230,0.306788,0.905405,,,,,
sample,72,drone,1.799531,2.711082,0.399644,1.196502,1.032198,1.323409,0.298927,0.505277,0.966269,0.296375,0.908399,,,,,
sample,73,drone,1.824524,2.737038,0.433022,1.204065,1.044508,1.347072,0.306205,0.479805,0.927308,0.285962,0.911242,,,,,
sample,74,drone,1.849518,2.763294,0.466980,1.211808,1.056182,1.369762,0.313222,0.454334,0.888346,0.275548,0.913947,,,,,
sample,75,drone,1.874511,2.789834,0.501492,1.219722,1.067219,1.391478,0.319978,0.428862,0.849385,0.265135,0.916524,,,,,
sample,76,drone,1.899505,2.816641,0.536535,1.227803,1.077619,1.412220,0.326475,0.403390,0.810423,0.254722,0.918984,,,,,
sample,77,drone,1.924498,2.843701,0.572085,1.236042,1.087383,1.431989,0.332711,0.377919,0.771462,0.244308,0.921337,,,,,
sample,78,drone,1.949491,2.870996,0.608116,1.244434,1.096510,1.450783,0.338687,0.352447,0.732500,0.233895,0.923590,,,,,
sample,79,drone,1.974485,2.898512,0.644605,1.252972,1.105001,1.468604,0.344403,0.326976,0.693539,0.223481,0.925751,,,,,
sample,80,drone,1.999478,2.926232,0.681527,1.261649,1.112855,1.485451,0.349858,0.301504,0.654577,0.213068,0.927827,,,,,
sample,81,drone,2.024472,2.954140,0.718858,1.270460,1.120072,1.501324,0.355054,0.276032,0.615616,0.202655,0.929824,,,,,
sample,82,drone,2.049465,2.982221,0.756574,1.279397,1.126653,1.516224,0.359988,0.250561,0.576654,0.192241,0.931748,,,,,
sample,83,drone,2.074459,3.010458,0.794650,1.288455,1.132597,1.530150,0.364663,0.225089,0.537693,0.181828,0.933605,,,,,
sample,84,drone,2.099452,3.038836,0.833061,1.297626,1.137904,1.543101,0.369077,0.199618,0.498731,0.171415,0.935399,,,,,
sample,85,drone,2.124446,3.067338,0.871785,1.306904,1.142575,1.555080,0.373232,0.174146,0.459770,0.161001,0.937135,,,,,
sample,86,drone,2.149439,3.095950,0.910795,1.316283,1.146609,1.566084,0.377125,0.148674,0.420808,0.150588,0.938817,,,,,
sample,87,drone,2.174433,3.124654,0.950068,1.325755,1.150007,1.576115,0.380759,0.123203,0.381847,0.140174,0.940449,,,,,
sample,88,drone,2.199426,3.153435,0.989580,1.335316,1.152768,1.585171,0.384132,0.097731,0.342886,0.129761,0.942035,,,,,
sample,89,drone,2.224420,3.182277,1.029306,1.344957,1.154892,1.593254,0.387245,0.072260,0.303924,0.119348,0.943578,,,,,
sample,90,drone,2.249413,3.211165,1.069222,1.354673,1.156380,1.600364,0.390098,0.046788,0.264963,0.108934,0.945081,,,,,
sample,91,drone,2.274407,3.240081,1.109304,1.364457,1.157231,1.606499,0.392691,0.021316,0.226001,0.098521,0.946547,,,,,
sample,92,drone,2.299400,3.269011,1.149526,1.374302,1.157445,1.611661,0.395023,-0.004155,0.187040,0.088108,0.947980,,,,,
sample,93,drone,2.324394,3.297938,1.189866,1.384203,1.157023,1.615849,0.397095,-0.029627,0.148078,0.077694,0.949382,,,,,
sample,94,drone,2.349387,3.326847,1.230298,1.394152,1.155964,1.619063,0.398907,-0.055098,0.109117,0.067281,0.950755,,,,,
sample,95,drone,2.374381,3.355722,1.270798,1.404143,1.154269,1.621303,0.400458,-0.080570,0.070155,0.056868,0.952102,,,,,
sample,96,drone,2.399374,3.384546,1.311342,1.414169,1.151937,1.622570,0.401749,-0.106042,0.031194,0.046454,0.953426,,,,,
sample,97,drone,2.424368,3.413303,1.351905,1.424225,1.148968,1.622862,0.402780,-0.131513,-0.007768,0.036041,0.954729,,,,,
sample,98,drone,2.449361,3.441979,1.392464,1.434303,1.145363,1.622181,0.403551,-0.156985,-0.046729,0.025627,0.956012,,,,,
sample,99,drone,2.474355,3.470557,1.432993,1.444397,1.141121,1.620526,0.404061,-0.182456,-0.085691,0.015214,0.957279,,,,,
sample,100,drone,2.499348,3.499020,1.473469,1.454501,1.136243,1.617898,0.404311,-0.207928,-0.124652,0.004801,0.958531,,,,,
sample,101,drone,2.524342,3.527354,1.513867,1.464608,1.130727,1.614295,0.404301,-0.233400,-0.163614,-0.005613,0.959771,,,,,
sample,102,drone,2.549335,3.555542,1.554162,1.474711,1.124576,1.609719,0.404031,-0.258871,-0.202575,-0.016026,0.961000,,,,,
sample,103,drone,2.574328,3.583568,1.594332,1.484804,1.117787,1.604169,0.403500,-0.284343,-0.241536,-0.026439,0.962220,,,,,
sample,104,drone,2.599322,3.611417,1.634350,1.494881,1.110362,1.597646,0.402709,-0.309814,-0.280498,-0.036853,0.963435,,,,,
sample,105,drone,2.624315,3.639072,1.674193,1.504934,1.102301,1.590148,0.401658,-0.335286,-0.319459,-0.047266,0.964645,,,,,
sample,106,drone,2.649309,3.666517,1.713837,1.514958,1.093602,1.581677,0.400346,-0.360758,-0.358421,-0.057680,0.965852,,,,,
sample,107,drone,2.674302,3.693738,1.753256,1.524946,1.084267,1.572232,0.398775,-0.386229,-0.397382,-0.068093,0.967060,,,,,
sample,108,drone,2.699296,3.720716,1.792428,1.534892,1.074296,1.561813,0.396943,-0.411701,-0.436344,-0.078506,0.968270,,,,,
sample,109,drone,2.724289,3.747438,1.831327,1.544788,1.063688,1.550420,0.394850,-0.437173,-0.475305,-0.088920,0.969485,,,,,
sample,110,drone,2.749283,3.773887,1.869929,1.554629,1.052443,1.538054,0.392498,-0.462644,-0.514267,-0.099333,0.970706,,,,,
sample,111,drone,2.774276,3.800047,1.908209,1.564408,1.040561,1.524714,0.389885,-0.488116,-0.553228,-0.109746,0.971937,,,,,
sample,112,drone,2.799270,3.825902,1.946144,1.574118,1.028043,1.510400,0.387012,-0.513587,-0.592190,-0.120160,0.973180,,,,,
sample,113,drone,2.824263,3.851435,1.983710,1.583754,1.014889,1.495112,0.383879,-0.539059,-0.631151,-0.130573,0.974438,,,,,
sample,114,drone,2.849257,3.876633,2.020880,1.593307,1.001098,1.478850,0.380485,-0.564531,-0.670113,-0.140986,0.975713,,,,,
sample,115,drone,2.874250,3.901477,2.057633,1.602773,0.986670,1.461615,0.376831,-0.590002,-0.709074,-0.151400,0.977009,,,,,
sample,116,drone,2.899244,3.925953,2.093942,1.612144,0.971605,1.443406,0.372917,-0.615474,-0.748035,-0.161813,0.978330,,,,,
sample,117,drone,2.924237,3.950045,2.129784,1.621414,0.955904,1.424223,0.368743,-0.640945,-0.786997,-0.172227,0.979678,,,,,
sample,118,drone,2.949231,3.973736,2.165135,1.630576,0.939566,1.404066,0.364308,-0.666417,-0.825958,-0.182640,0.981059,,,,,
sample,119,drone,2.974224,3.997011,2.199969,1.639624,0.922592,1.382936,0.359613,-0.691889,-0.864920,-0.193053,0.982476,,,,,
sample,120,drone,2.999218,4.019854,2.234264,1.648552,0.904981,1.360832,0.354658,-0.717360,-0.903881,-0.203467,0.983934,,,,,
sample,121,drone,3.024211,4.042248,2.267993,1.657353,0.886733,1.337754,0.349442,-0.742832,-0.942843,-0.213880,0.985439,,,,,
sample,122,drone,3.049205,4.064179,2.301134,1.666020,0.867849,1.313702,0.343967,-0.768303,-0.981804,-0.224293,0.986996,,,,,
sample,123,drone,3.074198,4.085629,2.333661,1.674547,0.848328,1.288676,0.338231,-0.793775,-1.020766,-0.234707,0.988612,,,,,
sample,124,drone,3.099192,4.106584,2.365551,1.682927,0.828171,1.262677,0.332234,-0.819247,-1.059727,-0.245120,0.990295,,,,,
sample,125,drone,3.124185,4.127027,2.396778,1.691154,0.807376,1.235704,0.325978,-0.844718,-1.098689,-0.255534,0.992053,,,,,
