section,index,name,t,x,y,z,vx,vy,vz,ax,ay,az,yaw
crossing,1,G1,1.896952,2.406248,-0.416234,0.973345,,,,,,
crossing,2,G6,5.138721,4.262682,3.473754,2.128202,,,,,,
crossing,3,G3,10.191494,6.064486,-2.860858,0.412071,,,,,,
crossing,4,G2,14.997291,8.420463,2.865656,2.577947,,,,,,
crossing,5,G5,16.673524,10.046114,1.719204,1.646761,,,,,,
crossing,6,G4,20.142669,12.197215,-1.762229,2.700068,,,,,,
sample,0,drone,0.000000,0.000000,-1.400000,1.200000,0.002155,0.000881,-0.000203,0.252067,0.103055,-0.023743,0.388102
sample,1,drone,0.024973,0.000054,-1.399978,1.199995,0.008450,0.003455,-0.000796,0.494848,0.202313,-0.046612,0.388102
sample,2,drone,0.049946,0.000422,-1.399827,1.199960,0.026871,0.010986,-0.002531,0.961241,0.392992,-0.090544,0.388102
sample,3,drone,0.074920,0.001396,-1.399429,1.199869,0.056461,0.023083,-0.005318,1.388978,0.567867,-0.130834,0.388102
sample,4,drone,0.099893,0.003242,-1.398675,1.199695,0.096245,0.039349,-0.009066,1.778289,0.727032,-0.167505,0.388102
sample,5,drone,0.124866,0.006203,-1.397464,1.199416,0.145280,0.059396,-0.013685,2.130272,0.870936,-0.200660,0.388102
sample,6,drone,0.149839,0.010498,-1.395708,1.199011,0.202645,0.082849,-0.019088,2.446026,1.000029,-0.230402,0.388102
sample,7,drone,0.174812,0.016324,-1.393326,1.198462,0.267450,0.109344,-0.025192,2.726649,1.114758,-0.256835,0.388102
sample,8,drone,0.199785,0.023856,-1.390247,1.197753,0.338831,0.138527,-0.031916,2.973239,1.215574,-0.280063,0.388102
sample,9,drone,0.224759,0.033248,-1.386407,1.196868,0.415952,0.170057,-0.039180,3.186896,1.302925,-0.300188,0.388102
sample,10,drone,0.249732,0.044632,-1.381753,1.195796,0.498005,0.203603,-0.046909,3.368718,1.377261,-0.317315,0.388102
sample,11,drone,0.274705,0.058121,-1.376238,1.194525,0.584207,0.238846,-0.055029,3.519803,1.439030,-0.331546,0.388102
sample,12,drone,0.299678,0.073811,-1.369823,1.193047,0.673806,0.275478,-0.063469,3.641250,1.488682,-0.342986,0.388102
sample,13,drone,0.324651,0.091775,-1.362479,1.191355,0.766074,0.313200,-0.072160,3.734158,1.526666,-0.351737,0.388102
sample,14,drone,0.349624,0.112073,-1.354180,1.189443,0.860313,0.351729,-0.081037,3.799624,1.553431,-0.357904,0.388102
sample,15,drone,0.374598,0.134745,-1.344911,1.187308,0.955852,0.390789,-0.090036,3.838748,1.569427,-0.361589,0.388102
sample,16,drone,0.399571,0.159815,-1.334662,1.184946,1.052045,0.430116,-0.099097,3.852627,1.575101,-0.362896,0.388102
sample,17,drone,0.424544,0.187291,-1.323428,1.182358,1.148276,0.469459,-0.108161,3.842362,1.570904,-0.361929,0.388102
sample,18,drone,0.449517,0.217167,-1.311214,1.179544,1.243957,0.508577,-0.117174,3.809049,1.557285,-0.358791,0.388102
sample,19,drone,0.474490,0.249422,-1.298027,1.176506,1.338524,0.547240,-0.126082,3.753788,1.534692,-0.353586,0.388102
sample,20,drone,0.499463,0.284021,-1.283881,1.173247,1.431445,0.585229,-0.134834,3.677677,1.503575,-0.346417,0.388102
sample,21,drone,0.524437,0.320917,-1.268797,1.169771,1.522211,0.622338,-0.143384,3.581815,1.464383,-0.337387,0.388102
sample,22,drone,0.549410,0.360050,-1.252798,1.166085,1.610343,0.658370,-0.151685,3.467300,1.417564,-0.326600,0.388102
sample,23,drone,0.574383,0.401348,-1.235914,1.162195,1.695390,0.693140,-0.159696,3.335230,1.363569,-0.314160,0.388102
sample,24,drone,0.599356,0.444728,-1.218178,1.158109,1.776926,0.726475,-0.167377,3.186705,1.302847,-0.300170,0.388102
sample,25,drone,0.624329,0.490099,-1.199629,1.153835,1.854554,0.758212,-0.174689,3.022823,1.235845,-0.284733,0.388102
sample,26,drone,0.649302,0.537357,-1.180308,1.149384,1.927905,0.788201,-0.181598,2.844681,1.163014,-0.267953,0.388102
sample,27,drone,0.674276,0.586391,-1.160261,1.144765,1.996635,0.816301,-0.188072,2.653380,1.084803,-0.249934,0.388102
sample,28,drone,0.699249,0.637081,-1.139537,1.139990,2.060431,0.842383,-0.194081,2.450017,1.001660,-0.230778,0.388102
sample,29,drone,0.724222,0.689302,-1.118187,1.135072,2.119005,0.866330,-0.199599,2.235691,0.914036,-0.210590,0.388102
sample,30,drone,0.749195,0.742918,-1.096267,1.130021,2.172096,0.888036,-0.204599,2.011500,0.822378,-0.189472,0.388102
sample,31,drone,0.774168,0.797790,-1.073833,1.124853,2.219472,0.907405,-0.209062,1.778544,0.727136,-0.167529,0.388102
sample,32,drone,0.799141,0.853772,-1.050945,1.119579,2.260928,0.924353,-0.212967,1.537919,0.628760,-0.144863,0.388102
sample,33,drone,0.824115,0.910715,-1.027665,1.114216,2.296285,0.938809,-0.216297,1.290726,0.527698,-0.121579,0.388102
sample,34,drone,0.849088,0.968463,-1.004055,1.108776,2.325395,0.950710,-0.219039,1.038062,0.424399,-0.097780,0.388102
sample,35,drone,0.874061,1.026860,-0.980181,1.103275,2.348133,0.960006,-0.221181,0.781027,0.319314,-0.073568,0.388102
sample,36,drone,0.899034,1.085744,-0.956106,1.097729,2.364404,0.966659,-0.222714,0.520718,0.212889,-0.049049,0.388102
sample,37,drone,0.924007,1.144953,-0.931899,1.092152,2.374141,0.970639,-0.223631,0.258234,0.105576,-0.024324,0.388102
sample,38,drone,0.948980,1.204324,-0.907627,1.086559,2.377302,0.971932,-0.223929,-0.005327,-0.002178,0.000502,0.388102
sample,39,drone,0.973954,1.263691,-0.883355,1.080967,2.373875,0.970531,-0.223606,-0.268865,-0.109922,0.025326,0.388102
sample,40,drone,0.998927,1.322890,-0.859152,1.075391,2.363873,0.966442,-0.222664,-0.531282,-0.217208,0.050044,0.388102
sample,41,drone,1.023900,1.381757,-0.835085,1.069846,2.347339,0.959682,-0.221106,-0.791480,-0.323587,0.074553,0.388102
