section,index,name,t,x,y,z,vx,vy,vz,ax,ay,az,yaw
crossing,1,G1,1.620809,1.951676,-1.013237,0.818368,,,,,,
crossing,2,G6,5.150733,4.278135,3.005089,2.062262,,,,,,
crossing,3,G3,9.378714,5.819640,-2.332376,1.268330,,,,,,
crossing,4,G2,13.606698,8.539500,2.585122,2.465686,,,,,,
crossing,5,G5,15.187715,10.230769,1.882216,1.732926,,,,,,
crossing,6,G4,18.253052,12.327209,-1.521936,2.818120,,,,,,
sample,0,drone,0.000000,0.000000,-1.400000,1.200000,0.002797,0.000554,-0.000547,0.325350,0.064474,-0.063619,0.195635
sample,1,drone,0.024991,0.000070,-1.399986,1.199986,0.010928,0.002166,-0.002137,0.636618,0.126158,-0.124485,0.195635
sample,2,drone,0.049982,0.000546,-1.399892,1.199893,0.034616,0.006860,-0.006769,1.230158,0.243780,-0.240546,0.195635
sample,3,drone,0.074973,0.001800,-1.399643,1.199648,0.072413,0.014350,-0.014160,1.765360,0.349841,-0.345200,0.195635
sample,4,drone,0.099964,0.004166,-1.399175,1.199185,0.122852,0.024346,-0.024023,2.242861,0.444467,-0.438570,0.195635
sample,5,drone,0.124955,0.007940,-1.398426,1.198447,0.184516,0.036565,-0.036080,2.664620,0.528046,-0.521041,0.195635
sample,6,drone,0.149946,0.013388,-1.397347,1.197382,0.256035,0.050738,-0.050065,3.032599,0.600969,-0.592996,0.195635
sample,7,drone,0.174937,0.020738,-1.395890,1.195945,0.336091,0.066603,-0.065719,3.348759,0.663622,-0.654818,0.195635
sample,8,drone,0.199928,0.030186,-1.394018,1.194097,0.423413,0.083907,-0.082794,3.615061,0.716395,-0.706891,0.195635
sample,9,drone,0.224919,0.041901,-1.391697,1.191807,0.516779,0.102410,-0.101051,3.833464,0.759676,-0.749598,0.195635
sample,10,drone,0.249910,0.056016,-1.388899,1.189047,0.615017,0.121878,-0.120261,4.005931,0.793853,-0.783322,0.195635
sample,11,drone,0.274901,0.072640,-1.385605,1.185796,0.717003,0.142088,-0.140203,4.134421,0.819316,-0.808447,0.195635
sample,12,drone,0.299892,0.091853,-1.381797,1.182039,0.821663,0.162829,-0.160668,4.220896,0.836453,-0.825356,0.195635
sample,13,drone,0.324882,0.113709,-1.377466,1.177765,0.927971,0.183896,-0.181456,4.267316,0.845652,-0.834433,0.195635
sample,14,drone,0.349873,0.138235,-1.372606,1.172969,1.034951,0.205096,-0.202375,4.275642,0.847302,-0.836061,0.195635
sample,15,drone,0.374864,0.165437,-1.367215,1.167650,1.141676,0.226245,-0.223244,4.247835,0.841791,-0.830624,0.195635
sample,16,drone,0.399855,0.195298,-1.361298,1.161811,1.247266,0.247170,-0.243891,4.185855,0.829509,-0.818505,0.195635
sample,17,drone,0.424846,0.227778,-1.354861,1.155460,1.350893,0.267706,-0.264154,4.091665,0.810843,-0.800086,0.195635
sample,18,drone,0.449837,0.262818,-1.347917,1.148608,1.451776,0.287698,-0.283881,3.967223,0.786183,-0.775753,0.195635
sample,19,drone,0.474828,0.300341,-1.340482,1.141271,1.549183,0.307001,-0.302928,3.814491,0.755916,-0.745888,0.195635
sample,20,drone,0.499819,0.340250,-1.332573,1.133467,1.642431,0.325480,-0.321162,3.635430,0.720431,-0.710874,0.195635
sample,21,drone,0.524810,0.382433,-1.324214,1.125219,1.730888,0.343009,-0.338459,3.432001,0.680118,-0.671095,0.195635
sample,22,drone,0.549801,0.426763,-1.315429,1.116551,1.813969,0.359473,-0.354705,3.206164,0.635364,-0.626935,0.195635
sample,23,drone,0.574792,0.473098,-1.306246,1.107490,1.891139,0.374766,-0.369794,2.959880,0.586558,-0.578777,0.195635
sample,24,drone,0.599783,0.521285,-1.296697,1.098068,1.961910,0.388791,-0.383633,2.695110,0.534089,-0.527003,0.195635
sample,25,drone,0.624774,0.571158,-1.286814,1.088315,2.025845,0.401461,-0.396135,2.413815,0.478345,-0.471999,0.195635
sample,26,drone,0.649765,0.622541,-1.276631,1.078268,2.082557,0.412699,-0.407224,2.117955,0.419714,-0.414146,0.195635
sample,27,drone,0.674756,0.675249,-1.266186,1.067962,2.131705,0.422439,-0.416835,1.809492,0.358586,-0.353829,0.195635
sample,28,drone,0.699747,0.729088,-1.255517,1.057434,2.172999,0.430622,-0.424909,1.490385,0.295349,-0.291431,0.195635
sample,29,drone,0.724738,0.783859,-1.244663,1.046724,2.206197,0.437201,-0.431401,1.162597,0.230391,-0.227335,0.195635
sample,30,drone,0.749729,0.839358,-1.233665,1.035872,2.231108,0.442137,-0.436272,0.828087,0.164102,-0.161925,0.195635
sample,31,drone,0.774720,0.895374,-1.222564,1.024918,2.247587,0.445403,-0.439494,0.488816,0.096868,-0.095583,0.195635
sample,32,drone,0.799711,0.951696,-1.211403,1.013905,2.255540,0.446979,-0.441049,0.146746,0.029081,-0.028695,0.195635
sample,33,drone,0.824702,1.008110,-1.200223,1.002874,2.254921,0.446857,-0.440929,-0.196163,-0.038874,0.038358,0.195635
sample,34,drone,0.849693,1.064402,-1.189068,0.991866,2.245735,0.445036,-0.439132,-0.537951,-0.106606,0.105191,0.195635
sample,35,drone,0.874684,1.120357,-1.177980,0.980925,2.228033,0.441528,-0.435671,-0.876656,-0.173727,0.171422,0.195635
sample,36,drone,0.899675,1.175763,-1.167000,0.970091,2.201918,0.436353,-0.430564,-1.210318,-0.239848,0.236666,0.195635
sample,37,drone,0.924666,1.230413,-1.156170,0.959404,2.167539,0.429540,-0.423842,-1.536976,-0.304582,0.300541,0.195635
sample,38,drone,0.949657,1.284101,-1.145530,0.948906,2.125097,0.421129,-0.415543,-1.854669,-0.367539,0.362663,0.195635
sample,39,drone,0.974647,1.336629,-1.135121,0.938635,2.074839,0.411170,-0.405715,-2.161436,-0.428331,0.422648,0.195635
sample,40,drone,0.999638,1.387805,-1.124979,0.928628,2.017064,0.399721,-0.394418,-2.455317,-0.486569,0.480114,0.195635
sample,41,drone,1.024629,1.437446,-1.115142,0.918921,1.952118,0.386850,-0.381718,-2.734350,-0.541865,0.534676,0.195635
sample,42,drone,1.049620,1.485376,-1.105644,0.909549,1.880396,0.372637,-0.367694,-2.996576,-0.593830,0.585952,0.195635
sample,43,drone,1.074611,1.531432,-1.096517,0.900543,1.802343,0.357169,-0.352431,-3.240033,-0.642076,0.633558,0.195635
sample,44,drone,1.099602,1.575461,-1.087792,0.891934,1.718453,0.340545,-0.336027,-3.462760,-0.686213,0.677110,0.195635
sample,45,drone,1.124593,1.617323,-1.079496,0.883748,1.629268,0.322871,-0.318588,-3.662797,-0.725855,0.716225,0.195635
sample,46,drone,1.149584,1.656894,-1.071654,0.876010,1.535379,0.304265,-0.300229,-3.838183,-0.760611,0.750520,0.195635
sample,47,drone,1.174575,1.694064,-1.064288,0.868742,1.437428,0.284854,-0.281076,-3.986956,-0.790093,0.779612,0.195635
sample,48,drone,1.199566,1.728740,-1.057416,0.861961,1.336104,0.264775,-0.261262,-4.107157,-0.813913,0.803116,0.195635
sample,49,drone,1.224557,1.760845,-1.051054,0.855683,1.232145,0.244173,-0.240934,-4.196825,-0.831683,0.820650,0.195635
sample,50,drone,1.249548,1.790325,-1.045212,0.849919,1.126338,0.223206,-0.220245,-4.253998,-0.843013,0.831829,0.195635
sample,51,drone,1.274539,1.817142,-1.039898,0.844675,1.019522,0.202038,-0.199358,-4.276717,-0.847515,0.836272,0.195635
sample,52,drone,1.299530,1.841283,-1.035114,0.839955,0.912580,0.180845,-0.178446,-4.263019,-0.844800,0.833593,0.195635
sample,53,drone,1.324521,1.862755,-1.030859,0.835756,0.806448,0.159813,-0.157693,-4.210945,-0.834481,0.823411,0.195635
